area_code,reference_area,area_type,ref_period,measure_type,value,units
S12000005,Clackmannanshire,Local Authority,2008-2009,Count,269,Persons
S12000005,Clackmannanshire,Local Authority,2009-2010,Count,260,Persons
S12000005,Clackmannanshire,Local Authority,2010-2011,Count,230,Persons
S12000005,Clackmannanshire,Local Authority,2011-2012,Count,259,Persons
S12000005,Clackmannanshire,Local Authority,2012-2013,Count,260,Persons
S12000006,Dumfries and Galloway,Local Authority,2008-2009,Count,846,Persons
S12000006,Dumfries and Galloway,Local Authority,2009-2010,Count,782,Persons
S12000006,Dumfries and Galloway,Local Authority,2010-2011,Count,780,Persons
S12000006,Dumfries and Galloway,Local Authority,2011-2012,Count,740,Persons
S12000006,Dumfries and Galloway,Local Authority,2012-2013,Count,733,Persons
S12000008,East Ayrshire,Local Authority,2008-2009,Count,1174,Persons
S12000008,East Ayrshire,Local Authority,2009-2010,Count,1172,Persons
S12000008,East Ayrshire,Local Authority,2010-2011,Count,1197,Persons
S12000008,East Ayrshire,Local Authority,2011-2012,Count,1124,Persons
S12000008,East Ayrshire,Local Authority,2012-2013,Count,995,Persons
S12000010,East Lothian,Local Authority,2008-2009,Count,581,Persons
S12000010,East Lothian,Local Authority,2009-2010,Count,437,Persons
S12000010,East Lothian,Local Authority,2010-2011,Count,557,Persons
S12000010,East Lothian,Local Authority,2011-2012,Count,526,Persons
S12000010,East Lothian,Local Authority,2012-2013,Count,440,Persons
S12000011,East Renfrewshire,Local Authority,2008-2009,Count,473,Persons
S12000011,East Renfrewshire,Local Authority,2009-2010,Count,410,Persons
S12000011,East Renfrewshire,Local Authority,2010-2011,Count,361,Persons
S12000011,East Renfrewshire,Local Authority,2011-2012,Count,440,Persons
S12000011,East Renfrewshire,Local Authority,2012-2013,Count,407,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2008-2009,Count,308,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2009-2010,Count,286,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2010-2011,Count,293,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2011-2012,Count,268,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2012-2013,Count,234,Persons
S12000014,Falkirk,Local Authority,2008-2009,Count,734,Persons
S12000014,Falkirk,Local Authority,2009-2010,Count,757,Persons
S12000014,Falkirk,Local Authority,2010-2011,Count,571,Persons
S12000014,Falkirk,Local Authority,2011-2012,Count,650,Persons
S12000014,Falkirk,Local Authority,2012-2013,Count,682,Persons
S12000017,Highland,Local Authority,2008-2009,Count,2029,Persons
S12000017,Highland,Local Authority,2009-2010,Count,1737,Persons
S12000017,Highland,Local Authority,2010-2011,Count,1649,Persons
S12000017,Highland,Local Authority,2011-2012,Count,1572,Persons
S12000017,Highland,Local Authority,2012-2013,Count,1621,Persons
S12000018,Inverclyde,Local Authority,2008-2009,Count,1111,Persons
S12000018,Inverclyde,Local Authority,2009-2010,Count,988,Persons
S12000018,Inverclyde,Local Authority,2010-2011,Count,954,Persons
S12000018,Inverclyde,Local Authority,2011-2012,Count,938,Persons
S12000018,Inverclyde,Local Authority,2012-2013,Count,687,Persons
S12000019,Midlothian,Local Authority,2008-2009,Count,503,Persons
S12000019,Midlothian,Local Authority,2009-2010,Count,450,Persons
