area_code,reference_area,area_type,year,business_demography,measure_type,value,units
S12000028,South Ayrshire,Local Authority,2010,De-Registrations,Count,320,De-Registrations
S12000029,South Lanarkshire,Local Authority,2010,De-Registrations,Count,885,De-Registrations
S12000026,Scottish Borders,Local Authority,2010,De-Registrations,Count,330,De-Registrations
S12000027,Shetland Islands,Local Authority,2010,De-Registrations,Count,35,De-Registrations
S12000040,West Lothian,Local Authority,2010,De-Registrations,Count,470,De-Registrations
S12000030,Stirling,Local Authority,2010,De-Registrations,Count,335,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2010,De-Registrations,Count,165,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2010,De-Registrations,Count,75,De-Registrations
S12000021,North Ayrshire,Local Authority,2010,De-Registrations,Count,310,De-Registrations
S12000019,Midlothian,Local Authority,2010,De-Registrations,Count,185,De-Registrations
S12000020,Moray,Local Authority,2010,De-Registrations,Count,195,De-Registrations
S12000048,Perth and Kinross,Local Authority,2010,De-Registrations,Count,430,De-Registrations
S12000038,Renfrewshire,Local Authority,2010,De-Registrations,Count,465,De-Registrations
S12000023,Orkney Islands,Local Authority,2010,De-Registrations,Count,55,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2011,De-Registrations,Count,280,De-Registrations
S12000010,East Lothian,Local Authority,2011,De-Registrations,Count,215,De-Registrations
S12000042,Dundee City,Local Authority,2011,De-Registrations,Count,300,De-Registrations
S12000008,East Ayrshire,Local Authority,2011,De-Registrations,Count,285,De-Registrations
S12000014,Falkirk,Local Authority,2011,De-Registrations,Count,335,De-Registrations
S12000047,Fife,Local Authority,2011,De-Registrations,Count,755,De-Registrations
S12000011,East Renfrewshire,Local Authority,2011,De-Registrations,Count,235,De-Registrations
S12000041,Angus,Local Authority,2011,De-Registrations,Count,270,De-Registrations
S12000035,Argyll and Bute,Local Authority,2011,De-Registrations,Count,255,De-Registrations
S12000033,Aberdeen City,Local Authority,2011,De-Registrations,Count,755,De-Registrations
S12000034,Aberdeenshire,Local Authority,2011,De-Registrations,Count,740,De-Registrations
S12000005,Clackmannanshire,Local Authority,2011,De-Registrations,Count,120,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2011,De-Registrations,Count,400,De-Registrations
S12000036,City of Edinburgh,Local Authority,2011,De-Registrations,Count,1600,De-Registrations
S12000030,Stirling,Local Authority,2009,De-Registrations,Count,305,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2009,De-Registrations,Count,130,De-Registrations
S12000028,South Ayrshire,Local Authority,2009,De-Registrations,Count,335,De-Registrations
S12000029,South Lanarkshire,Local Authority,2009,De-Registrations,Count,865,De-Registrations
S12000033,Aberdeen City,Local Authority,2010,De-Registrations,Count,750,De-Registrations
S12000034,Aberdeenshire,Local Authority,2010,De-Registrations,Count,680,De-Registrations
S12000040,West Lothian,Local Authority,2009,De-Registrations,Count,445,De-Registrations
S12000023,Orkney Islands,Local Authority,2009,De-Registrations,Count,65,De-Registrations
S12000048,Perth and Kinross,Local Authority,2009,De-Registrations,Count,480,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2009,De-Registrations,Count,70,De-Registrations
S12000021,North Ayrshire,Local Authority,2009,De-Registrations,Count,285,De-Registrations
S12000026,Scottish Borders,Local Authority,2009,De-Registrations,Count,385,De-Registrations
S12000027,Shetland Islands,Local Authority,2009,De-Registrations,Count,85,De-Registrations
S12000038,Renfrewshire,Local Authority,2009,De-Registrations,Count,455,De-Registrations
S12000011,East Renfrewshire,Local Authority,2010,De-Registrations,Count,280,De-Registrations
S12000014,Falkirk,Local Authority,2010,De-Registrations,Count,365,De-Registrations
