area_code,reference_area,area_type,year,sector,energy_type,value,units
S12000040,West Lothian,Local Authority,2010,Domestic,Bioenergy & Wastes,30.073744044,GWh
S12000027,Shetland Islands,Local Authority,2007,Domestic,Electricity,107.79847,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Bioenergy & Wastes,27.334650724,GWh
S12000027,Shetland Islands,Local Authority,2007,Domestic,Coal,9.9017434466,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Coal,2.2965874393,GWh
S12000027,Shetland Islands,Local Authority,2007,Domestic,Petroleum Products,77.743553496,GWh
S12000027,Shetland Islands,Local Authority,2007,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2007,Domestic,Manufactured Fuels,4.5904318616,GWh
S12000027,Shetland Islands,Local Authority,2006,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2006,Domestic,Manufactured Fuels,5.0753225681,GWh
S12000040,West Lothian,Local Authority,2010,Domestic,Gas,1117.2656369,GWh
S12000027,Shetland Islands,Local Authority,2006,Domestic,Electricity,105.92604,GWh
S12000040,West Lothian,Local Authority,2010,Domestic,Coal,13.157034875,GWh
S12000027,Shetland Islands,Local Authority,2007,Domestic,Bioenergy & Wastes,5.5675773324,GWh
S12000040,West Lothian,Local Authority,2010,Domestic,Electricity,303.09876808,GWh
S12000027,Shetland Islands,Local Authority,2006,Domestic,Petroleum Products,89.55689762,GWh
S12000027,Shetland Islands,Local Authority,2008,Domestic,Petroleum Products,80.450517743,GWh
S12000027,Shetland Islands,Local Authority,2008,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2008,Domestic,Manufactured Fuels,5.5499005465,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Bioenergy & Wastes,7.1981510387,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Coal,10.489175793,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Manufactured Fuels,5.7585769736,GWh
S12000027,Shetland Islands,Local Authority,2008,Domestic,Coal,10.475864619,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Petroleum Products,33.763627987,GWh
S12000027,Shetland Islands,Local Authority,2008,Domestic,Bioenergy & Wastes,6.6073403514,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Gas,1140.5953203,GWh
S12000027,Shetland Islands,Local Authority,2008,Domestic,Electricity,101.46012,GWh
S12000026,Scottish Borders,Local Authority,2018,Domestic,Electricity,242.3084559,GWh
S12000026,Scottish Borders,Local Authority,2018,Domestic,Gas,520.0423345,GWh
S12000026,Scottish Borders,Local Authority,2018,Domestic,Coal,33.592302445,GWh
S12000040,West Lothian,Local Authority,2011,Domestic,Gas,1075.344674,GWh
S12000026,Scottish Borders,Local Authority,2018,Domestic,Petroleum Products,188.61835857,GWh
S12000045,East Dunbartonshire,Local Authority,2017,Domestic,Electricity,176.1156348,GWh
S12000026,Scottish Borders,Local Authority,2018,Domestic,Manufactured Fuels,18.472908793,GWh
S12000040,West Lothian,Local Authority,2011,Domestic,Electricity,302.37499208,GWh
S12000045,East Dunbartonshire,Local Authority,2017,Domestic,Coal,2.3739664696,GWh
S12000026,Scottish Borders,Local Authority,2017,Domestic,Petroleum Products,188.04223279,GWh
S12000026,Scottish Borders,Local Authority,2017,Domestic,Gas,516.9241513,GWh
S12000026,Scottish Borders,Local Authority,2017,Domestic,Manufactured Fuels,18.420925798,GWh
S12000026,Scottish Borders,Local Authority,2018,Domestic,Bioenergy & Wastes,61.416687747,GWh
S12000040,West Lothian,Local Authority,2011,Domestic,Manufactured Fuels,5.954364616,GWh
S12000040,West Lothian,Local Authority,2011,Domestic,Petroleum Products,29.923166096,GWh
S12000027,Shetland Islands,Local Authority,2005,Domestic,Petroleum Products,84.072572758,GWh
S12000045,East Dunbartonshire,Local Authority,2017,Domestic,Petroleum Products,8.7143771893,GWh
S12000027,Shetland Islands,Local Authority,2005,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2005,Domestic,Manufactured Fuels,5.2850095608,GWh
S12000040,West Lothian,Local Authority,2010,Domestic,Manufactured Fuels,6.4078816646,GWh
S12000027,Shetland Islands,Local Authority,2006,Domestic,Coal,8.6427968072,GWh
S12000040,West Lothian,Local Authority,2010,Domestic,Petroleum Products,37.498603406,GWh
S12000027,Shetland Islands,Local Authority,2006,Domestic,Bioenergy & Wastes,5.4915243546,GWh
S12000045,East Dunbartonshire,Local Authority,2017,Domestic,Gas,775.7895084,GWh
S12000027,Shetland Islands,Local Authority,2005,Domestic,Coal,9.5979565655,GWh
S12000040,West Lothian,Local Authority,2011,Domestic,Coal,12.997362721,GWh
S12000027,Shetland Islands,Local Authority,2005,Domestic,Bioenergy & Wastes,5.2577681,GWh
S12000045,East Dunbartonshire,Local Authority,2017,Domestic,Manufactured Fuels,2.2433040476,GWh
S12000027,Shetland Islands,Local Authority,2005,Domestic,Electricity,107.4612,GWh
S12000040,West Lothian,Local Authority,2011,Domestic,Bioenergy & Wastes,26.127282576,GWh
S12000027,Shetland Islands,Local Authority,2012,Domestic,Manufactured Fuels,4.4389958987,GWh
S12000027,Shetland Islands,Local Authority,2012,Domestic,Electricity,102.6220158,GWh
S12000027,Shetland Islands,Local Authority,2012,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Bioenergy & Wastes,12.071082788,GWh
S12000027,Shetland Islands,Local Authority,2012,Domestic,Petroleum Products,67.374988292,GWh
S12000027,Shetland Islands,Local Authority,2012,Domestic,Bioenergy & Wastes,10.253635706,GWh
S12000040,West Lothian,Local Authority,2008,Domestic,Manufactured Fuels,8.3519736196,GWh
S12000040,West Lothian,Local Authority,2008,Domestic,Petroleum Products,34.496321104,GWh
S12000040,West Lothian,Local Authority,2008,Domestic,Gas,1244.8752,GWh
S12000027,Shetland Islands,Local Authority,2012,Domestic,Coal,10.330001822,GWh
S12000027,Shetland Islands,Local Authority,2014,Domestic,Bioenergy & Wastes,11.46611368,GWh
S12000047,Fife,Local Authority,2005,Domestic,Bioenergy & Wastes,38.246239619,GWh
S12000040,West Lothian,Local Authority,2008,Domestic,Coal,12.596761044,GWh
S12000040,West Lothian,Local Authority,2008,Domestic,Bioenergy & Wastes,21.411533917,GWh
S12000027,Shetland Islands,Local Authority,2014,Domestic,Electricity,103.2568843,GWh
S12000027,Shetland Islands,Local Authority,2014,Domestic,Coal,8.4602250432,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Electricity,101.32924745,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Coal,9.9053076578,GWh
S12000040,West Lothian,Local Authority,2008,Domestic,Electricity,307.9624,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Manufactured Fuels,5.1480228494,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Petroleum Products,69.726338738,GWh
S12000027,Shetland Islands,Local Authority,2013,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Bioenergy & Wastes,9.2803936121,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Gas,769.9798445,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Coal,12.602035505,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Bioenergy & Wastes,23.326095953,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Electricity,103.50989507,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Coal,10.949559706,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Electricity,101.55372362,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Gas,0,GWh
S12000040,West Lothian,Local Authority,2009,Domestic,Electricity,302.90503112,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Electricity,169.6590948,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Petroleum Products,78.647944082,GWh
S12000027,Shetland Islands,Local Authority,2009,Domestic,Manufactured Fuels,4.5426778837,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Electricity,103.73006631,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Manufactured Fuels,2.3329425867,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Coal,10.815207015,GWh
S12000045,East Dunbartonshire,Local Authority,2018,Domestic,Petroleum Products,8.7699647165,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Petroleum Products,67.961925794,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Manufactured Fuels,4.583945578,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Petroleum Products,87.858665469,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Gas,0,GWh
S12000027,Shetland Islands,Local Authority,2010,Domestic,Manufactured Fuels,5.1617389342,GWh
S12000027,Shetland Islands,Local Authority,2011,Domestic,Bioenergy & Wastes,8.0625633374,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Petroleum Products,245.35747361,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Petroleum Products,28.029379718,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Manufactured Fuels,19.083619305,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Coal,2.4488260931,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Coal,46.049412914,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Gas,1012.114678,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Bioenergy & Wastes,37.702584232,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Manufactured Fuels,6.1252382631,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Bioenergy & Wastes,23.421182705,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Coal,44.113350916,GWh
S12000040,West Lothian,Local Authority,2016,Domestic,Coal,10.172783946,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Bioenergy & Wastes,29.243252722,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Electricity,284.66908994,GWh
S12000026,Scottish Borders,Local Authority,2009,Domestic,Gas,551.13712881,GWh
S12000040,West Lothian,Local Authority,2016,Domestic,Bioenergy & Wastes,45.105779893,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Coal,45.484256053,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Bioenergy & Wastes,41.975711303,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Bioenergy & Wastes,32.755019482,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Gas,746.3723821,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Gas,519.73191927,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Manufactured Fuels,19.246921741,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Manufactured Fuels,2.0225360956,GWh
S12000026,Scottish Borders,Local Authority,2011,Domestic,Electricity,272.74161773,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Manufactured Fuels,21.693770734,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Electricity,298.8390219,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Electricity,282.36450128,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Gas,552.58823056,GWh
S12000045,East Dunbartonshire,Local Authority,2015,Domestic,Electricity,187.7010577,GWh
S12000040,West Lothian,Local Authority,2015,Domestic,Coal,10.226637463,GWh
S12000026,Scottish Borders,Local Authority,2010,Domestic,Petroleum Products,279.93517461,GWh
S12000040,West Lothian,Local Authority,2017,Domestic,Coal,9.911660301,GWh
S12000026,Scottish Borders,Local Authority,2007,Domestic,Bioenergy & Wastes,22.618873944,GWh
S12000026,Scottish Borders,Local Authority,2006,Domestic,Petroleum Products,275.59475499,GWh
S12000045,East Dunbartonshire,Local Authority,2014,Domestic,Electricity,189.575449,GWh
S12000040,West Lothian,Local Authority,2017,Domestic,Bioenergy & Wastes,44.836003284,GWh
S12000045,East Dunbartonshire,Local Authority,2014,Domestic,Manufactured Fuels,1.9786574663,GWh
S12000045,East Dunbartonshire,Local Authority,2014,Domestic,Gas,759.1411,GWh
