area_code,reference_area,area_type,year,area,value,units
S12000039,West Dunbartonshire,Local Authority,2019,Derelict Land,148,Hectares
S12000039,West Dunbartonshire,Local Authority,2011,Urban Vacant Land,20,Hectares
S12000039,West Dunbartonshire,Local Authority,2018,Urban Vacant Land,16,Hectares
S12000039,West Dunbartonshire,Local Authority,2002,Urban Vacant Land,65,Hectares
S12000039,West Dunbartonshire,Local Authority,2018,Derelict Land,152,Hectares
S12000039,West Dunbartonshire,Local Authority,2003,Urban Vacant Land,36,Hectares
S12000039,West Dunbartonshire,Local Authority,2014,Derelict Land,168,Hectares
S12000039,West Dunbartonshire,Local Authority,2007,Derelict Land,193,Hectares
S12000039,West Dunbartonshire,Local Authority,2006,Derelict Land,211,Hectares
S12000039,West Dunbartonshire,Local Authority,2014,Urban Vacant Land,21,Hectares
S12000039,West Dunbartonshire,Local Authority,2004,Urban Vacant Land,35,Hectares
S12000039,West Dunbartonshire,Local Authority,2015,Urban Vacant Land,15,Hectares
S12000039,West Dunbartonshire,Local Authority,2009,Urban Vacant Land,24,Hectares
S12000039,West Dunbartonshire,Local Authority,2012,Urban Vacant Land,20,Hectares
S12000039,West Dunbartonshire,Local Authority,2010,Urban Vacant Land,23,Hectares
S12000039,West Dunbartonshire,Local Authority,2017,Derelict Land,149,Hectares
S12000039,West Dunbartonshire,Local Authority,2016,Urban Vacant Land,14,Hectares
S12000039,West Dunbartonshire,Local Authority,2019,Urban Vacant Land,15,Hectares
S12000039,West Dunbartonshire,Local Authority,2013,Urban Vacant Land,20,Hectares
S12000039,West Dunbartonshire,Local Authority,2008,Urban Vacant Land,30,Hectares
S12000039,West Dunbartonshire,Local Authority,2007,Urban Vacant Land,30,Hectares
S12000039,West Dunbartonshire,Local Authority,2005,Urban Vacant Land,33,Hectares
S12000039,West Dunbartonshire,Local Authority,2016,Derelict Land,157,Hectares
S12000039,West Dunbartonshire,Local Authority,2006,Urban Vacant Land,31,Hectares
S12000039,West Dunbartonshire,Local Authority,2002,Derelict Land,176,Hectares
S12000039,West Dunbartonshire,Local Authority,2003,Derelict Land,204,Hectares
S12000039,West Dunbartonshire,Local Authority,2004,Derelict Land,203,Hectares
S12000039,West Dunbartonshire,Local Authority,2005,Derelict Land,197,Hectares
S12000039,West Dunbartonshire,Local Authority,2012,Derelict Land,172,Hectares
S12000039,West Dunbartonshire,Local Authority,2010,Derelict Land,189,Hectares
S12000039,West Dunbartonshire,Local Authority,2017,Urban Vacant Land,16,Hectares
S12000039,West Dunbartonshire,Local Authority,2015,Derelict Land,167,Hectares
S12000039,West Dunbartonshire,Local Authority,2013,Derelict Land,168,Hectares
S12000039,West Dunbartonshire,Local Authority,2009,Derelict Land,197,Hectares
S12000039,West Dunbartonshire,Local Authority,2008,Derelict Land,189,Hectares
S12000039,West Dunbartonshire,Local Authority,2011,Derelict Land,174,Hectares
S12000040,West Lothian,Local Authority,2015,Derelict Land,346,Hectares
S12000040,West Lothian,Local Authority,2011,Derelict Land,416,Hectares
S12000040,West Lothian,Local Authority,2014,Derelict Land,417,Hectares
S12000040,West Lothian,Local Authority,2013,Derelict Land,421,Hectares
S12000040,West Lothian,Local Authority,2016,Derelict Land,346,Hectares
S12000040,West Lothian,Local Authority,2002,Derelict Land,450,Hectares
S12000040,West Lothian,Local Authority,2016,Urban Vacant Land,74,Hectares
S12000040,West Lothian,Local Authority,2012,Derelict Land,421,Hectares
S12000040,West Lothian,Local Authority,2005,Derelict Land,595,Hectares
S12000040,West Lothian,Local Authority,2019,Derelict Land,304,Hectares
S12000040,West Lothian,Local Authority,2010,Derelict Land,417,Hectares
S12000040,West Lothian,Local Authority,2018,Urban Vacant Land,37,Hectares
S12000040,West Lothian,Local Authority,2006,Derelict Land,599,Hectares
S12000040,West Lothian,Local Authority,2007,Derelict Land,569,Hectares
S12000040,West Lothian,Local Authority,2003,Derelict Land,458,Hectares
S12000040,West Lothian,Local Authority,2018,Derelict Land,304,Hectares
S12000040,West Lothian,Local Authority,2004,Derelict Land,463,Hectares
S12000040,West Lothian,Local Authority,2015,Urban Vacant Land,74,Hectares
S12000040,West Lothian,Local Authority,2009,Derelict Land,554,Hectares
S12000040,West Lothian,Local Authority,2014,Urban Vacant Land,74,Hectares
S12000040,West Lothian,Local Authority,2009,Urban Vacant Land,64,Hectares
S12000040,West Lothian,Local Authority,2005,Urban Vacant Land,58,Hectares
S12000040,West Lothian,Local Authority,2008,Derelict Land,552,Hectares
S12000040,West Lothian,Local Authority,2010,Urban Vacant Land,61,Hectares
S12000040,West Lothian,Local Authority,2003,Urban Vacant Land,65,Hectares
S12000040,West Lothian,Local Authority,2013,Urban Vacant Land,64,Hectares
S12000040,West Lothian,Local Authority,2017,Urban Vacant Land,74,Hectares
S12000040,West Lothian,Local Authority,2012,Urban Vacant Land,64,Hectares
S12000040,West Lothian,Local Authority,2007,Urban Vacant Land,64,Hectares
S12000040,West Lothian,Local Authority,2006,Urban Vacant Land,58,Hectares
S12000040,West Lothian,Local Authority,2002,Urban Vacant Land,66,Hectares
S12000040,West Lothian,Local Authority,2011,Urban Vacant Land,61,Hectares
S12000040,West Lothian,Local Authority,2019,Urban Vacant Land,39,Hectares
S12000040,West Lothian,Local Authority,2008,Urban Vacant Land,65,Hectares
S12000040,West Lothian,Local Authority,2004,Urban Vacant Land,65,Hectares
S12000040,West Lothian,Local Authority,2017,Derelict Land,346,Hectares
S12000005,Clackmannanshire,Local Authority,2013,Urban Vacant Land,17,Hectares
S12000005,Clackmannanshire,Local Authority,2019,Derelict Land,41,Hectares
S12000005,Clackmannanshire,Local Authority,2018,Derelict Land,46,Hectares
S12000005,Clackmannanshire,Local Authority,2012,Urban Vacant Land,10,Hectares
S12000005,Clackmannanshire,Local Authority,2004,Derelict Land,30,Hectares
S12000005,Clackmannanshire,Local Authority,2008,Urban Vacant Land,27,Hectares
S12000005,Clackmannanshire,Local Authority,2009,Derelict Land,11,Hectares
S12000005,Clackmannanshire,Local Authority,2006,Urban Vacant Land,22,Hectares
S12000005,Clackmannanshire,Local Authority,2008,Derelict Land,11,Hectares
S12000005,Clackmannanshire,Local Authority,2004,Urban Vacant Land,25,Hectares
S12000005,Clackmannanshire,Local Authority,2002,Derelict Land,39,Hectares
S12000005,Clackmannanshire,Local Authority,2018,Urban Vacant Land,11,Hectares
S12000005,Clackmannanshire,Local Authority,2014,Urban Vacant Land,21,Hectares
S12000005,Clackmannanshire,Local Authority,2014,Derelict Land,15,Hectares
S12000005,Clackmannanshire,Local Authority,2002,Urban Vacant Land,27,Hectares
S12000005,Clackmannanshire,Local Authority,2013,Derelict Land,11,Hectares
S12000005,Clackmannanshire,Local Authority,2005,Urban Vacant Land,21,Hectares
S12000005,Clackmannanshire,Local Authority,2009,Urban Vacant Land,21,Hectares
S12000005,Clackmannanshire,Local Authority,2011,Urban Vacant Land,16,Hectares
S12000005,Clackmannanshire,Local Authority,2015,Derelict Land,12,Hectares
S12000005,Clackmannanshire,Local Authority,2015,Urban Vacant Land,20,Hectares
S12000005,Clackmannanshire,Local Authority,2003,Urban Vacant Land,22,Hectares
S12000005,Clackmannanshire,Local Authority,2016,Urban Vacant Land,19,Hectares
S12000005,Clackmannanshire,Local Authority,2012,Derelict Land,11,Hectares
S12000005,Clackmannanshire,Local Authority,2003,Derelict Land,39,Hectares
S12000005,Clackmannanshire,Local Authority,2007,Urban Vacant Land,19,Hectares
S12000005,Clackmannanshire,Local Authority,2010,Urban Vacant Land,17,Hectares
S12000005,Clackmannanshire,Local Authority,2006,Derelict Land,12,Hectares
S12000005,Clackmannanshire,Local Authority,2017,Derelict Land,48,Hectares
S12000005,Clackmannanshire,Local Authority,2016,Derelict Land,54,Hectares
S12000005,Clackmannanshire,Local Authority,2011,Derelict Land,14,Hectares
S12000005,Clackmannanshire,Local Authority,2017,Urban Vacant Land,17,Hectares
S12000005,Clackmannanshire,Local Authority,2007,Derelict Land,11,Hectares
S12000005,Clackmannanshire,Local Authority,2005,Derelict Land,12,Hectares
S12000005,Clackmannanshire,Local Authority,2019,Urban Vacant Land,11,Hectares
S12000005,Clackmannanshire,Local Authority,2010,Derelict Land,11,Hectares
S12000006,Dumfries and Galloway,Local Authority,2008,Urban Vacant Land,11,Hectares
S12000006,Dumfries and Galloway,Local Authority,2011,Urban Vacant Land,14,Hectares
S12000006,Dumfries and Galloway,Local Authority,2010,Urban Vacant Land,13,Hectares
S12000006,Dumfries and Galloway,Local Authority,2012,Urban Vacant Land,9,Hectares
S12000006,Dumfries and Galloway,Local Authority,2009,Urban Vacant Land,14,Hectares
S12000006,Dumfries and Galloway,Local Authority,2005,Urban Vacant Land,13,Hectares
S12000006,Dumfries and Galloway,Local Authority,2006,Urban Vacant Land,13,Hectares
S12000006,Dumfries and Galloway,Local Authority,2019,Urban Vacant Land,28,Hectares
S12000006,Dumfries and Galloway,Local Authority,2009,Derelict Land,452,Hectares
S12000006,Dumfries and Galloway,Local Authority,2017,Urban Vacant Land,18,Hectares
S12000006,Dumfries and Galloway,Local Authority,2002,Derelict Land,301,Hectares
S12000006,Dumfries and Galloway,Local Authority,2004,Derelict Land,301,Hectares
S12000006,Dumfries and Galloway,Local Authority,2005,Derelict Land,212,Hectares
S12000006,Dumfries and Galloway,Local Authority,2012,Derelict Land,483,Hectares
S12000006,Dumfries and Galloway,Local Authority,2018,Urban Vacant Land,18,Hectares
S12000006,Dumfries and Galloway,Local Authority,2015,Derelict Land,455,Hectares
S12000006,Dumfries and Galloway,Local Authority,2002,Urban Vacant Land,16,Hectares
S12000006,Dumfries and Galloway,Local Authority,2015,Urban Vacant Land,8,Hectares
S12000006,Dumfries and Galloway,Local Authority,2004,Urban Vacant Land,16,Hectares
S12000006,Dumfries and Galloway,Local Authority,2007,Urban Vacant Land,12,Hectares
S12000006,Dumfries and Galloway,Local Authority,2013,Urban Vacant Land,9,Hectares
S12000006,Dumfries and Galloway,Local Authority,2018,Derelict Land,301,Hectares
S12000006,Dumfries and Galloway,Local Authority,2019,Derelict Land,294,Hectares
S12000006,Dumfries and Galloway,Local Authority,2014,Urban Vacant Land,9,Hectares
S12000006,Dumfries and Galloway,Local Authority,2003,Derelict Land,301,Hectares
S12000006,Dumfries and Galloway,Local Authority,2014,Derelict Land,482,Hectares
S12000006,Dumfries and Galloway,Local Authority,2016,Derelict Land,457,Hectares
S12000006,Dumfries and Galloway,Local Authority,2011,Derelict Land,477,Hectares
S12000006,Dumfries and Galloway,Local Authority,2010,Derelict Land,448,Hectares
S12000006,Dumfries and Galloway,Local Authority,2016,Urban Vacant Land,8,Hectares
