area_code,reference_area,area_type,year,dwelling_type,value,units
S12000039,West Dunbartonshire,local authority,1985,House,96,dwellings
S12000039,West Dunbartonshire,local authority,1984,House,140,dwellings
S12000039,West Dunbartonshire,local authority,1989,House,468,dwellings
S12000039,West Dunbartonshire,local authority,1986,House,158,dwellings
S12000039,West Dunbartonshire,local authority,1987,House,178,dwellings
S12000039,West Dunbartonshire,local authority,2001,House,125,dwellings
S12000039,West Dunbartonshire,local authority,2002,House,171,dwellings
S12000039,West Dunbartonshire,local authority,1990,House,434,dwellings
S12000039,West Dunbartonshire,local authority,1988,House,322,dwellings
S12000039,West Dunbartonshire,local authority,1991,House,270,dwellings
S12000039,West Dunbartonshire,local authority,1992,House,209,dwellings
S12000039,West Dunbartonshire,local authority,1993,House,171,dwellings
S12000039,West Dunbartonshire,local authority,1994,House,193,dwellings
S12000039,West Dunbartonshire,local authority,1995,House,92,dwellings
S12000039,West Dunbartonshire,local authority,1996,House,91,dwellings
S12000039,West Dunbartonshire,local authority,1997,House,112,dwellings
S12000039,West Dunbartonshire,local authority,1998,House,130,dwellings
S12000039,West Dunbartonshire,local authority,1990,All,908,dwellings
S12000039,West Dunbartonshire,local authority,1991,All,560,dwellings
S12000039,West Dunbartonshire,local authority,1993,All,354,dwellings
S12000039,West Dunbartonshire,local authority,2005,All,291,dwellings
S12000039,West Dunbartonshire,local authority,2004,All,329,dwellings
S12000039,West Dunbartonshire,local authority,1989,All,861,dwellings
S12000039,West Dunbartonshire,local authority,1986,All,215,dwellings
S12000039,West Dunbartonshire,local authority,1989,Flat,393,dwellings
S12000039,West Dunbartonshire,local authority,1992,All,432,dwellings
S12000039,West Dunbartonshire,local authority,1987,All,293,dwellings
S12000039,West Dunbartonshire,local authority,1984,All,169,dwellings
S12000039,West Dunbartonshire,local authority,1985,All,130,dwellings
S12000039,West Dunbartonshire,local authority,1981,All,0,dwellings
S12000039,West Dunbartonshire,local authority,1983,All,128,dwellings
S12000039,West Dunbartonshire,local authority,1982,All,170,dwellings
S12000039,West Dunbartonshire,local authority,2003,All,430,dwellings
S12000039,West Dunbartonshire,local authority,1988,Flat,288,dwellings
S12000039,West Dunbartonshire,local authority,2002,All,305,dwellings
S12000039,West Dunbartonshire,local authority,1980,All,0,dwellings
S12000039,West Dunbartonshire,local authority,1984,Flat,29,dwellings
S12000039,West Dunbartonshire,local authority,2003,Flat,224,dwellings
S12000039,West Dunbartonshire,local authority,2005,Flat,155,dwellings
S12000039,West Dunbartonshire,local authority,1998,Flat,148,dwellings
S12000039,West Dunbartonshire,local authority,1996,All,189,dwellings
S12000039,West Dunbartonshire,local authority,2004,Flat,178,dwellings
S12000039,West Dunbartonshire,local authority,2002,Flat,134,dwellings
S12000039,West Dunbartonshire,local authority,2001,Flat,98,dwellings
S12000039,West Dunbartonshire,local authority,2000,Flat,94,dwellings
S12000039,West Dunbartonshire,local authority,1999,Flat,138,dwellings
S12000039,West Dunbartonshire,local authority,1997,Flat,99,dwellings
S12000039,West Dunbartonshire,local authority,1998,All,278,dwellings
S12000039,West Dunbartonshire,local authority,1999,All,250,dwellings
S12000039,West Dunbartonshire,local authority,2001,All,223,dwellings
S12000039,West Dunbartonshire,local authority,1987,Flat,115,dwellings
S12000039,West Dunbartonshire,local authority,1988,All,610,dwellings
S12000039,West Dunbartonshire,local authority,1994,All,349,dwellings
S12000039,West Dunbartonshire,local authority,1997,All,211,dwellings
S12000039,West Dunbartonshire,local authority,2000,All,209,dwellings
S12000039,West Dunbartonshire,local authority,1995,All,207,dwellings
S12000039,West Dunbartonshire,local authority,1991,Flat,290,dwellings
S12000039,West Dunbartonshire,local authority,1995,Flat,115,dwellings
S12000039,West Dunbartonshire,local authority,1993,Flat,183,dwellings
S12000039,West Dunbartonshire,local authority,1990,Flat,474,dwellings
S12000039,West Dunbartonshire,local authority,1994,Flat,156,dwellings
