area_code,reference_area,area_type,date_code,gender,age,measure_type,value,units
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,26-30 years,Ratio,30.4,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,31-40 years,Ratio,27.1,Percent reconvicted
S12000017,Highland,Local Authority,2015/2016,Male,All,Mean,0.42,Average reconvictions per offender
S12000017,Highland,Local Authority,2012/2013,Male,Under 21 years,Ratio,32.3,Percent reconvicted
S12000017,Highland,Local Authority,2013/2014,Male,26-30 years,Ratio,20.2,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,Under 21 years,Ratio,27.3,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,Over 40 years,Ratio,14.7,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,31-40 years,Mean,0.4,Average reconvictions per offender
S12000017,Highland,Local Authority,2016/2017,Male,21-25 years,Mean,0.58,Average reconvictions per offender
S12000017,Highland,Local Authority,2012/2013,Male,Over 40 years,Ratio,21.4,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,Under 21 years,Mean,0.45,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,Over 40 years,Mean,0.31,Average reconvictions per offender
S12000017,Highland,Local Authority,2012/2013,Male,All,Mean,0.44,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,Over 40 years,Ratio,25.8,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,Under 21 years,Ratio,27.3,Percent reconvicted
S12000017,Highland,Local Authority,2013/2014,Male,Under 21 years,Ratio,30.5,Percent reconvicted
S12000017,Highland,Local Authority,2017/2018,Male,21-25 years,Ratio,32.5,Percent reconvicted
S12000017,Highland,Local Authority,2016/2017,Male,31-40 years,Ratio,26.2,Percent reconvicted
S12000017,Highland,Local Authority,2012/2013,Male,26-30 years,Mean,0.36,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,31-40 years,Ratio,25.5,Percent reconvicted
S12000017,Highland,Local Authority,2014/2015,Male,Under 21 years,Mean,0.59,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,Under 21 years,Ratio,27.8,Percent reconvicted
S12000017,Highland,Local Authority,2012/2013,Male,31-40 years,Ratio,29.5,Percent reconvicted
