area_code,reference_area,area_type,year,gender,working_pattern,population_group,measure_type,value,units
S12000036,City of Edinburgh,Local Authority,2005,Male,Full Time,Residence Based,Median,495.4,Pounds (GBP)
S12000017,Highland,Local Authority,2008,Male,Full Time,Workplace Based,Mean,534.3,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2005,Male,Full Time,Residence Based,Mean,573.7,Pounds (GBP)
S12000017,Highland,Local Authority,2008,Male,Full Time,Workplace Based,Median,463.5,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2013,Male,Full Time,Residence Based,Median,529.7,Pounds (GBP)
S12000019,Midlothian,Local Authority,2005,Male,Full Time,Residence Based,Mean,491.9,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2008,Male,Full Time,Workplace Based,Median,432.9,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2012,Male,Full Time,Residence Based,Median,550.3,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2013,Male,Full Time,Residence Based,Mean,556.2,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2013,Male,Full Time,Residence Based,Median,544.3,Pounds (GBP)
S12000014,Falkirk,Local Authority,2008,Male,Full Time,Workplace Based,Median,463.2,Pounds (GBP)
S12000019,Midlothian,Local Authority,2005,Male,Full Time,Residence Based,Median,389.8,Pounds (GBP)
S12000021,North Ayrshire,Local Authority,2013,Male,Full Time,Residence Based,Mean,601.8,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2013,Male,Full Time,Residence Based,Mean,655.3,Pounds (GBP)
S12000041,Angus,Local Authority,2005,Male,Full Time,Residence Based,Median,438,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2013,Male,Full Time,Residence Based,Median,562.6,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2008,Male,Full Time,Workplace Based,Median,530.1,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2013,Male,Full Time,Residence Based,Mean,642.9,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2008,Male,Full Time,Workplace Based,Mean,604.4,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2013,Male,Full Time,Residence Based,Median,558.1,Pounds (GBP)
S12000041,Angus,Local Authority,2005,Male,Full Time,Residence Based,Mean,515.8,Pounds (GBP)
S12000040,West Lothian,Local Authority,2012,Male,Full Time,Residence Based,Median,515.8,Pounds (GBP)
S12000014,Falkirk,Local Authority,2009,Male,Full Time,Workplace Based,Median,497.8,Pounds (GBP)
S12000017,Highland,Local Authority,2005,Male,Full Time,Residence Based,Median,405.7,Pounds (GBP)
S12000014,Falkirk,Local Authority,2009,Male,Full Time,Workplace Based,Mean,545.9,Pounds (GBP)
S12000040,West Lothian,Local Authority,2012,Male,Full Time,Residence Based,Mean,713,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2012,Male,Full Time,Residence Based,Median,516.4,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2009,Male,Full Time,Workplace Based,Median,526.4,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,574.9,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2008,Male,Full Time,Workplace Based,Median,500.9,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2008,Male,Full Time,Workplace Based,Mean,553.5,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2013,Male,Full Time,Residence Based,Mean,742.6,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2013,Male,Full Time,Residence Based,Median,589.8,Pounds (GBP)
S12000017,Highland,Local Authority,2005,Male,Full Time,Residence Based,Mean,493.5,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2009,Male,Full Time,Workplace Based,Median,433.1,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2005,Male,Full Time,Residence Based,Mean,504.3,Pounds (GBP)
S12000030,Stirling,Local Authority,2012,Male,Full Time,Residence Based,Median,556.6,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,614.4,Pounds (GBP)
S12000047,Fife,Local Authority,2005,Male,Full Time,Residence Based,Median,450,Pounds (GBP)
S12000010,East Lothian,Local Authority,2009,Male,Full Time,Workplace Based,Mean,534.3,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2005,Male,Full Time,Residence Based,Median,418.6,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2005,Male,Full Time,Residence Based,Mean,546.8,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2005,Male,Full Time,Residence Based,Median,489.7,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,609.2,Pounds (GBP)
S12000030,Stirling,Local Authority,2012,Male,Full Time,Residence Based,Mean,839.9,Pounds (GBP)
S12000010,East Lothian,Local Authority,2009,Male,Full Time,Workplace Based,Median,456.2,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2008,Male,Full Time,Workplace Based,Median,502.6,Pounds (GBP)
S12000042,Dundee City,Local Authority,2009,Male,Full Time,Workplace Based,Median,498.7,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2008,Male,Full Time,Workplace Based,Mean,541.4,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2008,Male,Full Time,Workplace Based,Mean,548.8,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2012,Male,Full Time,Residence Based,Mean,591.2,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,487.5,Pounds (GBP)
S12000017,Highland,Local Authority,2012,Male,Full Time,Residence Based,Median,511.5,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2009,Male,Full Time,Workplace Based,Median,425,Pounds (GBP)
S12000041,Angus,Local Authority,2009,Male,Full Time,Workplace Based,Median,455.6,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2008,Male,Full Time,Workplace Based,Mean,655.7,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2008,Male,Full Time,Workplace Based,Mean,481.3,Pounds (GBP)
S12000041,Angus,Local Authority,2009,Male,Full Time,Workplace Based,Mean,515.3,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2012,Male,Full Time,Residence Based,Mean,772.1,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2012,Male,Full Time,Residence Based,Median,655.4,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2008,Male,Full Time,Workplace Based,Median,503.6,Pounds (GBP)
S12000010,East Lothian,Local Authority,2012,Male,Full Time,Residence Based,Mean,636.5,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2009,Male,Full Time,Workplace Based,Median,465.5,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,475,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2013,Male,Full Time,Residence Based,Median,595.1,Pounds (GBP)
S12000042,Dundee City,Local Authority,2009,Male,Full Time,Workplace Based,Mean,584.5,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2013,Male,Full Time,Residence Based,Mean,628,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,2013,Male,Full Time,Residence Based,Median,517.1,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2009,Male,Full Time,Workplace Based,Mean,572.6,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2009,Male,Full Time,Workplace Based,Mean,709,Pounds (GBP)
S12000019,Midlothian,Local Authority,2012,Male,Full Time,Residence Based,Mean,590.6,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2005,Male,Full Time,Residence Based,Median,418.2,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2012,Male,Full Time,Residence Based,Median,478.3,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2005,Male,Full Time,Residence Based,Mean,477.9,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2009,Male,Full Time,Workplace Based,Mean,572,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2013,Male,Full Time,Residence Based,Mean,666,Pounds (GBP)
S12000013,Na h-Eileanan Siar,Local Authority,2009,Male,Full Time,Workplace Based,Median,461.4,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2014,Male,Full Time,Residence Based,Median,612.2,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2009,Male,Full Time,Workplace Based,Median,498.3,Pounds (GBP)
S12000030,Stirling,Local Authority,2008,Male,Full Time,Workplace Based,Median,452.8,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2004,Male,Full Time,Residence Based,Median,382.2,Pounds (GBP)
S12000019,Midlothian,Local Authority,2009,Male,Full Time,Workplace Based,Mean,598.9,Pounds (GBP)
S12000019,Midlothian,Local Authority,2009,Male,Full Time,Workplace Based,Median,528.9,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2013,Male,Full Time,Residence Based,Median,504,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2013,Male,Full Time,Residence Based,Mean,552.2,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2014,Male,Full Time,Residence Based,Mean,750.1,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2008,Male,Full Time,Workplace Based,Median,624.8,Pounds (GBP)
S12000040,West Lothian,Local Authority,2004,Male,Full Time,Residence Based,Median,444.2,Pounds (GBP)
