area_code,reference_area,area_type,reference_period,indicator,value,units
S12000045,East Dunbartonshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),662,Kg Per Capita
S12000045,East Dunbartonshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),690,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2004/2005,Waste Arisings (Tonnes),14293,Tonnes
S12000045,East Dunbartonshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),715,Kg Per Capita
S12000045,East Dunbartonshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),703,Kg Per Capita
S12000045,East Dunbartonshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),688,Kg Per Capita
S12000045,East Dunbartonshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),686,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2010/2011,Waste Arisings (Tonnes),13365,Tonnes
S12000027,Shetland Islands,Local Authority,2009/2010,Waste Arisings (Tonnes),13996,Tonnes
S12000027,Shetland Islands,Local Authority,2006/2007,Waste Arisings (Tonnes),12453,Tonnes
S12000027,Shetland Islands,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),597,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2005/2006,Waste Arisings (Tonnes),13086,Tonnes
S12000027,Shetland Islands,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),603,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),2.1,ktonnes
S12000027,Shetland Islands,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),2.2,ktonnes
S12000027,Shetland Islands,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.5,ktonnes
S12000027,Shetland Islands,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),616,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),569,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.8,ktonnes
S12000045,East Dunbartonshire,Local Authority,2005/2006,Waste Arisings (Tonnes),73605,Tonnes
S12000045,East Dunbartonshire,Local Authority,2007/2008,Waste Arisings (Tonnes),74941,Tonnes
S12000027,Shetland Islands,Local Authority,2011/2012,Waste Arisings (Tonnes),13574,Tonnes
S12000027,Shetland Islands,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.7,ktonnes
S12000027,Shetland Islands,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.3,ktonnes
S12000027,Shetland Islands,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),0.5,ktonnes
S12000026,Scottish Borders,Local Authority,2004/2005,Waste Arisings (Tonnes),79876,Tonnes
S12000045,East Dunbartonshire,Local Authority,2010/2011,Waste Arisings (Tonnes),66003,Tonnes
S12000026,Scottish Borders,Local Authority,2005/2006,Waste Arisings (Tonnes),73214,Tonnes
S12000026,Scottish Borders,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),30.7,ktonnes
S12000026,Scottish Borders,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),29.9,ktonnes
S12000045,East Dunbartonshire,Local Authority,2009/2010,Waste Arisings (Tonnes),69301,Tonnes
S12000026,Scottish Borders,Local Authority,2011/2012,Waste Arisings (Tonnes),65207,Tonnes
S12000026,Scottish Borders,Local Authority,2007/2008,Waste Arisings (Tonnes),76914,Tonnes
S12000026,Scottish Borders,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),576,Kg Per Capita
S12000026,Scottish Borders,Local Authority,2008/2009,Waste Arisings (Tonnes),73617,Tonnes
S12000026,Scottish Borders,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),626,Kg Per Capita
S12000026,Scottish Borders,Local Authority,2006/2007,Waste Arisings (Tonnes),73625,Tonnes
S12000026,Scottish Borders,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),731,Kg Per Capita
S12000026,Scottish Borders,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),46.9,ktonnes
S12000026,Scottish Borders,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),655,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2007/2008,Waste Arisings (Tonnes),11790,Tonnes
S12000027,Shetland Islands,Local Authority,2008/2009,Waste Arisings (Tonnes),11624,Tonnes
S12000026,Scottish Borders,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),665,Kg Per Capita
S12000026,Scottish Borders,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.2,ktonnes
S12000026,Scottish Borders,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),23,ktonnes
S12000026,Scottish Borders,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),38.1,ktonnes
S12000026,Scottish Borders,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),690,Kg Per Capita
S12000026,Scottish Borders,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),668,Kg Per Capita
S12000026,Scottish Borders,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),27.2,ktonnes
S12000028,South Ayrshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),736,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),793,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2005/2006,Waste Arisings (Tonnes),78701,Tonnes
S12000028,South Ayrshire,Local Authority,2004/2005,Waste Arisings (Tonnes),76274,Tonnes
S12000045,East Dunbartonshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),32.8,ktonnes
S12000045,East Dunbartonshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.9,ktonnes
S12000028,South Ayrshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),751,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),28.6,ktonnes
S12000028,South Ayrshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),27.5,ktonnes
S12000028,South Ayrshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),37.2,ktonnes
S12000028,South Ayrshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),665,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),695,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),28,ktonnes
S12000029,South Lanarkshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),84.8,ktonnes
S12000029,South Lanarkshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),75.5,ktonnes
S12000029,South Lanarkshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),94.6,ktonnes
S12000029,South Lanarkshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),79.8,ktonnes
S12000029,South Lanarkshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),568,Kg Per Capita
S12000029,South Lanarkshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),69.6,ktonnes
S12000042,Dundee City,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),699,Kg Per Capita
S12000042,Dundee City,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),650,Kg Per Capita
S12000045,East Dunbartonshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),27.3,ktonnes
S12000029,South Lanarkshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),84.9,ktonnes
S12000029,South Lanarkshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),82,ktonnes
