area_code,reference_area,area_type,year,gender,cancer_type,value,units
S12000039,West Dunbartonshire,Local Authority,2013,Male,Malignant Neoplasms,304,Cases
S12000039,West Dunbartonshire,Local Authority,2013,All,Colorectal Cancer,60,Cases
S12000039,West Dunbartonshire,Local Authority,2017,Male,Malignant Neoplasms,288,Cases
S12000039,West Dunbartonshire,Local Authority,2016,All,Colorectal Cancer,65,Cases
S12000039,West Dunbartonshire,Local Authority,2011,Female,Malignant Neoplasms,270,Cases
S12000039,West Dunbartonshire,Local Authority,2016,Female,Breast Cancer,100,Cases
S12000039,West Dunbartonshire,Local Authority,2014,All,Colorectal Cancer,77,Cases
S12000039,West Dunbartonshire,Local Authority,2012,Female,Malignant Neoplasms,333,Cases
S12000039,West Dunbartonshire,Local Authority,2013,All,Malignant Neoplasms,598,Cases
S12000039,West Dunbartonshire,Local Authority,2017,All,Malignant Neoplasms,577,Cases
S12000039,West Dunbartonshire,Local Authority,2014,All,Malignant Neoplasms,618,Cases
S12000039,West Dunbartonshire,Local Authority,2012,All,Malignant Neoplasms,629,Cases
S12000039,West Dunbartonshire,Local Authority,2009,Female,Malignant Neoplasms,339,Cases
S12000039,West Dunbartonshire,Local Authority,2007,Female,Malignant Neoplasms,272,Cases
S12000039,West Dunbartonshire,Local Authority,2010,All,Colorectal Cancer,60,Cases
S12000039,West Dunbartonshire,Local Authority,2015,Female,Malignant Neoplasms,325,Cases
S12000039,West Dunbartonshire,Local Authority,1998,Female,Malignant Neoplasms,282,Cases
S12000039,West Dunbartonshire,Local Authority,2008,Female,Malignant Neoplasms,257,Cases
S12000039,West Dunbartonshire,Local Authority,2011,Male,Malignant Neoplasms,272,Cases
S12000039,West Dunbartonshire,Local Authority,1999,Female,Malignant Neoplasms,268,Cases
S12000039,West Dunbartonshire,Local Authority,2013,Female,Malignant Neoplasms,294,Cases
S12000039,West Dunbartonshire,Local Authority,2001,All,Colorectal Cancer,58,Cases
S12000039,West Dunbartonshire,Local Authority,2005,Female,Malignant Neoplasms,239,Cases
S12000039,West Dunbartonshire,Local Authority,2017,All,Colorectal Cancer,64,Cases
S12000039,West Dunbartonshire,Local Authority,2014,Male,Malignant Neoplasms,312,Cases
S12000039,West Dunbartonshire,Local Authority,2004,Female,Malignant Neoplasms,264,Cases
S12000039,West Dunbartonshire,Local Authority,2010,Female,Malignant Neoplasms,306,Cases
S12000039,West Dunbartonshire,Local Authority,2003,Female,Malignant Neoplasms,285,Cases
S12000039,West Dunbartonshire,Local Authority,2012,All,Colorectal Cancer,73,Cases
S12000039,West Dunbartonshire,Local Authority,2012,Male,Malignant Neoplasms,296,Cases
S12000039,West Dunbartonshire,Local Authority,2010,Male,Malignant Neoplasms,226,Cases
S12000039,West Dunbartonshire,Local Authority,2011,All,Colorectal Cancer,73,Cases
S12000039,West Dunbartonshire,Local Authority,2009,Male,Malignant Neoplasms,266,Cases
S12000039,West Dunbartonshire,Local Authority,2008,Female,Breast Cancer,56,Cases
S12000039,West Dunbartonshire,Local Authority,2001,Male,Malignant Neoplasms,227,Cases
S12000039,West Dunbartonshire,Local Authority,2003,Male,Malignant Neoplasms,253,Cases
S12000039,West Dunbartonshire,Local Authority,2004,Male,Malignant Neoplasms,223,Cases
S12000039,West Dunbartonshire,Local Authority,2009,Female,Breast Cancer,108,Cases
S12000039,West Dunbartonshire,Local Authority,2015,Male,Malignant Neoplasms,288,Cases
S12000039,West Dunbartonshire,Local Authority,2015,Female,Breast Cancer,89,Cases
S12000039,West Dunbartonshire,Local Authority,2005,Male,Malignant Neoplasms,236,Cases
S12000039,West Dunbartonshire,Local Authority,2015,All,Malignant Neoplasms,613,Cases
S12000039,West Dunbartonshire,Local Authority,2001,Female,Breast Cancer,61,Cases
S12000039,West Dunbartonshire,Local Authority,2002,Female,Breast Cancer,44,Cases
S12000039,West Dunbartonshire,Local Authority,1997,Male,Malignant Neoplasms,245,Cases
S12000039,West Dunbartonshire,Local Authority,2000,Male,Malignant Neoplasms,218,Cases
S12000039,West Dunbartonshire,Local Authority,2006,Male,Malignant Neoplasms,254,Cases
S12000039,West Dunbartonshire,Local Authority,2002,Male,Malignant Neoplasms,245,Cases
S12000039,West Dunbartonshire,Local Authority,2006,Female,Breast Cancer,121,Cases
S12000039,West Dunbartonshire,Local Authority,2007,Female,Breast Cancer,63,Cases
S12000039,West Dunbartonshire,Local Authority,1999,Female,Breast Cancer,66,Cases
S12000039,West Dunbartonshire,Local Authority,2005,Female,Breast Cancer,54,Cases
S12000039,West Dunbartonshire,Local Authority,2010,All,Malignant Neoplasms,532,Cases
S12000039,West Dunbartonshire,Local Authority,2011,All,Malignant Neoplasms,542,Cases
S12000039,West Dunbartonshire,Local Authority,2004,Female,Breast Cancer,54,Cases
S12000039,West Dunbartonshire,Local Authority,2003,Female,Breast Cancer,85,Cases
S12000039,West Dunbartonshire,Local Authority,1999,Male,Malignant Neoplasms,236,Cases
S12000039,West Dunbartonshire,Local Authority,2011,Female,Breast Cancer,65,Cases
S12000039,West Dunbartonshire,Local Authority,1998,Male,Malignant Neoplasms,229,Cases
S12000039,West Dunbartonshire,Local Authority,2008,Male,Malignant Neoplasms,254,Cases
S12000039,West Dunbartonshire,Local Authority,2000,Female,Breast Cancer,85,Cases
S12000039,West Dunbartonshire,Local Authority,2016,Male,Malignant Neoplasms,274,Cases
S12000039,West Dunbartonshire,Local Authority,2007,Male,Malignant Neoplasms,221,Cases
S12000039,West Dunbartonshire,Local Authority,2016,All,Malignant Neoplasms,610,Cases
S12000039,West Dunbartonshire,Local Authority,2017,All,Lung Cancer,115,Cases
S12000039,West Dunbartonshire,Local Authority,2013,All,Lung Cancer,131,Cases
S12000039,West Dunbartonshire,Local Authority,2009,Male,Prostate Cancer,49,Cases
S12000039,West Dunbartonshire,Local Authority,2011,Male,Prostate Cancer,52,Cases
S12000039,West Dunbartonshire,Local Authority,2014,All,Lung Cancer,136,Cases
S12000039,West Dunbartonshire,Local Authority,2005,All,Lung Cancer,94,Cases
S12000039,West Dunbartonshire,Local Authority,2010,All,Lung Cancer,121,Cases
S12000039,West Dunbartonshire,Local Authority,2016,Male,Prostate Cancer,59,Cases
S12000039,West Dunbartonshire,Local Authority,2006,Male,Prostate Cancer,36,Cases
S12000039,West Dunbartonshire,Local Authority,2016,All,Lung Cancer,115,Cases
S12000039,West Dunbartonshire,Local Authority,2005,Male,Prostate Cancer,41,Cases
S12000039,West Dunbartonshire,Local Authority,2008,Male,Prostate Cancer,34,Cases
S12000039,West Dunbartonshire,Local Authority,2015,Male,Prostate Cancer,88,Cases
S12000039,West Dunbartonshire,Local Authority,2010,Male,Prostate Cancer,34,Cases
S12000039,West Dunbartonshire,Local Authority,2011,All,Lung Cancer,94,Cases
S12000039,West Dunbartonshire,Local Authority,2012,All,Lung Cancer,123,Cases
S12000039,West Dunbartonshire,Local Authority,2000,All,Lung Cancer,100,Cases
S12000039,West Dunbartonshire,Local Authority,2003,All,Lung Cancer,113,Cases
S12000039,West Dunbartonshire,Local Authority,2001,All,Lung Cancer,94,Cases
S12000039,West Dunbartonshire,Local Authority,2014,Male,Prostate Cancer,74,Cases
S12000039,West Dunbartonshire,Local Authority,2004,All,Lung Cancer,90,Cases
S12000039,West Dunbartonshire,Local Authority,1997,All,Lung Cancer,89,Cases
S12000039,West Dunbartonshire,Local Authority,1998,All,Lung Cancer,98,Cases
S12000039,West Dunbartonshire,Local Authority,1999,All,Lung Cancer,104,Cases
S12000039,West Dunbartonshire,Local Authority,2007,All,Lung Cancer,104,Cases
S12000039,West Dunbartonshire,Local Authority,2015,All,Lung Cancer,106,Cases
S12000039,West Dunbartonshire,Local Authority,2008,All,Lung Cancer,101,Cases
S12000039,West Dunbartonshire,Local Authority,2009,All,Lung Cancer,102,Cases
S12000039,West Dunbartonshire,Local Authority,2012,Male,Prostate Cancer,52,Cases
S12000039,West Dunbartonshire,Local Authority,2013,Male,Prostate Cancer,55,Cases
S12000039,West Dunbartonshire,Local Authority,2006,All,Lung Cancer,106,Cases
S12000039,West Dunbartonshire,Local Authority,2002,All,Lung Cancer,110,Cases
S12000039,West Dunbartonshire,Local Authority,2003,All,Colorectal Cancer,59,Cases
S12000039,West Dunbartonshire,Local Authority,2005,All,Colorectal Cancer,45,Cases
