area_code,reference_area,area_type,year,value,units
S12000039,West Dunbartonshire,Local Authority,2012,96666,People
S12000039,West Dunbartonshire,Local Authority,2013,96281,People
S12000039,West Dunbartonshire,Local Authority,2015,96065,People
S12000039,West Dunbartonshire,Local Authority,2009,97712,People
S12000039,West Dunbartonshire,Local Authority,2007,98037,People
S12000039,West Dunbartonshire,Local Authority,2018,96233,People
S12000039,West Dunbartonshire,Local Authority,2011,97035,People
S12000039,West Dunbartonshire,Local Authority,2016,96376,People
S12000039,West Dunbartonshire,Local Authority,2017,96399,People
S12000039,West Dunbartonshire,Local Authority,2019,96146,People
S12000039,West Dunbartonshire,Local Authority,2014,96194,People
S12000039,West Dunbartonshire,Local Authority,2010,97525,People
S12000039,West Dunbartonshire,Local Authority,2008,97851,People
S12000040,West Lothian,Local Authority,2011,179508,People
S12000040,West Lothian,Local Authority,2008,176437,People
S12000040,West Lothian,Local Authority,2014,182601,People
S12000040,West Lothian,Local Authority,2012,180047,People
S12000040,West Lothian,Local Authority,2018,184872,People
S12000040,West Lothian,Local Authority,2010,178719,People
S12000040,West Lothian,Local Authority,2017,192409,People
S12000040,West Lothian,Local Authority,2007,174357,People
S12000040,West Lothian,Local Authority,2016,190859,People
S12000040,West Lothian,Local Authority,2013,181026,People
S12000040,West Lothian,Local Authority,2019,186067,People
S12000040,West Lothian,Local Authority,2015,183880,People
S12000040,West Lothian,Local Authority,2009,177832,People
S12000005,Clackmannanshire,Local Authority,2010,56272,People
S12000005,Clackmannanshire,Local Authority,2011,56345,People
S12000005,Clackmannanshire,Local Authority,2013,56379,People
S12000005,Clackmannanshire,Local Authority,2018,57405,People
S12000005,Clackmannanshire,Local Authority,2008,55966,People
S12000005,Clackmannanshire,Local Authority,2017,57256,People
S12000005,Clackmannanshire,Local Authority,2015,56778,People
S12000005,Clackmannanshire,Local Authority,2007,55325,People
S12000005,Clackmannanshire,Local Authority,2009,56072,People
S12000005,Clackmannanshire,Local Authority,2016,56950,People
S12000005,Clackmannanshire,Local Authority,2012,56332,People
S12000005,Clackmannanshire,Local Authority,2014,56528,People
S12000005,Clackmannanshire,Local Authority,2019,57540,People
S12000006,Dumfries and Galloway,Local Authority,2009,155406,People
S12000006,Dumfries and Galloway,Local Authority,2010,155397,People
S12000006,Dumfries and Galloway,Local Authority,2007,154771,People
S12000006,Dumfries and Galloway,Local Authority,2015,154115,People
S12000006,Dumfries and Galloway,Local Authority,2017,154307,People
S12000006,Dumfries and Galloway,Local Authority,2008,155551,People
S12000006,Dumfries and Galloway,Local Authority,2013,154310,People
S12000006,Dumfries and Galloway,Local Authority,2011,155378,People
S12000006,Dumfries and Galloway,Local Authority,2016,154188,People
S12000006,Dumfries and Galloway,Local Authority,2019,154430,People
S12000006,Dumfries and Galloway,Local Authority,2014,154188,People
S12000006,Dumfries and Galloway,Local Authority,2018,154306,People
S12000006,Dumfries and Galloway,Local Authority,2012,154898,People
S12000008,East Ayrshire,Local Authority,2017,132049,People
S12000008,East Ayrshire,Local Authority,2007,131370,People
S12000008,East Ayrshire,Local Authority,2013,132237,People
S12000008,East Ayrshire,Local Authority,2010,132478,People
S12000008,East Ayrshire,Local Authority,2011,132410,People
S12000008,East Ayrshire,Local Authority,2014,132113,People
S12000008,East Ayrshire,Local Authority,2012,132269,People
S12000008,East Ayrshire,Local Authority,2008,131969,People
S12000008,East Ayrshire,Local Authority,2016,132070,People
S12000008,East Ayrshire,Local Authority,2018,132090,People
S12000008,East Ayrshire,Local Authority,2015,132029,People
S12000008,East Ayrshire,Local Authority,2019,132359,People
S12000008,East Ayrshire,Local Authority,2009,132298,People
S12000010,East Lothian,Local Authority,2017,108332,People
S12000010,East Lothian,Local Authority,2007,98825,People
S12000010,East Lothian,Local Authority,2014,104952,People
S12000010,East Lothian,Local Authority,2016,107355,People
S12000010,East Lothian,Local Authority,2019,111897,People
S12000010,East Lothian,Local Authority,2012,103392,People
S12000010,East Lothian,Local Authority,2010,102147,People
S12000010,East Lothian,Local Authority,2011,103960,People
S12000010,East Lothian,Local Authority,2013,104215,People
S12000010,East Lothian,Local Authority,2015,106091,People
S12000010,East Lothian,Local Authority,2018,110164,People
S12000010,East Lothian,Local Authority,2009,101586,People
S12000010,East Lothian,Local Authority,2008,100674,People
S12000011,East Renfrewshire,Local Authority,2007,97250,People
S12000011,East Renfrewshire,Local Authority,2008,98133,People
S12000011,East Renfrewshire,Local Authority,2014,102862,People
S12000011,East Renfrewshire,Local Authority,2010,99413,People
S12000011,East Renfrewshire,Local Authority,2013,102207,People
S12000011,East Renfrewshire,Local Authority,2015,104003,People
S12000011,East Renfrewshire,Local Authority,2018,108576,People
S12000011,East Renfrewshire,Local Authority,2017,107591,People
S12000011,East Renfrewshire,Local Authority,2009,98503,People
S12000011,East Renfrewshire,Local Authority,2011,100179,People
S12000011,East Renfrewshire,Local Authority,2012,101307,People
S12000011,East Renfrewshire,Local Authority,2019,109493,People
S12000011,East Renfrewshire,Local Authority,2016,105731,People
S12000013,Na h-Eileanan Siar,Local Authority,2012,27284,People
S12000013,Na h-Eileanan Siar,Local Authority,2018,26941,People
S12000013,Na h-Eileanan Siar,Local Authority,2013,27204,People
S12000013,Na h-Eileanan Siar,Local Authority,2015,26967,People
S12000013,Na h-Eileanan Siar,Local Authority,2019,26889,People
S12000013,Na h-Eileanan Siar,Local Authority,2008,27654,People
S12000013,Na h-Eileanan Siar,Local Authority,2014,27099,People
S12000013,Na h-Eileanan Siar,Local Authority,2011,27376,People
S12000013,Na h-Eileanan Siar,Local Authority,2016,26836,People
