area_code,reference_area,area_type,year,vaccination_uptake,measure_type,value,units
S12000017,Highland,Local Authority,2017,Number In 5 Year Cohort,Count,2511,Children
S12000017,Highland,Local Authority,2012,Number In 5 Year Cohort,Count,2441,Children
S12000017,Highland,Local Authority,2008,Number In 5 Year Cohort,Count,2297,Children
S12000017,Highland,Local Authority,2009,Number In 5 Year Cohort,Count,2345,Children
S12000017,Highland,Local Authority,2008,Vaccinated by 5 Years,Count,2129,Children
S12000017,Highland,Local Authority,2011,Number In 5 Year Cohort,Count,2361,Children
S12000017,Highland,Local Authority,2016,Number In 5 Year Cohort,Count,2430,Children
S12000017,Highland,Local Authority,2010,Number In 5 Year Cohort,Count,2349,Children
S12000017,Highland,Local Authority,2018,Vaccinated by 5 Years,Count,2209,Children
S12000017,Highland,Local Authority,2012,Vaccinated by 5 Years,Count,2357,Children
S12000017,Highland,Local Authority,2013,Vaccinated by 5 Years,Count,2451,Children
S12000017,Highland,Local Authority,2010,Vaccinated by 5 Years,Count,2218,Children
S12000017,Highland,Local Authority,2016,Vaccinated by 5 Years,Count,2334,Children
S12000017,Highland,Local Authority,2014,Vaccinated by 5 Years,Count,2347,Children
S12000017,Highland,Local Authority,2018,Number In 5 Year Cohort,Count,2312,Children
S12000014,Falkirk,Local Authority,2013,Vaccinated by 5 Years,Count,1903,Children
S12000014,Falkirk,Local Authority,2012,Vaccinated by 5 Years,Count,1872,Children
S12000014,Falkirk,Local Authority,2009,Vaccinated by 5 Years,Count,1707,Children
S12000014,Falkirk,Local Authority,2011,Vaccinated by 5 Years,Count,1711,Children
S12000014,Falkirk,Local Authority,2015,Number In 5 Year Cohort,Count,1852,Children
S12000014,Falkirk,Local Authority,2012,Number In 5 Year Cohort,Count,1912,Children
S12000014,Falkirk,Local Authority,2008,Vaccinated by 5 Years,Count,1560,Children
S12000014,Falkirk,Local Authority,2014,Number In 5 Year Cohort,Count,1923,Children
S12000017,Highland,Local Authority,2011,Vaccinated by 5 Years,Count,2256,Children
S12000017,Highland,Local Authority,2017,Vaccinated by 5 Years,Count,2414,Children
S12000017,Highland,Local Authority,2015,Vaccinated by 5 Years,Count,2375,Children
S12000017,Highland,Local Authority,2013,Number In 5 Year Cohort,Count,2551,Children
S12000017,Highland,Local Authority,2014,Number In 5 Year Cohort,Count,2430,Children
S12000017,Highland,Local Authority,2009,Vaccinated by 5 Years,Count,2207,Children
S12000017,Highland,Local Authority,2015,Number In 5 Year Cohort,Count,2475,Children
S12000018,Inverclyde,Local Authority,2017,Number In 5 Year Cohort,Count,788,Children
S12000018,Inverclyde,Local Authority,2018,Vaccinated by 5 Years,Count,757,Children
S12000018,Inverclyde,Local Authority,2010,Vaccinated by 5 Years,Count,869,Children
S12000018,Inverclyde,Local Authority,2010,Number In 5 Year Cohort,Count,893,Children
S12000018,Inverclyde,Local Authority,2013,Vaccinated by 5 Years,Count,834,Children
S12000018,Inverclyde,Local Authority,2012,Vaccinated by 5 Years,Count,840,Children
S12000018,Inverclyde,Local Authority,2012,Number In 5 Year Cohort,Count,863,Children
S12000018,Inverclyde,Local Authority,2008,Vaccinated by 5 Years,Count,817,Children
S12000019,Midlothian,Local Authority,2012,Vaccinated by 5 Years,Count,1016,Children
S12000019,Midlothian,Local Authority,2015,Vaccinated by 5 Years,Count,1121,Children
S12000019,Midlothian,Local Authority,2011,Number In 5 Year Cohort,Count,974,Children
S12000019,Midlothian,Local Authority,2013,Vaccinated by 5 Years,Count,995,Children
S12000019,Midlothian,Local Authority,2011,Vaccinated by 5 Years,Count,942,Children
S12000019,Midlothian,Local Authority,2015,Number In 5 Year Cohort,Count,1149,Children
S12000019,Midlothian,Local Authority,2018,Vaccinated by 5 Years,Count,1145,Children
S12000018,Inverclyde,Local Authority,2009,Vaccinated by 5 Years,Count,800,Children
S12000018,Inverclyde,Local Authority,2011,Vaccinated by 5 Years,Count,794,Children
S12000018,Inverclyde,Local Authority,2015,Vaccinated by 5 Years,Count,790,Children
S12000018,Inverclyde,Local Authority,2017,Vaccinated by 5 Years,Count,766,Children
S12000018,Inverclyde,Local Authority,2016,Number In 5 Year Cohort,Count,811,Children
S12000018,Inverclyde,Local Authority,2013,Number In 5 Year Cohort,Count,861,Children
S12000018,Inverclyde,Local Authority,2014,Number In 5 Year Cohort,Count,805,Children
S12000018,Inverclyde,Local Authority,2014,Vaccinated by 5 Years,Count,787,Children
S12000018,Inverclyde,Local Authority,2008,Number In 5 Year Cohort,Count,852,Children
S12000018,Inverclyde,Local Authority,2016,Vaccinated by 5 Years,Count,793,Children
S12000018,Inverclyde,Local Authority,2015,Number In 5 Year Cohort,Count,804,Children
S12000018,Inverclyde,Local Authority,2009,Number In 5 Year Cohort,Count,817,Children
S12000018,Inverclyde,Local Authority,2011,Number In 5 Year Cohort,Count,826,Children
S12000018,Inverclyde,Local Authority,2018,Number In 5 Year Cohort,Count,778,Children
S12000011,East Renfrewshire,Local Authority,2016,Number In 5 Year Cohort,Count,1184,Children
S12000011,East Renfrewshire,Local Authority,2011,Number In 5 Year Cohort,Count,1059,Children
S12000011,East Renfrewshire,Local Authority,2010,Number In 5 Year Cohort,Count,1045,Children
S12000011,East Renfrewshire,Local Authority,2013,Number In 5 Year Cohort,Count,1100,Children
S12000011,East Renfrewshire,Local Authority,2010,Vaccinated by 5 Years,Count,989,Children
S12000011,East Renfrewshire,Local Authority,2018,Vaccinated by 5 Years,Count,1239,Children
S12000011,East Renfrewshire,Local Authority,2016,Vaccinated by 5 Years,Count,1148,Children
S12000011,East Renfrewshire,Local Authority,2017,Vaccinated by 5 Years,Count,1276,Children
S12000013,Na h-Eileanan Siar,Local Authority,2018,Number In 5 Year Cohort,Count,271,Children
S12000013,Na h-Eileanan Siar,Local Authority,2010,Vaccinated by 5 Years,Count,239,Children
S12000013,Na h-Eileanan Siar,Local Authority,2013,Vaccinated by 5 Years,Count,269,Children
S12000013,Na h-Eileanan Siar,Local Authority,2008,Vaccinated by 5 Years,Count,247,Children
S12000013,Na h-Eileanan Siar,Local Authority,2018,Vaccinated by 5 Years,Count,264,Children
S12000013,Na h-Eileanan Siar,Local Authority,2011,Vaccinated by 5 Years,Count,276,Children
S12000013,Na h-Eileanan Siar,Local Authority,2009,Vaccinated by 5 Years,Count,242,Children
S12000011,East Renfrewshire,Local Authority,2009,Number In 5 Year Cohort,Count,1117,Children
S12000011,East Renfrewshire,Local Authority,2012,Number In 5 Year Cohort,Count,1083,Children
S12000011,East Renfrewshire,Local Authority,2014,Vaccinated by 5 Years,Count,1131,Children
S12000011,East Renfrewshire,Local Authority,2012,Vaccinated by 5 Years,Count,1060,Children
S12000011,East Renfrewshire,Local Authority,2014,Number In 5 Year Cohort,Count,1154,Children
S12000011,East Renfrewshire,Local Authority,2008,Number In 5 Year Cohort,Count,1060,Children
S12000011,East Renfrewshire,Local Authority,2018,Number In 5 Year Cohort,Count,1265,Children
S12000011,East Renfrewshire,Local Authority,2015,Number In 5 Year Cohort,Count,1224,Children
S12000011,East Renfrewshire,Local Authority,2009,Vaccinated by 5 Years,Count,1085,Children
S12000011,East Renfrewshire,Local Authority,2008,Vaccinated by 5 Years,Count,1003,Children
S12000011,East Renfrewshire,Local Authority,2017,Number In 5 Year Cohort,Count,1304,Children
S12000011,East Renfrewshire,Local Authority,2015,Vaccinated by 5 Years,Count,1202,Children
S12000011,East Renfrewshire,Local Authority,2013,Vaccinated by 5 Years,Count,1080,Children
S12000011,East Renfrewshire,Local Authority,2011,Vaccinated by 5 Years,Count,1013,Children
S12000014,Falkirk,Local Authority,2010,Number In 5 Year Cohort,Count,1746,Children
S12000014,Falkirk,Local Authority,2014,Vaccinated by 5 Years,Count,1898,Children
S12000014,Falkirk,Local Authority,2018,Vaccinated by 5 Years,Count,1696,Children
S12000014,Falkirk,Local Authority,2016,Vaccinated by 5 Years,Count,1804,Children
