area_code,reference_area,area_type,year,value,units
S12000005,Clackmannanshire,Local Authority,2002,0,HMO Licences
S12000005,Clackmannanshire,Local Authority,2003,1,HMO Licences
S12000005,Clackmannanshire,Local Authority,2004,3,HMO Licences
S12000005,Clackmannanshire,Local Authority,2005,2,HMO Licences
S12000005,Clackmannanshire,Local Authority,2006,6,HMO Licences
S12000005,Clackmannanshire,Local Authority,2007,9,HMO Licences
S12000005,Clackmannanshire,Local Authority,2008,9,HMO Licences
S12000005,Clackmannanshire,Local Authority,2009,8,HMO Licences
S12000005,Clackmannanshire,Local Authority,2010,9,HMO Licences
S12000005,Clackmannanshire,Local Authority,2011,8,HMO Licences
S12000005,Clackmannanshire,Local Authority,2012,8,HMO Licences
S12000005,Clackmannanshire,Local Authority,2013,8,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2001,1,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2002,9,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2003,29,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2004,72,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2005,87,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2006,93,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2007,115,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2008,120,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2009,127,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2010,120,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2011,123,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2012,119,HMO Licences
S12000006,Dumfries and Galloway,Local Authority,2013,117,HMO Licences
S12000008,East Ayrshire,Local Authority,2001,0,HMO Licences
S12000008,East Ayrshire,Local Authority,2002,2,HMO Licences
S12000008,East Ayrshire,Local Authority,2003,4,HMO Licences
S12000008,East Ayrshire,Local Authority,2004,4,HMO Licences
S12000008,East Ayrshire,Local Authority,2005,8,HMO Licences
S12000008,East Ayrshire,Local Authority,2006,14,HMO Licences
S12000008,East Ayrshire,Local Authority,2007,18,HMO Licences
S12000008,East Ayrshire,Local Authority,2008,20,HMO Licences
S12000008,East Ayrshire,Local Authority,2009,12,HMO Licences
S12000008,East Ayrshire,Local Authority,2010,15,HMO Licences
S12000008,East Ayrshire,Local Authority,2011,16,HMO Licences
S12000008,East Ayrshire,Local Authority,2012,11,HMO Licences
S12000008,East Ayrshire,Local Authority,2013,12,HMO Licences
S12000010,East Lothian,Local Authority,2002,0,HMO Licences
S12000010,East Lothian,Local Authority,2003,4,HMO Licences
S12000010,East Lothian,Local Authority,2004,12,HMO Licences
S12000010,East Lothian,Local Authority,2005,26,HMO Licences
S12000010,East Lothian,Local Authority,2006,34,HMO Licences
S12000010,East Lothian,Local Authority,2007,38,HMO Licences
S12000010,East Lothian,Local Authority,2008,41,HMO Licences
S12000010,East Lothian,Local Authority,2009,47,HMO Licences
S12000010,East Lothian,Local Authority,2010,49,HMO Licences
S12000010,East Lothian,Local Authority,2011,53,HMO Licences
S12000010,East Lothian,Local Authority,2012,56,HMO Licences
S12000010,East Lothian,Local Authority,2013,49,HMO Licences
S12000011,East Renfrewshire,Local Authority,2001,0,HMO Licences
S12000011,East Renfrewshire,Local Authority,2002,1,HMO Licences
S12000011,East Renfrewshire,Local Authority,2003,5,HMO Licences
S12000011,East Renfrewshire,Local Authority,2004,6,HMO Licences
S12000011,East Renfrewshire,Local Authority,2005,14,HMO Licences
S12000011,East Renfrewshire,Local Authority,2006,16,HMO Licences
S12000011,East Renfrewshire,Local Authority,2007,15,HMO Licences
S12000011,East Renfrewshire,Local Authority,2008,14,HMO Licences
S12000011,East Renfrewshire,Local Authority,2009,14,HMO Licences
S12000011,East Renfrewshire,Local Authority,2010,18,HMO Licences
S12000011,East Renfrewshire,Local Authority,2011,18,HMO Licences
S12000011,East Renfrewshire,Local Authority,2012,18,HMO Licences
S12000011,East Renfrewshire,Local Authority,2013,18,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2003,0,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2004,1,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2005,1,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2006,1,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2007,1,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2008,4,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2009,16,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2010,18,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2011,24,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2012,21,HMO Licences
S12000013,Na h-Eileanan Siar,Local Authority,2013,26,HMO Licences
S12000014,Falkirk,Local Authority,2001,0,HMO Licences
S12000014,Falkirk,Local Authority,2002,1,HMO Licences
S12000014,Falkirk,Local Authority,2003,1,HMO Licences
S12000014,Falkirk,Local Authority,2004,1,HMO Licences
S12000014,Falkirk,Local Authority,2005,1,HMO Licences
S12000014,Falkirk,Local Authority,2006,1,HMO Licences
S12000014,Falkirk,Local Authority,2007,1,HMO Licences
S12000014,Falkirk,Local Authority,2008,39,HMO Licences
S12000014,Falkirk,Local Authority,2009,39,HMO Licences
S12000014,Falkirk,Local Authority,2010,41,HMO Licences
S12000014,Falkirk,Local Authority,2011,43,HMO Licences
S12000014,Falkirk,Local Authority,2012,40,HMO Licences
S12000014,Falkirk,Local Authority,2013,35,HMO Licences
S12000017,Highland,Local Authority,2001,0,HMO Licences
S12000017,Highland,Local Authority,2002,45,HMO Licences
S12000017,Highland,Local Authority,2003,38,HMO Licences
S12000017,Highland,Local Authority,2004,32,HMO Licences
S12000017,Highland,Local Authority,2005,40,HMO Licences
S12000017,Highland,Local Authority,2006,43,HMO Licences
S12000017,Highland,Local Authority,2007,77,HMO Licences
S12000017,Highland,Local Authority,2008,81,HMO Licences
S12000017,Highland,Local Authority,2009,115,HMO Licences
S12000017,Highland,Local Authority,2010,231,HMO Licences
S12000017,Highland,Local Authority,2011,239,HMO Licences
S12000017,Highland,Local Authority,2012,250,HMO Licences
S12000017,Highland,Local Authority,2013,247,HMO Licences
S12000018,Inverclyde,Local Authority,2001,0,HMO Licences
S12000018,Inverclyde,Local Authority,2002,29,HMO Licences
S12000018,Inverclyde,Local Authority,2003,30,HMO Licences
S12000018,Inverclyde,Local Authority,2004,53,HMO Licences
S12000018,Inverclyde,Local Authority,2005,37,HMO Licences
S12000018,Inverclyde,Local Authority,2006,13,HMO Licences
S12000018,Inverclyde,Local Authority,2007,13,HMO Licences
S12000018,Inverclyde,Local Authority,2008,13,HMO Licences
S12000018,Inverclyde,Local Authority,2009,67,HMO Licences
S12000018,Inverclyde,Local Authority,2010,71,HMO Licences
S12000018,Inverclyde,Local Authority,2011,45,HMO Licences
S12000018,Inverclyde,Local Authority,2012,21,HMO Licences
S12000018,Inverclyde,Local Authority,2013,11,HMO Licences
S12000019,Midlothian,Local Authority,2001,0,HMO Licences
S12000019,Midlothian,Local Authority,2002,3,HMO Licences
S12000019,Midlothian,Local Authority,2003,8,HMO Licences
S12000019,Midlothian,Local Authority,2004,11,HMO Licences
S12000019,Midlothian,Local Authority,2005,14,HMO Licences
S12000019,Midlothian,Local Authority,2006,14,HMO Licences
S12000019,Midlothian,Local Authority,2007,25,HMO Licences
S12000019,Midlothian,Local Authority,2008,13,HMO Licences
S12000019,Midlothian,Local Authority,2009,21,HMO Licences
S12000019,Midlothian,Local Authority,2010,24,HMO Licences
S12000019,Midlothian,Local Authority,2011,36,HMO Licences
S12000019,Midlothian,Local Authority,2012,43,HMO Licences
S12000019,Midlothian,Local Authority,2013,45,HMO Licences
S12000020,Moray,Local Authority,2001,0,HMO Licences
S12000020,Moray,Local Authority,2002,2,HMO Licences
S12000020,Moray,Local Authority,2003,3,HMO Licences
S12000020,Moray,Local Authority,2004,3,HMO Licences
S12000020,Moray,Local Authority,2005,18,HMO Licences
S12000020,Moray,Local Authority,2006,28,HMO Licences
S12000020,Moray,Local Authority,2007,41,HMO Licences
S12000020,Moray,Local Authority,2008,47,HMO Licences
S12000020,Moray,Local Authority,2009,49,HMO Licences
S12000020,Moray,Local Authority,2010,48,HMO Licences
S12000020,Moray,Local Authority,2011,49,HMO Licences
S12000020,Moray,Local Authority,2012,46,HMO Licences
S12000020,Moray,Local Authority,2013,46,HMO Licences
S12000021,North Ayrshire,Local Authority,2001,0,HMO Licences
S12000021,North Ayrshire,Local Authority,2002,4,HMO Licences
S12000021,North Ayrshire,Local Authority,2003,6,HMO Licences
S12000021,North Ayrshire,Local Authority,2004,6,HMO Licences
S12000021,North Ayrshire,Local Authority,2005,8,HMO Licences
S12000021,North Ayrshire,Local Authority,2006,7,HMO Licences
S12000021,North Ayrshire,Local Authority,2007,8,HMO Licences
S12000021,North Ayrshire,Local Authority,2008,8,HMO Licences
S12000021,North Ayrshire,Local Authority,2009,6,HMO Licences
S12000021,North Ayrshire,Local Authority,2010,7,HMO Licences
S12000021,North Ayrshire,Local Authority,2011,8,HMO Licences
S12000021,North Ayrshire,Local Authority,2012,10,HMO Licences
S12000021,North Ayrshire,Local Authority,2013,9,HMO Licences
S12000023,Orkney Islands,Local Authority,2005,0,HMO Licences
S12000023,Orkney Islands,Local Authority,2006,1,HMO Licences
S12000023,Orkney Islands,Local Authority,2007,1,HMO Licences
S12000023,Orkney Islands,Local Authority,2008,2,HMO Licences
S12000023,Orkney Islands,Local Authority,2009,3,HMO Licences
S12000023,Orkney Islands,Local Authority,2010,6,HMO Licences
S12000023,Orkney Islands,Local Authority,2011,8,HMO Licences
S12000023,Orkney Islands,Local Authority,2012,8,HMO Licences
S12000023,Orkney Islands,Local Authority,2013,7,HMO Licences
S12000026,Scottish Borders,Local Authority,2001,0,HMO Licences
S12000026,Scottish Borders,Local Authority,2002,7,HMO Licences
S12000026,Scottish Borders,Local Authority,2003,10,HMO Licences
S12000026,Scottish Borders,Local Authority,2004,8,HMO Licences
S12000026,Scottish Borders,Local Authority,2005,8,HMO Licences
S12000026,Scottish Borders,Local Authority,2006,85,HMO Licences
S12000026,Scottish Borders,Local Authority,2007,91,HMO Licences
S12000026,Scottish Borders,Local Authority,2008,99,HMO Licences
S12000026,Scottish Borders,Local Authority,2009,103,HMO Licences
S12000026,Scottish Borders,Local Authority,2010,111,HMO Licences
S12000026,Scottish Borders,Local Authority,2011,100,HMO Licences
S12000026,Scottish Borders,Local Authority,2012,104,HMO Licences
S12000026,Scottish Borders,Local Authority,2013,125,HMO Licences
S12000027,Shetland Islands,Local Authority,2001,0,HMO Licences
S12000027,Shetland Islands,Local Authority,2002,2,HMO Licences
S12000027,Shetland Islands,Local Authority,2003,10,HMO Licences
S12000027,Shetland Islands,Local Authority,2004,10,HMO Licences
S12000027,Shetland Islands,Local Authority,2005,11,HMO Licences
S12000027,Shetland Islands,Local Authority,2006,5,HMO Licences
S12000027,Shetland Islands,Local Authority,2007,9,HMO Licences
S12000027,Shetland Islands,Local Authority,2008,9,HMO Licences
S12000027,Shetland Islands,Local Authority,2009,6,HMO Licences
S12000027,Shetland Islands,Local Authority,2010,5,HMO Licences
S12000027,Shetland Islands,Local Authority,2011,8,HMO Licences
S12000027,Shetland Islands,Local Authority,2012,11,HMO Licences
S12000027,Shetland Islands,Local Authority,2013,13,HMO Licences
S12000028,South Ayrshire,Local Authority,2001,0,HMO Licences
S12000028,South Ayrshire,Local Authority,2002,2,HMO Licences
S12000028,South Ayrshire,Local Authority,2003,8,HMO Licences
S12000028,South Ayrshire,Local Authority,2004,16,HMO Licences
S12000028,South Ayrshire,Local Authority,2005,28,HMO Licences
S12000028,South Ayrshire,Local Authority,2006,29,HMO Licences
S12000028,South Ayrshire,Local Authority,2007,32,HMO Licences
S12000028,South Ayrshire,Local Authority,2008,31,HMO Licences
S12000028,South Ayrshire,Local Authority,2009,41,HMO Licences
S12000028,South Ayrshire,Local Authority,2010,40,HMO Licences
S12000028,South Ayrshire,Local Authority,2011,42,HMO Licences
S12000028,South Ayrshire,Local Authority,2012,43,HMO Licences
S12000028,South Ayrshire,Local Authority,2013,43,HMO Licences
S12000029,South Lanarkshire,Local Authority,2002,0,HMO Licences
S12000029,South Lanarkshire,Local Authority,2003,5,HMO Licences
S12000029,South Lanarkshire,Local Authority,2004,7,HMO Licences
S12000029,South Lanarkshire,Local Authority,2005,20,HMO Licences
S12000029,South Lanarkshire,Local Authority,2006,24,HMO Licences
S12000029,South Lanarkshire,Local Authority,2007,24,HMO Licences
S12000029,South Lanarkshire,Local Authority,2008,18,HMO Licences
S12000029,South Lanarkshire,Local Authority,2009,16,HMO Licences
S12000029,South Lanarkshire,Local Authority,2010,17,HMO Licences
S12000029,South Lanarkshire,Local Authority,2011,16,HMO Licences
S12000029,South Lanarkshire,Local Authority,2012,17,HMO Licences
S12000029,South Lanarkshire,Local Authority,2013,16,HMO Licences
S12000030,Stirling,Local Authority,2001,0,HMO Licences
S12000030,Stirling,Local Authority,2002,31,HMO Licences
S12000030,Stirling,Local Authority,2003,24,HMO Licences
S12000030,Stirling,Local Authority,2004,320,HMO Licences
S12000030,Stirling,Local Authority,2005,75,HMO Licences
S12000030,Stirling,Local Authority,2006,357,HMO Licences
S12000030,Stirling,Local Authority,2007,445,HMO Licences
S12000030,Stirling,Local Authority,2008,479,HMO Licences
S12000030,Stirling,Local Authority,2009,556,HMO Licences
S12000030,Stirling,Local Authority,2010,258,HMO Licences
S12000030,Stirling,Local Authority,2011,639,HMO Licences
S12000030,Stirling,Local Authority,2012,625,HMO Licences
S12000030,Stirling,Local Authority,2013,630,HMO Licences
S12000033,Aberdeen City,Local Authority,2001,0,HMO Licences
S12000033,Aberdeen City,Local Authority,2002,6,HMO Licences
S12000033,Aberdeen City,Local Authority,2003,59,HMO Licences
S12000033,Aberdeen City,Local Authority,2004,194,HMO Licences
S12000033,Aberdeen City,Local Authority,2005,384,HMO Licences
S12000033,Aberdeen City,Local Authority,2006,748,HMO Licences
S12000033,Aberdeen City,Local Authority,2007,831,HMO Licences
S12000033,Aberdeen City,Local Authority,2008,669,HMO Licences
S12000033,Aberdeen City,Local Authority,2009,789,HMO Licences
S12000033,Aberdeen City,Local Authority,2010,841,HMO Licences
S12000033,Aberdeen City,Local Authority,2011,951,HMO Licences
S12000033,Aberdeen City,Local Authority,2012,855,HMO Licences
S12000033,Aberdeen City,Local Authority,2013,946,HMO Licences
S12000034,Aberdeenshire,Local Authority,2001,0,HMO Licences
S12000034,Aberdeenshire,Local Authority,2002,20,HMO Licences
S12000034,Aberdeenshire,Local Authority,2003,23,HMO Licences
S12000034,Aberdeenshire,Local Authority,2004,24,HMO Licences
S12000034,Aberdeenshire,Local Authority,2005,34,HMO Licences
S12000034,Aberdeenshire,Local Authority,2006,62,HMO Licences
S12000034,Aberdeenshire,Local Authority,2007,97,HMO Licences
S12000034,Aberdeenshire,Local Authority,2008,115,HMO Licences
S12000034,Aberdeenshire,Local Authority,2009,123,HMO Licences
S12000034,Aberdeenshire,Local Authority,2010,112,HMO Licences
S12000034,Aberdeenshire,Local Authority,2011,136,HMO Licences
S12000034,Aberdeenshire,Local Authority,2012,132,HMO Licences
S12000034,Aberdeenshire,Local Authority,2013,142,HMO Licences
S12000035,Argyll and Bute,Local Authority,2001,1,HMO Licences
S12000035,Argyll and Bute,Local Authority,2002,2,HMO Licences
S12000035,Argyll and Bute,Local Authority,2003,5,HMO Licences
S12000035,Argyll and Bute,Local Authority,2004,8,HMO Licences
S12000035,Argyll and Bute,Local Authority,2005,13,HMO Licences
S12000035,Argyll and Bute,Local Authority,2006,6,HMO Licences
S12000035,Argyll and Bute,Local Authority,2007,6,HMO Licences
S12000035,Argyll and Bute,Local Authority,2008,6,HMO Licences
S12000035,Argyll and Bute,Local Authority,2009,11,HMO Licences
S12000035,Argyll and Bute,Local Authority,2010,17,HMO Licences
