area_code,reference_area,area_type,year,working_pattern,value,units
S12000039,West Dunbartonshire,Local Authority,2017,All Patterns,13.8,%%
S12000039,West Dunbartonshire,Local Authority,2009,Part Time,-12.5,%%
S12000039,West Dunbartonshire,Local Authority,2005,All Patterns,19,%%
S12000039,West Dunbartonshire,Local Authority,2006,Full Time,16.6,%%
S12000039,West Dunbartonshire,Local Authority,2005,Part Time,-4.5,%%
S12000039,West Dunbartonshire,Local Authority,2015,Full Time,4.3,%%
S12000039,West Dunbartonshire,Local Authority,2011,All Patterns,-3.7,%%
S12000039,West Dunbartonshire,Local Authority,2016,All Patterns,13.2,%%
S12000039,West Dunbartonshire,Local Authority,2016,Part Time,-25.1,%%
S12000039,West Dunbartonshire,Local Authority,2019,Full Time,17,%%
S12000039,West Dunbartonshire,Local Authority,2006,Part Time,-24.7,%%
S12000039,West Dunbartonshire,Local Authority,1999,All Patterns,25.2,%%
S12000039,West Dunbartonshire,Local Authority,2014,Full Time,5.7,%%
S12000039,West Dunbartonshire,Local Authority,2005,Full Time,13.2,%%
S12000039,West Dunbartonshire,Local Authority,1998,Full Time,26.5,%%
S12000039,West Dunbartonshire,Local Authority,2011,Full Time,10.8,%%
S12000039,West Dunbartonshire,Local Authority,2015,All Patterns,18.4,%%
S12000039,West Dunbartonshire,Local Authority,2008,Part Time,-3.1,%%
S12000039,West Dunbartonshire,Local Authority,2000,Full Time,15.6,%%
S12000039,West Dunbartonshire,Local Authority,2003,All Patterns,28.9,%%
S12000039,West Dunbartonshire,Local Authority,2004,All Patterns,26.7,%%
S12000039,West Dunbartonshire,Local Authority,2013,Full Time,16.3,%%
S12000039,West Dunbartonshire,Local Authority,2013,All Patterns,22.3,%%
S12000039,West Dunbartonshire,Local Authority,1997,All Patterns,31.9,%%
S12000039,West Dunbartonshire,Local Authority,2019,Part Time,-5,%%
S12000039,West Dunbartonshire,Local Authority,2007,All Patterns,24.3,%%
S12000039,West Dunbartonshire,Local Authority,2007,Full Time,23.1,%%
S12000039,West Dunbartonshire,Local Authority,2010,Part Time,-17.5,%%
S12000039,West Dunbartonshire,Local Authority,2010,Full Time,21.6,%%
S12000039,West Dunbartonshire,Local Authority,2010,All Patterns,23.6,%%
S12000039,West Dunbartonshire,Local Authority,1997,Part Time,20,%%
S12000039,West Dunbartonshire,Local Authority,2009,Full Time,9.1,%%
S12000039,West Dunbartonshire,Local Authority,2012,All Patterns,20.3,%%
S12000039,West Dunbartonshire,Local Authority,2008,Full Time,16.2,%%
S12000039,West Dunbartonshire,Local Authority,2011,Part Time,-15.7,%%
S12000039,West Dunbartonshire,Local Authority,2003,Part Time,-5.9,%%
S12000039,West Dunbartonshire,Local Authority,2018,Full Time,11.1,%%
S12000039,West Dunbartonshire,Local Authority,2008,All Patterns,23.3,%%
S12000039,West Dunbartonshire,Local Authority,2017,Part Time,-9.4,%%
S12000039,West Dunbartonshire,Local Authority,1998,All Patterns,34.6,%%
S12000039,West Dunbartonshire,Local Authority,2004,Part Time,20.1,%%
S12000039,West Dunbartonshire,Local Authority,1998,Part Time,26.4,%%
S12000039,West Dunbartonshire,Local Authority,2006,All Patterns,16.6,%%
S12000039,West Dunbartonshire,Local Authority,2014,All Patterns,18.5,%%
S12000039,West Dunbartonshire,Local Authority,1999,Full Time,11.4,%%
S12000039,West Dunbartonshire,Local Authority,2004,Full Time,15.8,%%
S12000039,West Dunbartonshire,Local Authority,2002,Full Time,17.8,%%
S12000039,West Dunbartonshire,Local Authority,2015,Part Time,-22.3,%%
S12000039,West Dunbartonshire,Local Authority,2002,All Patterns,22.8,%%
S12000039,West Dunbartonshire,Local Authority,2016,Full Time,13.8,%%
S12000039,West Dunbartonshire,Local Authority,2012,Part Time,-16.5,%%
S12000039,West Dunbartonshire,Local Authority,1997,Full Time,19.8,%%
S12000039,West Dunbartonshire,Local Authority,2012,Full Time,10.3,%%
S12000039,West Dunbartonshire,Local Authority,2019,All Patterns,25.9,%%
S12000039,West Dunbartonshire,Local Authority,2017,Full Time,13.4,%%
S12000039,West Dunbartonshire,Local Authority,2013,Part Time,-17.8,%%
S12000039,West Dunbartonshire,Local Authority,2009,All Patterns,19.4,%%
S12000039,West Dunbartonshire,Local Authority,2003,Full Time,24.4,%%
S12000039,West Dunbartonshire,Local Authority,2018,All Patterns,19.4,%%
S12000039,West Dunbartonshire,Local Authority,2001,Full Time,21.7,%%
S12000040,West Lothian,Local Authority,2016,Full Time,9.2,%%
S12000040,West Lothian,Local Authority,2016,Part Time,-11.3,%%
S12000040,West Lothian,Local Authority,2000,All Patterns,14.9,%%
S12000040,West Lothian,Local Authority,2009,All Patterns,18.8,%%
S12000040,West Lothian,Local Authority,2006,All Patterns,21.3,%%
S12000040,West Lothian,Local Authority,2011,Part Time,-12.7,%%
S12000040,West Lothian,Local Authority,2011,All Patterns,9.4,%%
S12000040,West Lothian,Local Authority,2012,Full Time,0.5,%%
S12000040,West Lothian,Local Authority,2018,Full Time,8,%%
S12000040,West Lothian,Local Authority,1999,Part Time,18,%%
S12000040,West Lothian,Local Authority,2008,Full Time,7.1,%%
S12000040,West Lothian,Local Authority,2017,Part Time,-13.7,%%
