area_code,reference_area,area_type,year,gender,age,measure_type,value,units
S12000033,Aberdeen City,Local Authority,2004,All,16-64,Count,20300,Persons
S12000033,Aberdeen City,Local Authority,2004,Female,16-64,Count,11100,Persons
S12000033,Aberdeen City,Local Authority,2004,Male,16-64,Count,9300,Persons
S12000033,Aberdeen City,Local Authority,2004,All,25-34,Count,3600,Persons
S12000033,Aberdeen City,Local Authority,2004,All,35-49,Count,6000,Persons
S12000033,Aberdeen City,Local Authority,2004,Female,35-49,Count,3600,Persons
S12000033,Aberdeen City,Local Authority,2004,All,50-64,Count,7400,Persons
S12000033,Aberdeen City,Local Authority,2004,Female,50-64,Count,4300,Persons
S12000033,Aberdeen City,Local Authority,2004,Male,50-64,Count,3100,Persons
S12000034,Aberdeenshire,Local Authority,2004,All,16-64,Count,18700,Persons
S12000034,Aberdeenshire,Local Authority,2004,Female,16-64,Count,9300,Persons
S12000034,Aberdeenshire,Local Authority,2004,Male,16-64,Count,9300,Persons
S12000034,Aberdeenshire,Local Authority,2004,All,35-49,Count,6400,Persons
S12000034,Aberdeenshire,Local Authority,2004,Female,35-49,Count,3200,Persons
S12000034,Aberdeenshire,Local Authority,2004,All,50-64,Count,7600,Persons
S12000034,Aberdeenshire,Local Authority,2004,Female,50-64,Count,4800,Persons
S12000034,Aberdeenshire,Local Authority,2004,Male,50-64,Count,2800,Persons
S12000041,Angus,Local Authority,2004,All,16-64,Count,9400,Persons
S12000041,Angus,Local Authority,2004,Female,16-64,Count,5500,Persons
S12000041,Angus,Local Authority,2004,Male,16-64,Count,3900,Persons
S12000041,Angus,Local Authority,2004,All,35-49,Count,3500,Persons
S12000041,Angus,Local Authority,2004,Female,35-49,Count,2200,Persons
S12000041,Angus,Local Authority,2004,All,50-64,Count,4300,Persons
S12000041,Angus,Local Authority,2004,Female,50-64,Count,2500,Persons
S12000041,Angus,Local Authority,2004,Male,50-64,Count,1800,Persons
S12000035,Argyll and Bute,Local Authority,2004,All,16-24,Count,1400,Persons
S12000035,Argyll and Bute,Local Authority,2004,All,16-64,Count,10200,Persons
S12000035,Argyll and Bute,Local Authority,2004,Female,16-64,Count,6200,Persons
S12000035,Argyll and Bute,Local Authority,2004,Male,16-64,Count,4000,Persons
S12000035,Argyll and Bute,Local Authority,2004,All,35-49,Count,3200,Persons
S12000035,Argyll and Bute,Local Authority,2004,Female,35-49,Count,2300,Persons
S12000035,Argyll and Bute,Local Authority,2004,All,50-64,Count,4100,Persons
S12000035,Argyll and Bute,Local Authority,2004,Female,50-64,Count,2200,Persons
S12000035,Argyll and Bute,Local Authority,2004,Male,50-64,Count,1900,Persons
S12000026,Scottish Borders,Local Authority,2004,All,16-24,Count,1200,Persons
S12000026,Scottish Borders,Local Authority,2004,All,16-64,Count,12200,Persons
S12000026,Scottish Borders,Local Authority,2004,Female,16-64,Count,6200,Persons
S12000026,Scottish Borders,Local Authority,2004,Male,16-64,Count,6000,Persons
S12000026,Scottish Borders,Local Authority,2004,All,25-34,Count,1500,Persons
S12000026,Scottish Borders,Local Authority,2004,All,35-49,Count,4600,Persons
S12000026,Scottish Borders,Local Authority,2004,Female,35-49,Count,2600,Persons
S12000026,Scottish Borders,Local Authority,2004,Male,35-49,Count,2100,Persons
S12000026,Scottish Borders,Local Authority,2004,All,50-64,Count,4800,Persons
S12000026,Scottish Borders,Local Authority,2004,Female,50-64,Count,2400,Persons
S12000026,Scottish Borders,Local Authority,2004,Male,50-64,Count,2400,Persons
S12000005,Clackmannanshire,Local Authority,2004,All,16-64,Count,6200,Persons
S12000005,Clackmannanshire,Local Authority,2004,Female,16-64,Count,3600,Persons
S12000005,Clackmannanshire,Local Authority,2004,Male,16-64,Count,2600,Persons
S12000005,Clackmannanshire,Local Authority,2004,All,25-34,Count,1500,Persons
S12000005,Clackmannanshire,Local Authority,2004,All,35-49,Count,1700,Persons
