area_code,reference_area,area_type,year,measure_type,value,units
S12000005,Clackmannanshire,Local Authority,2003,Ratio,15.1,Percent Of 16 to 19 Year Olds
S12000027,Shetland Islands,Local Authority,2003,Count,60,16 to 19 Year Olds
S12000041,Angus,Local Authority,2003,Count,550,16 to 19 Year Olds
S12000020,Moray,Local Authority,2003,Count,360,16 to 19 Year Olds
S12000048,Perth and Kinross,Local Authority,2003,Count,480,16 to 19 Year Olds
S12000019,Midlothian,Local Authority,2003,Ratio,9.9,Percent Of 16 to 19 Year Olds
S12000036,City of Edinburgh,Local Authority,2003,Ratio,8.5,Percent Of 16 to 19 Year Olds
S12000018,Inverclyde,Local Authority,2003,Ratio,14.7,Percent Of 16 to 19 Year Olds
S12000038,Renfrewshire,Local Authority,2003,Ratio,11.7,Percent Of 16 to 19 Year Olds
S12000008,East Ayrshire,Local Authority,2003,Ratio,14.5,Percent Of 16 to 19 Year Olds
S12000010,East Lothian,Local Authority,2003,Ratio,10.7,Percent Of 16 to 19 Year Olds
S12000018,Inverclyde,Local Authority,2003,Count,660,16 to 19 Year Olds
S12000013,Na h-Eileanan Siar,Local Authority,2003,Ratio,4.3,Percent Of 16 to 19 Year Olds
S12000030,Stirling,Local Authority,2003,Ratio,8.5,Percent Of 16 to 19 Year Olds
S12000013,Na h-Eileanan Siar,Local Authority,2003,Count,50,16 to 19 Year Olds
S12000006,Dumfries and Galloway,Local Authority,2003,Ratio,9.3,Percent Of 16 to 19 Year Olds
S12000045,East Dunbartonshire,Local Authority,2003,Count,420,16 to 19 Year Olds
S12000011,East Renfrewshire,Local Authority,2003,Ratio,6.5,Percent Of 16 to 19 Year Olds
S12000047,Fife,Local Authority,2003,Count,2210,16 to 19 Year Olds
S12000050,North Lanarkshire,Local Authority,2003,Ratio,12.9,Percent Of 16 to 19 Year Olds
S12000049,Glasgow City,Local Authority,2003,Ratio,12.5,Percent Of 16 to 19 Year Olds
S12000045,East Dunbartonshire,Local Authority,2003,Ratio,7.3,Percent Of 16 to 19 Year Olds
