area_code,reference_area,area_type,year,gender,age,measure_type,value,units
S12000005,Clackmannanshire,local authority,2004,Male,16-64,Count,2600,persons
S12000005,Clackmannanshire,local authority,2004,All,25-34,Count,1500,persons
S12000005,Clackmannanshire,local authority,2004,Female,16-64,Count,3600,persons
S12000005,Clackmannanshire,local authority,2004,All,16-64,Count,6200,persons
S12000005,Clackmannanshire,local authority,2004,All,50-64,Count,2500,persons
S12000005,Clackmannanshire,local authority,2004,Female,50-64,Count,1500,persons
S12000005,Clackmannanshire,local authority,2004,All,35-49,Count,1700,persons
S12000005,Clackmannanshire,local authority,2004,Female,16-64,Ratio,24.8,%%
S12000005,Clackmannanshire,local authority,2004,Male,16-64,Ratio,17.1,%%
S12000005,Clackmannanshire,local authority,2004,All,35-49,Ratio,17.3,%%
S12000005,Clackmannanshire,local authority,2004,All,16-64,Ratio,20.9,%%
S12000005,Clackmannanshire,local authority,2004,All,50-64,Ratio,28,%%
S12000005,Clackmannanshire,local authority,2004,Female,50-64,Ratio,39,%%
S12000005,Clackmannanshire,local authority,2004,All,25-34,Ratio,22.5,%%
S12000006,Dumfries and Galloway,local authority,2004,All,16-64,Ratio,19.7,%%
S12000006,Dumfries and Galloway,local authority,2004,All,16-64,Count,16900,persons
S12000006,Dumfries and Galloway,local authority,2004,Female,16-64,Count,9100,persons
S12000006,Dumfries and Galloway,local authority,2004,All,16-24,Ratio,14.1,%%
S12000006,Dumfries and Galloway,local authority,2004,All,16-24,Count,1800,persons
S12000006,Dumfries and Galloway,local authority,2004,All,35-49,Ratio,16.9,%%
S12000006,Dumfries and Galloway,local authority,2004,Female,35-49,Ratio,19.2,%%
S12000006,Dumfries and Galloway,local authority,2004,Female,16-64,Ratio,21.8,%%
S12000006,Dumfries and Galloway,local authority,2004,Male,16-64,Ratio,17.6,%%
S12000006,Dumfries and Galloway,local authority,2004,Female,50-64,Ratio,37,%%
S12000006,Dumfries and Galloway,local authority,2004,Male,50-64,Ratio,25.1,%%
S12000006,Dumfries and Galloway,local authority,2004,Male,35-49,Ratio,14.6,%%
S12000006,Dumfries and Galloway,local authority,2004,All,50-64,Ratio,30.3,%%
S12000006,Dumfries and Galloway,local authority,2004,All,50-64,Count,8100,persons
S12000006,Dumfries and Galloway,local authority,2004,Male,35-49,Count,2300,persons
S12000006,Dumfries and Galloway,local authority,2004,Male,50-64,Count,3700,persons
S12000006,Dumfries and Galloway,local authority,2004,Female,50-64,Count,4300,persons
S12000006,Dumfries and Galloway,local authority,2004,All,35-49,Count,5500,persons
S12000006,Dumfries and Galloway,local authority,2004,Male,16-64,Count,7700,persons
S12000006,Dumfries and Galloway,local authority,2004,Female,35-49,Count,3200,persons
S12000008,East Ayrshire,local authority,2004,Female,35-49,Count,4300,persons
S12000008,East Ayrshire,local authority,2004,Male,35-49,Count,2400,persons
S12000008,East Ayrshire,local authority,2004,Male,25-34,Count,1700,persons
S12000008,East Ayrshire,local authority,2004,All,35-49,Count,6700,persons
S12000008,East Ayrshire,local authority,2004,Female,50-64,Count,3800,persons
S12000008,East Ayrshire,local authority,2004,Male,50-64,Count,2900,persons
S12000008,East Ayrshire,local authority,2004,All,50-64,Count,6800,persons
S12000008,East Ayrshire,local authority,2004,Male,16-24,Count,1200,persons
S12000008,East Ayrshire,local authority,2004,All,16-64,Count,18000,persons
S12000008,East Ayrshire,local authority,2004,All,16-24,Count,1800,persons
