URI,Name,Publisher,good_ref_period,in_app
adults-16-64-years-with-low-or-no-qualifications,Adults (16-64 years) with low or no qualifications,Scottish Government,TRUE,TRUE
age-at-first-birth,Age of First Time Mothers,Public Health Scotland,FALSE,FALSE
alcohol-related-discharge,Alcohol Related Hospital Discharges,Public Health Scotland,TRUE,TRUE
alcohol-related-hospital-statistics,Alcohol Related Hospital Statistics,Public Health Scotland,TRUE,TRUE
annual-business-survey,Annual Business Survey,Scottish Government,TRUE,FALSE
smoking-at-booking,Ante-Natal Smoking,Public Health Scotland,FALSE,FALSE
area-improvement---shs,Area improvement - Scottish Household Survey,Scottish Government,TRUE,FALSE
attendance-allowance,Attendance Allowance,Scottish Government,TRUE,FALSE
average-household-size,Average Household Size,National Records of Scotland,TRUE,FALSE
births,Births,National Records of Scotland,TRUE,FALSE
breached-order-applications,Breached Order Applications,Scottish Government,TRUE,FALSE
breastfeeding,Breastfeeding,Public Health Scotland,TRUE,FALSE
business-births-deaths-and-survival-rates,"Business - Births, Deaths and Survival Rates",Scottish Government,TRUE,FALSE
business-demography---births-and-deaths,Business Demography - Births and Deaths,Scottish Government,TRUE,FALSE
business-demography---survival,Business Demography - Survival,Scottish Government,TRUE,FALSE
business-enterprise-research-and-development-expenditure,Business Enterprise Research and Development Expenditure,Scottish Government,TRUE,FALSE
business-site-counts,Business Site Counts,Scottish Government,TRUE,FALSE
business-stocks-and-sites,Business Stocks and Sites,Scottish Government,TRUE,FALSE
business-stocks-and-sites-by-region-of-ownership,Business Stocks and Sites by Region of Ownership,Scottish Government,TRUE,FALSE
business-stocks-and-sites-by-urban-rural-classification,Business Stocks and Sites by Urban Rural Classification,Scottish Government,TRUE,FALSE
cancer-registrations,Cancer Registrations (1997 to 2009),Public Health Scotland,FALSE,FALSE
cancer-registrations---annual-data,Cancer Registrations - Annual Data,Scottish Government,TRUE,TRUE
care-homes-admissions-discharges-and-deaths,"Care Homes: Admissions, Discharges and Deaths",Public Health Scotland,TRUE,FALSE
care-homes-average-age-of-residents,Care Homes: Average Age of Residents,Public Health Scotland,TRUE,FALSE
care-homes-demography,Care Homes: Demographic Characteristics of Residents,Public Health Scotland,TRUE,FALSE
care-homes-health-characteristics-of-residents,Care Homes: Health Characteristics of Residents,Public Health Scotland,TRUE,FALSE
care-homes-length-of-stay,Care Homes: Length Of Stay,Public Health Scotland,TRUE,FALSE
number-of-care-homes,Care Homes: Number of Homes,Public Health Scotland,TRUE,FALSE
occupancy-rate-in-care-homes,Care Homes: Occupancy Rate,Public Health Scotland,TRUE,FALSE
places-in-care-homes,Care Homes: Places,Public Health Scotland,TRUE,FALSE
care-homes-type-of-stay,Care Homes: Type Of Stay,Public Health Scotland,TRUE,FALSE
care-homes-weekly-charges-and-sources-of-funding,Care Homes: Weekly Charges and Sources of Funding,Public Health Scotland,TRUE,FALSE
child-dental-health,Child Dental Health,Public Health Scotland,TRUE,FALSE
children-in-families-with-limited-resources,Children in Families with Limited Resources,Scottish Government,FALSE,FALSE
children-in-low-income-families,Children in Low Income Families,HM Revenue and Customs,TRUE,FALSE
community-orders,Community Orders,Scottish Government,TRUE,FALSE
community-payback-orders-breach-applications,Community Payback Orders: Breach Applications,Scottish Government,FALSE,FALSE
community-payback-orders-commenced,Community Payback Orders: Commenced,Scottish Government,FALSE,FALSE
community-belonging---shs,Community belonging - Scottish Household Survey,Scottish Government,TRUE,FALSE
concessionary-cards,Concessionary Travel Cards,Transport Scotland,TRUE,FALSE
confidence-in-policing-sscq,Confidence in Policing - Scottish Survey Core Questions,Scottish Government,TRUE,FALSE
coronavirus-covid-19-management-information,Coronavirus - COVID-19 - Management Information,Scottish Government,TRUE,FALSE
council-house-sales,Council House Sales,Scottish Government,TRUE,FALSE
council-tax-collection-rates,Council Tax Collection Rates,Scottish Government,TRUE,FALSE
crime-clear-up-rates,Crime Clear up Rates,Scottish Government,TRUE,FALSE
social-work-reports,Criminal Justice Social Work Reports,Scottish Government,TRUE,FALSE
dtp-pol-hib-uptake-by-24-months,DTP/Pol/Hib Immunisation,Public Health Scotland,TRUE,FALSE
deaths,Deaths,National Records of Scotland,TRUE,FALSE
deaths-involving-coronavirus-covid-19,Deaths involving coronavirus (COVID-19),National Records of Scotland,TRUE,FALSE
debt-arrangement-scheme-das,Debt Arrangement Scheme (DAS),Accountant in Bankruptcy,TRUE,FALSE
delayed-discharges-bed-days,Delayed Discharges - Monthly Bed Days Occupied,Public Health Scotland,TRUE,FALSE
delayed-discharges-monthly-census,Delayed Discharges - Monthly Census,Public Health Scotland,TRUE,FALSE
population-estimates-dependency,Dependency Ratio,National Records of Scotland,TRUE,FALSE
vacant-derelict-land,Derelict and Urban Vacant Land,Scottish Government,TRUE,FALSE
disability-sscq,Disability - Scottish Surveys Core Questions,Scottish Government,TRUE,FALSE
disability-living-allowance,Disability Living Allowance,Scottish Government,TRUE,FALSE
disability-living-allowance-component,Disability Living Allowance (Care Component),Scottish Government,TRUE,FALSE
discretionary-housing-payments-applications,Discretionary Housing Payments Applications,Scottish Government,TRUE,FALSE
discretionary-housing-payments-awards,Discretionary Housing Payments Awards,Scottish Government,TRUE,FALSE
discretionary-housing-payments-determinations,Discretionary Housing Payments Determinations,Scottish Government,TRUE,FALSE
discretionary-housing-payments-expenditure,Discretionary Housing Payments Expenditure,Scottish Government,TRUE,FALSE
green-or-blue-space-shs,Distance to Green or Blue Space - Scottish Household Survey,Scottish Government,TRUE,FALSE
drug-related-discharge,Drug Related Hospital Discharge,Public Health Scotland,TRUE,FALSE
dwelling-disrepair-scottish-house-condition-survey,Dwelling Disrepair (Scottish House Condition Survey),Scottish Government,FALSE,FALSE
dwellings-in-flood-risk-areas,Dwellings In Flood Risk Areas,Scottish Government,TRUE,FALSE
dwellings-median-number-of-rooms,Dwellings Median Number Of Rooms,National Records of Scotland,TRUE,FALSE
dwellings-council-tax,Dwellings by Council Tax Band,National Records of Scotland,TRUE,FALSE
dwellings-rooms,Dwellings by Number of Rooms,National Records of Scotland,TRUE,FALSE
dwellings-type,Dwellings by Type,National Records of Scotland,TRUE,FALSE
dwellings-hectare,Dwellings per Hectare,National Records of Scotland,TRUE,FALSE
early-learning-and-childcare-children-registered,Early Learning and Childcare: Children Registered,Care Inspectorate,TRUE,FALSE
early-learning-and-childcare-services-registered,Early Learning and Childcare: Services Registered,Care Inspectorate,TRUE,FALSE
earnings,Earnings,Scottish Government,TRUE,TRUE
economic-activity,Economic Activity,Scottish Government,TRUE,FALSE
economic-inactivity,Economic Inactivity,Scottish Government,TRUE,FALSE
employment,Employment,Scottish Government,TRUE,FALSE
employment-support-allowance,Employment and Support Allowance,Scottish Government,TRUE,FALSE
end-of-life-care,End of Life Care,Public Health Scotland,TRUE,FALSE
energy-consumption,Energy Consumption,Scottish Government,TRUE,FALSE
exports-by-local-authority,Exports by Local Authority,Scottish Government,TRUE,FALSE
feeling-safe-when-alone-at-home---scottish-household-survey,Feeling safe when alone at home - Scottish Household Survey,Scottish Government,TRUE,FALSE
fire---type-of-incident,Fire - Type of Incident,Scottish Fire and Rescue Service,TRUE,FALSE
fuel-poverty-shcs,Fuel Poverty (Scottish House Condition Survey),Scottish Government,FALSE,FALSE
full-time-employment,Full-Time and Part-Time Employment,Scottish Government,TRUE,FALSE
gender-employment-gap,Gender Employment Gap,Scottish Government,TRUE,FALSE
earnings-paygap,Gender Pay Gap,Scottish Government,TRUE,TRUE
general-health-sscq,General Health - Scottish Surveys Core Questions,Scottish Government,TRUE,FALSE
general-practice-list-size,General Practice List Size,Public Health Scotland,TRUE,FALSE
household-waste,Generation and Management of Household Waste,SEPA,TRUE,FALSE
geographic-area-2001,Geographic Area - 2001 Census,Scottish Government,TRUE,FALSE
headcount-of-general-practice-workforce,Headcount of General Practice Workforce,Public Health Scotland,TRUE,FALSE
healthy-life-expectancy,Healthy Life Expectancy,National Records of Scotland,FALSE,FALSE
historical-population-estimates,"Historical Population Estimates (pre-2001, historical geographic boundaries)",National Records of Scotland,TRUE,FALSE
home-care-client-group,Home Care Client Group,Scottish Government,TRUE,FALSE
home-care-client-living-arrangements,Home Care Client Living Arrangements,Scottish Government,TRUE,FALSE
home-care-clients,Home Care Clients,Scottish Government,TRUE,FALSE
home-care-services,Home Care Services,Scottish Government,TRUE,FALSE
homelessness-applications,Homelessness Applications,Scottish Government,TRUE,FALSE
hospital-admissions,Hospital Admissions,Public Health Scotland,TRUE,FALSE
house-sales-prices,House Prices,Scottish Government,TRUE,FALSE
