area_code,reference_area,area_type,year,sex,value,units
S12000033,Aberdeen City,Local Authority,2001,Male,103735,Persons
S12000033,Aberdeen City,Local Authority,2002,Male,103344,Persons
S12000033,Aberdeen City,Local Authority,2003,Male,102769,Persons
S12000033,Aberdeen City,Local Authority,2004,Male,102147,Persons
S12000033,Aberdeen City,Local Authority,2005,Male,102540,Persons
S12000033,Aberdeen City,Local Authority,2006,Male,103139,Persons
S12000033,Aberdeen City,Local Authority,2007,Male,104693,Persons
S12000033,Aberdeen City,Local Authority,2008,Male,105583,Persons
S12000033,Aberdeen City,Local Authority,2009,Male,107223,Persons
S12000033,Aberdeen City,Local Authority,2010,Male,108630,Persons
S12000033,Aberdeen City,Local Authority,2011,Male,110060,Persons
S12000033,Aberdeen City,Local Authority,2012,Male,111286,Persons
S12000033,Aberdeen City,Local Authority,2013,Male,112535,Persons
S12000033,Aberdeen City,Local Authority,2014,Male,113477,Persons
S12000033,Aberdeen City,Local Authority,2015,Male,114414,Persons
S12000033,Aberdeen City,Local Authority,2016,Male,114121,Persons
S12000033,Aberdeen City,Local Authority,2017,Male,113852,Persons
S12000033,Aberdeen City,Local Authority,2018,Male,113252,Persons
S12000033,Aberdeen City,Local Authority,2019,Male,113797,Persons
S12000034,Aberdeenshire,Local Authority,2001,Male,112468,Persons
S12000034,Aberdeenshire,Local Authority,2002,Male,113291,Persons
S12000034,Aberdeenshire,Local Authority,2003,Male,114346,Persons
S12000034,Aberdeenshire,Local Authority,2004,Male,115980,Persons
S12000034,Aberdeenshire,Local Authority,2005,Male,117362,Persons
S12000034,Aberdeenshire,Local Authority,2006,Male,119268,Persons
S12000034,Aberdeenshire,Local Authority,2007,Male,120910,Persons
S12000034,Aberdeenshire,Local Authority,2008,Male,122256,Persons
S12000034,Aberdeenshire,Local Authority,2009,Male,123396,Persons
S12000034,Aberdeenshire,Local Authority,2010,Male,124473,Persons
S12000034,Aberdeenshire,Local Authority,2011,Male,125592,Persons
S12000034,Aberdeenshire,Local Authority,2012,Male,126727,Persons
S12000034,Aberdeenshire,Local Authority,2013,Male,128036,Persons
S12000034,Aberdeenshire,Local Authority,2014,Male,129471,Persons
S12000034,Aberdeenshire,Local Authority,2015,Male,130144,Persons
S12000034,Aberdeenshire,Local Authority,2016,Male,130371,Persons
S12000034,Aberdeenshire,Local Authority,2017,Male,130330,Persons
S12000034,Aberdeenshire,Local Authority,2018,Male,130179,Persons
S12000034,Aberdeenshire,Local Authority,2019,Male,129940,Persons
S12000041,Angus,Local Authority,2001,Male,52428,Persons
S12000041,Angus,Local Authority,2002,Male,52644,Persons
S12000041,Angus,Local Authority,2003,Male,52385,Persons
S12000041,Angus,Local Authority,2004,Male,53143,Persons
S12000041,Angus,Local Authority,2005,Male,53734,Persons
S12000041,Angus,Local Authority,2006,Male,54275,Persons
S12000041,Angus,Local Authority,2007,Male,54851,Persons
S12000041,Angus,Local Authority,2008,Male,55364,Persons
S12000041,Angus,Local Authority,2009,Male,55552,Persons
S12000041,Angus,Local Authority,2010,Male,55822,Persons
S12000041,Angus,Local Authority,2011,Male,56446,Persons
S12000041,Angus,Local Authority,2012,Male,56462,Persons
S12000041,Angus,Local Authority,2013,Male,56603,Persons
S12000041,Angus,Local Authority,2014,Male,56817,Persons
S12000041,Angus,Local Authority,2015,Male,56950,Persons
S12000041,Angus,Local Authority,2016,Male,56769,Persons
S12000041,Angus,Local Authority,2017,Male,56686,Persons
S12000041,Angus,Local Authority,2018,Male,56537,Persons
