area_code,reference_area,area_type,year,sex,value,units
S12000033,Aberdeen City,local authority,2001,Male,103735,persons
S12000033,Aberdeen City,local authority,2002,Male,103344,persons
S12000033,Aberdeen City,local authority,2003,Male,102769,persons
S12000033,Aberdeen City,local authority,2004,Male,102147,persons
S12000033,Aberdeen City,local authority,2005,Male,102540,persons
S12000033,Aberdeen City,local authority,2006,Male,103139,persons
S12000033,Aberdeen City,local authority,2007,Male,104693,persons
S12000033,Aberdeen City,local authority,2008,Male,105583,persons
S12000033,Aberdeen City,local authority,2009,Male,107223,persons
S12000033,Aberdeen City,local authority,2010,Male,108630,persons
S12000033,Aberdeen City,local authority,2011,Male,110060,persons
S12000033,Aberdeen City,local authority,2012,Male,111286,persons
S12000033,Aberdeen City,local authority,2013,Male,112535,persons
S12000033,Aberdeen City,local authority,2014,Male,113477,persons
S12000033,Aberdeen City,local authority,2015,Male,114414,persons
S12000033,Aberdeen City,local authority,2016,Male,114121,persons
S12000033,Aberdeen City,local authority,2017,Male,113852,persons
S12000033,Aberdeen City,local authority,2018,Male,113252,persons
S12000033,Aberdeen City,local authority,2019,Male,113797,persons
S12000034,Aberdeenshire,local authority,2001,Male,112468,persons
S12000034,Aberdeenshire,local authority,2002,Male,113291,persons
S12000034,Aberdeenshire,local authority,2003,Male,114346,persons
S12000034,Aberdeenshire,local authority,2004,Male,115980,persons
S12000034,Aberdeenshire,local authority,2005,Male,117362,persons
S12000034,Aberdeenshire,local authority,2006,Male,119268,persons
S12000034,Aberdeenshire,local authority,2007,Male,120910,persons
S12000034,Aberdeenshire,local authority,2008,Male,122256,persons
S12000034,Aberdeenshire,local authority,2009,Male,123396,persons
S12000034,Aberdeenshire,local authority,2010,Male,124473,persons
S12000034,Aberdeenshire,local authority,2011,Male,125592,persons
S12000034,Aberdeenshire,local authority,2012,Male,126727,persons
S12000034,Aberdeenshire,local authority,2013,Male,128036,persons
S12000034,Aberdeenshire,local authority,2014,Male,129471,persons
S12000034,Aberdeenshire,local authority,2015,Male,130144,persons
S12000034,Aberdeenshire,local authority,2016,Male,130371,persons
S12000034,Aberdeenshire,local authority,2017,Male,130330,persons
S12000034,Aberdeenshire,local authority,2018,Male,130179,persons
S12000034,Aberdeenshire,local authority,2019,Male,129940,persons
S12000041,Angus,local authority,2001,Male,52428,persons
S12000041,Angus,local authority,2002,Male,52644,persons
S12000041,Angus,local authority,2003,Male,52385,persons
S12000041,Angus,local authority,2004,Male,53143,persons
S12000041,Angus,local authority,2005,Male,53734,persons
S12000041,Angus,local authority,2006,Male,54275,persons
S12000041,Angus,local authority,2007,Male,54851,persons
S12000041,Angus,local authority,2008,Male,55364,persons
S12000041,Angus,local authority,2009,Male,55552,persons
S12000041,Angus,local authority,2010,Male,55822,persons
S12000041,Angus,local authority,2011,Male,56446,persons
S12000041,Angus,local authority,2012,Male,56462,persons
S12000041,Angus,local authority,2013,Male,56603,persons
S12000041,Angus,local authority,2014,Male,56817,persons
S12000041,Angus,local authority,2015,Male,56950,persons
S12000041,Angus,local authority,2016,Male,56769,persons
S12000041,Angus,local authority,2017,Male,56686,persons
S12000041,Angus,local authority,2018,Male,56537,persons
S12000041,Angus,local authority,2019,Male,56724,persons
S12000035,Argyll and Bute,local authority,2001,Male,44878,persons
S12000035,Argyll and Bute,local authority,2002,Male,45070,persons
S12000035,Argyll and Bute,local authority,2003,Male,45018,persons
S12000035,Argyll and Bute,local authority,2004,Male,44424,persons
