area_code,reference_area,area_type,year,value,units
S12000039,West Dunbartonshire,Local Authority,2014,6514,Expenditure
S12000039,West Dunbartonshire,Local Authority,2005,7604,Expenditure
S12000039,West Dunbartonshire,Local Authority,2007,5920,Expenditure
S12000039,West Dunbartonshire,Local Authority,2010,5987,Expenditure
S12000039,West Dunbartonshire,Local Authority,2016,5561,Expenditure
S12000039,West Dunbartonshire,Local Authority,2008,6469,Expenditure
S12000039,West Dunbartonshire,Local Authority,2011,6399,Expenditure
S12000039,West Dunbartonshire,Local Authority,2018,5554,Expenditure
S12000039,West Dunbartonshire,Local Authority,2006,5787,Expenditure
S12000039,West Dunbartonshire,Local Authority,2015,6719,Expenditure
S12000039,West Dunbartonshire,Local Authority,2009,6312,Expenditure
S12000039,West Dunbartonshire,Local Authority,2012,6507,Expenditure
S12000039,West Dunbartonshire,Local Authority,2017,6228,Expenditure
S12000040,West Lothian,Local Authority,2009,17998,Expenditure
S12000040,West Lothian,Local Authority,2018,15228,Expenditure
S12000040,West Lothian,Local Authority,2015,16869,Expenditure
S12000040,West Lothian,Local Authority,2010,19800,Expenditure
S12000040,West Lothian,Local Authority,2005,14556,Expenditure
S12000040,West Lothian,Local Authority,2008,16206,Expenditure
S12000040,West Lothian,Local Authority,2007,14684,Expenditure
S12000040,West Lothian,Local Authority,2012,16715,Expenditure
S12000040,West Lothian,Local Authority,2014,16328,Expenditure
S12000040,West Lothian,Local Authority,2017,15428,Expenditure
S12000040,West Lothian,Local Authority,2006,13152,Expenditure
S12000040,West Lothian,Local Authority,2011,15356,Expenditure
S12000040,West Lothian,Local Authority,2016,14799,Expenditure
S12000005,Clackmannanshire,Local Authority,2015,3640,Expenditure
S12000005,Clackmannanshire,Local Authority,2008,3382,Expenditure
S12000005,Clackmannanshire,Local Authority,2017,2477,Expenditure
S12000005,Clackmannanshire,Local Authority,2018,2577,Expenditure
S12000005,Clackmannanshire,Local Authority,2014,3212,Expenditure
S12000005,Clackmannanshire,Local Authority,2005,3541,Expenditure
S12000005,Clackmannanshire,Local Authority,2012,3835,Expenditure
S12000005,Clackmannanshire,Local Authority,2007,3222,Expenditure
S12000005,Clackmannanshire,Local Authority,2011,2857,Expenditure
S12000005,Clackmannanshire,Local Authority,2010,3672,Expenditure
S12000005,Clackmannanshire,Local Authority,2009,3956,Expenditure
S12000005,Clackmannanshire,Local Authority,2016,2138,Expenditure
S12000005,Clackmannanshire,Local Authority,2006,3324,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2012,20592,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2010,22229,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2016,13425,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2014,18303,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2017,14501,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2008,20749,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2015,17527,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2009,21533,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2007,19743,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2011,18408,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2005,20466,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2006,19846,Expenditure
S12000006,Dumfries and Galloway,Local Authority,2018,14496,Expenditure
S12000008,East Ayrshire,Local Authority,2015,10704,Expenditure
S12000008,East Ayrshire,Local Authority,2014,11651,Expenditure
S12000008,East Ayrshire,Local Authority,2009,11859,Expenditure
S12000008,East Ayrshire,Local Authority,2010,12806,Expenditure
S12000008,East Ayrshire,Local Authority,2006,10713,Expenditure
S12000008,East Ayrshire,Local Authority,2017,10732,Expenditure
S12000008,East Ayrshire,Local Authority,2011,13408,Expenditure
S12000008,East Ayrshire,Local Authority,2016,10553,Expenditure
S12000008,East Ayrshire,Local Authority,2008,11365,Expenditure
S12000008,East Ayrshire,Local Authority,2007,11370,Expenditure
S12000008,East Ayrshire,Local Authority,2018,11280,Expenditure
S12000008,East Ayrshire,Local Authority,2005,12145,Expenditure
S12000008,East Ayrshire,Local Authority,2012,11457,Expenditure
S12000010,East Lothian,Local Authority,2012,6885,Expenditure
S12000010,East Lothian,Local Authority,2017,6116,Expenditure
S12000010,East Lothian,Local Authority,2015,4839,Expenditure
S12000010,East Lothian,Local Authority,2008,7189,Expenditure
S12000010,East Lothian,Local Authority,2016,5192,Expenditure
S12000010,East Lothian,Local Authority,2006,6099,Expenditure
S12000010,East Lothian,Local Authority,2009,7171,Expenditure
S12000010,East Lothian,Local Authority,2010,9124,Expenditure
S12000010,East Lothian,Local Authority,2005,6818,Expenditure
S12000010,East Lothian,Local Authority,2018,5531,Expenditure
S12000010,East Lothian,Local Authority,2007,6413,Expenditure
S12000010,East Lothian,Local Authority,2014,5330,Expenditure
S12000010,East Lothian,Local Authority,2011,6352,Expenditure
S12000011,East Renfrewshire,Local Authority,2011,10991,Expenditure
S12000011,East Renfrewshire,Local Authority,2010,7679,Expenditure
S12000011,East Renfrewshire,Local Authority,2015,9827,Expenditure
S12000011,East Renfrewshire,Local Authority,2012,10945,Expenditure
S12000011,East Renfrewshire,Local Authority,2009,7427,Expenditure
S12000011,East Renfrewshire,Local Authority,2006,10586,Expenditure
S12000011,East Renfrewshire,Local Authority,2008,10440,Expenditure
S12000011,East Renfrewshire,Local Authority,2016,9932,Expenditure
S12000011,East Renfrewshire,Local Authority,2018,10593,Expenditure
S12000011,East Renfrewshire,Local Authority,2007,10687,Expenditure
S12000011,East Renfrewshire,Local Authority,2014,10462,Expenditure
S12000011,East Renfrewshire,Local Authority,2005,11185,Expenditure
S12000011,East Renfrewshire,Local Authority,2017,11483,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2005,7428,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2018,7461,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2016,6832,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2014,7174,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2011,7447,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2006,7778,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2009,9747,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2015,7705,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2007,8355,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2012,7147,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2010,10127,Expenditure
S12000013,Na h-Eileanan Siar,Local Authority,2008,9263,Expenditure
