area_code,reference_area,area_type,year,indicator,value,units
S12000039,West Dunbartonshire,Local Authority,2013,% Walking Journeys To Work,10,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Walking Journeys To Work,14.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Walking Journeys To Work,12.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Shopping Journeys,26.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Bus Journeys To Work,9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Walking Journeys To Work,10.5,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Walking Journeys To Work,5,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Walking Journeys To Work,9.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Walking Journeys To Work,11.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Walking Journeys To Work,15.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Business Journeys,1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Bus Journeys To Work,14.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Commuting Journeys,31,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Commuting Journeys,20.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Commuting Journeys,14.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Bus Journeys To Work,12.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Bus Journeys To Work,7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Bus Journeys To Work,12,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Bus Journeys To Work,13,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Shopping Journeys,24.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Shopping Journeys,21,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Shopping Journeys,22.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Commuting Journeys,22.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Train Journeys To Work,1.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Education Journeys,6.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Shopping Journeys,27.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Education Journeys,0.8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Education Journeys,5.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Education Journeys,6.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Walking Journeys To Work,10.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Walking Journeys To Work,11,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Walking Journeys To Work,9.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Walking Journeys To Work,6.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Walking Journeys To Work,7.8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Commuting Journeys,27.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Commuting Journeys,22.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Train Journeys To Work,7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Train Journeys To Work,19,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Business Journeys,0.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Business Journeys,1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Business Journeys,0.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Health Journeys,2.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Health Journeys,2.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Business Journeys,1.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Business Journeys,1.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Business Journeys,1.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Business Journeys,3.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Business Journeys,1.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Health Journeys,3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Health Journeys,1.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Health Journeys,2.5,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Business Journeys,0,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Health Journeys,1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Health Journeys,2.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Health Journeys,3.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Health Journeys,0,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Health Journeys,2.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Commuting Journeys,15.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Commuting Journeys,35,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Walking Journeys To Work,9.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Bus Journeys To Work,8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Bus Journeys To Work,11.4,Percent Of Journeys
