FeatureCode,DateCode,Measurement,Units,Value,Business Demography
S12000028,2010,Count,De-Registrations,320,De-Registrations
S12000029,2010,Count,De-Registrations,885,De-Registrations
S12000026,2010,Count,De-Registrations,330,De-Registrations
S12000027,2010,Count,De-Registrations,35,De-Registrations
S12000040,2010,Count,De-Registrations,470,De-Registrations
S92000003,2011,Count,De-Registrations,13970,De-Registrations
S12000030,2010,Count,De-Registrations,335,De-Registrations
S12000039,2010,Count,De-Registrations,165,De-Registrations
S12000013,2010,Count,De-Registrations,75,De-Registrations
S12000021,2010,Count,De-Registrations,310,De-Registrations
S12000019,2010,Count,De-Registrations,185,De-Registrations
S12000020,2010,Count,De-Registrations,195,De-Registrations
S12000048,2010,Count,De-Registrations,430,De-Registrations
S12000038,2010,Count,De-Registrations,465,De-Registrations
S12000023,2010,Count,De-Registrations,55,De-Registrations
S12000045,2011,Count,De-Registrations,280,De-Registrations
S12000010,2011,Count,De-Registrations,215,De-Registrations
S12000042,2011,Count,De-Registrations,300,De-Registrations
S12000008,2011,Count,De-Registrations,285,De-Registrations
S12000014,2011,Count,De-Registrations,335,De-Registrations
S12000047,2011,Count,De-Registrations,755,De-Registrations
S12000011,2011,Count,De-Registrations,235,De-Registrations
S12000041,2011,Count,De-Registrations,270,De-Registrations
S12000035,2011,Count,De-Registrations,255,De-Registrations
S12000033,2011,Count,De-Registrations,755,De-Registrations
S12000034,2011,Count,De-Registrations,740,De-Registrations
S12000005,2011,Count,De-Registrations,120,De-Registrations
S12000006,2011,Count,De-Registrations,400,De-Registrations
S12000036,2011,Count,De-Registrations,1600,De-Registrations
S12000030,2009,Count,De-Registrations,305,De-Registrations
S12000039,2009,Count,De-Registrations,130,De-Registrations
S12000028,2009,Count,De-Registrations,335,De-Registrations
S12000029,2009,Count,De-Registrations,865,De-Registrations
S12000033,2010,Count,De-Registrations,750,De-Registrations
S12000034,2010,Count,De-Registrations,680,De-Registrations
S12000040,2009,Count,De-Registrations,445,De-Registrations
S92000003,2010,Count,De-Registrations,15185,De-Registrations
S12000023,2009,Count,De-Registrations,65,De-Registrations
S12000048,2009,Count,De-Registrations,480,De-Registrations
S12000013,2009,Count,De-Registrations,70,De-Registrations
S12000021,2009,Count,De-Registrations,285,De-Registrations
S12000026,2009,Count,De-Registrations,385,De-Registrations
S12000027,2009,Count,De-Registrations,85,De-Registrations
S12000038,2009,Count,De-Registrations,455,De-Registrations
S12000011,2010,Count,De-Registrations,280,De-Registrations
S12000014,2010,Count,De-Registrations,365,De-Registrations
S12000045,2010,Count,De-Registrations,285,De-Registrations
S12000010,2010,Count,De-Registrations,230,De-Registrations
S12000017,2010,Count,De-Registrations,760,De-Registrations
S12000018,2010,Count,De-Registrations,195,De-Registrations
S12000047,2010,Count,De-Registrations,895,De-Registrations
S12000036,2010,Count,De-Registrations,1745,De-Registrations
S12000005,2010,Count,De-Registrations,120,De-Registrations
S12000041,2010,Count,De-Registrations,295,De-Registrations
S12000035,2010,Count,De-Registrations,270,De-Registrations
S12000042,2010,Count,De-Registrations,370,De-Registrations
S12000008,2010,Count,De-Registrations,265,De-Registrations
S12000006,2010,Count,De-Registrations,425,De-Registrations
S12000048,2012,Count,De-Registrations,485,De-Registrations
S12000038,2012,Count,De-Registrations,490,De-Registrations
S12000021,2012,Count,De-Registrations,325,De-Registrations
S12000023,2012,Count,De-Registrations,75,De-Registrations
S12000028,2012,Count,De-Registrations,335,De-Registrations
S12000029,2012,Count,De-Registrations,890,De-Registrations
S12000026,2012,Count,De-Registrations,350,De-Registrations
S12000027,2012,Count,De-Registrations,55,De-Registrations
S12000017,2012,Count,De-Registrations,765,De-Registrations
S12000018,2012,Count,De-Registrations,185,De-Registrations
S12000014,2012,Count,De-Registrations,375,De-Registrations
S12000047,2012,Count,De-Registrations,905,De-Registrations
S12000020,2012,Count,De-Registrations,235,De-Registrations
S12000013,2012,Count,De-Registrations,85,De-Registrations
S12000019,2012,Count,De-Registrations,205,De-Registrations
S12000005,2013,Count,De-Registrations,115,De-Registrations
S12000006,2013,Count,De-Registrations,320,De-Registrations
S12000035,2013,Count,De-Registrations,295,De-Registrations
S12000036,2013,Count,De-Registrations,1785,De-Registrations
S12000008,2013,Count,De-Registrations,250,De-Registrations
S12000045,2013,Count,De-Registrations,255,De-Registrations
S12000042,2013,Count,De-Registrations,345,De-Registrations
S12000040,2012,Count,De-Registrations,475,De-Registrations
S92000003,2013,Count,De-Registrations,14850,De-Registrations
S12000030,2012,Count,De-Registrations,360,De-Registrations
S12000039,2012,Count,De-Registrations,190,De-Registrations
S12000034,2013,Count,De-Registrations,805,De-Registrations
S12000041,2013,Count,De-Registrations,285,De-Registrations
S12000033,2013,Count,De-Registrations,880,De-Registrations
S12000026,2011,Count,De-Registrations,300,De-Registrations
S12000027,2011,Count,De-Registrations,50,De-Registrations
S12000048,2011,Count,De-Registrations,425,De-Registrations
S12000038,2011,Count,De-Registrations,425,De-Registrations
S12000030,2011,Count,De-Registrations,330,De-Registrations
S12000039,2011,Count,De-Registrations,135,De-Registrations
S12000028,2011,Count,De-Registrations,280,De-Registrations
S12000029,2011,Count,De-Registrations,810,De-Registrations
S12000019,2011,Count,De-Registrations,170,De-Registrations
S12000020,2011,Count,De-Registrations,205,De-Registrations
S12000017,2011,Count,De-Registrations,635,De-Registrations
S12000018,2011,Count,De-Registrations,120,De-Registrations
S12000021,2011,Count,De-Registrations,265,De-Registrations
S12000023,2011,Count,De-Registrations,60,De-Registrations
S12000013,2011,Count,De-Registrations,70,De-Registrations
S12000042,2012,Count,De-Registrations,370,De-Registrations
S12000008,2012,Count,De-Registrations,290,De-Registrations
S12000005,2012,Count,De-Registrations,125,De-Registrations
S12000006,2012,Count,De-Registrations,420,De-Registrations
S12000010,2012,Count,De-Registrations,245,De-Registrations
S12000011,2012,Count,De-Registrations,265,De-Registrations
S12000045,2012,Count,De-Registrations,325,De-Registrations
S12000033,2012,Count,De-Registrations,885,De-Registrations
S12000034,2012,Count,De-Registrations,985,De-Registrations
S12000040,2011,Count,De-Registrations,425,De-Registrations
S92000003,2012,Count,De-Registrations,16545,De-Registrations
S12000035,2012,Count,De-Registrations,310,De-Registrations
S12000036,2012,Count,De-Registrations,1825,De-Registrations
S12000041,2012,Count,De-Registrations,310,De-Registrations
S12000041,2007,Count,De-Registrations,215,De-Registrations
S12000035,2007,Count,De-Registrations,245,De-Registrations
S12000033,2007,Count,De-Registrations,665,De-Registrations
S12000034,2007,Count,De-Registrations,585,De-Registrations
S12000006,2007,Count,De-Registrations,280,De-Registrations
S12000042,2007,Count,De-Registrations,285,De-Registrations
S12000036,2007,Count,De-Registrations,1485,De-Registrations
S12000005,2007,Count,De-Registrations,85,De-Registrations
S12000029,2006,Count,De-Registrations,640,De-Registrations
S12000030,2006,Count,De-Registrations,255,De-Registrations
S12000027,2006,Count,De-Registrations,60,De-Registrations
S12000028,2006,Count,De-Registrations,300,De-Registrations
S12000040,2006,Count,De-Registrations,370,De-Registrations
S92000003,2007,Count,De-Registrations,12020,De-Registrations
S12000039,2006,Count,De-Registrations,135,De-Registrations
S12000020,2007,Count,De-Registrations,185,De-Registrations
S12000013,2007,Count,De-Registrations,55,De-Registrations
