FeatureCode,DateCode,Measurement,Units,Value,Energy Type,Energy Consuming Sector
S12000040,2010,Count,GWh,30.073744044,Bioenergy & Wastes,Domestic
S12000027,2007,Count,GWh,107.79847,Electricity,Domestic
S12000045,2018,Count,GWh,27.334650724,Bioenergy & Wastes,Domestic
S12000027,2007,Count,GWh,9.9017434466,Coal,Domestic
S12000045,2018,Count,GWh,2.2965874393,Coal,Domestic
S12000027,2007,Count,GWh,77.743553496,Petroleum Products,Domestic
S12000027,2007,Count,GWh,0,Gas,Domestic
S12000027,2007,Count,GWh,4.5904318616,Manufactured Fuels,Domestic
S12000027,2006,Count,GWh,0,Gas,Domestic
S12000027,2006,Count,GWh,5.0753225681,Manufactured Fuels,Domestic
S12000040,2010,Count,GWh,1117.2656369,Gas,Domestic
S12000027,2006,Count,GWh,105.92604,Electricity,Domestic
S12000040,2010,Count,GWh,13.157034875,Coal,Domestic
S12000027,2007,Count,GWh,5.5675773324,Bioenergy & Wastes,Domestic
S12000040,2010,Count,GWh,303.09876808,Electricity,Domestic
S12000027,2006,Count,GWh,89.55689762,Petroleum Products,Domestic
S92000003,2018,Count,GWh,308.11326458999997,Manufactured Fuels,Domestic
S12000027,2008,Count,GWh,80.450517743,Petroleum Products,Domestic
S12000027,2008,Count,GWh,0,Gas,Domestic
S12000027,2008,Count,GWh,5.5499005465,Manufactured Fuels,Domestic
S12000027,2009,Count,GWh,7.1981510387,Bioenergy & Wastes,Domestic
S12000027,2009,Count,GWh,10.489175793,Coal,Domestic
S92000003,2018,Count,GWh,28361.3137,Gas,Domestic
S92000003,2018,Count,GWh,9686.092212,Electricity,Domestic
S12000040,2009,Count,GWh,5.7585769736,Manufactured Fuels,Domestic
S12000027,2008,Count,GWh,10.475864619,Coal,Domestic
S12000040,2009,Count,GWh,33.763627987,Petroleum Products,Domestic
S12000027,2008,Count,GWh,6.6073403514,Bioenergy & Wastes,Domestic
S12000040,2009,Count,GWh,1140.5953203,Gas,Domestic
S12000027,2008,Count,GWh,101.46012,Electricity,Domestic
S92000003,2018,Count,GWh,3122.0270509,Petroleum Products,Domestic
S12000026,2018,Count,GWh,242.3084559,Electricity,Domestic
S12000026,2018,Count,GWh,520.0423345,Gas,Domestic
S12000026,2018,Count,GWh,33.592302445,Coal,Domestic
S12000040,2011,Count,GWh,1075.344674,Gas,Domestic
S12000026,2018,Count,GWh,188.61835857,Petroleum Products,Domestic
S12000045,2017,Count,GWh,176.1156348,Electricity,Domestic
S12000026,2018,Count,GWh,18.472908793,Manufactured Fuels,Domestic
S12000040,2011,Count,GWh,302.37499208,Electricity,Domestic
S12000045,2017,Count,GWh,2.3739664696,Coal,Domestic
S12000026,2017,Count,GWh,188.04223279,Petroleum Products,Domestic
S12000026,2017,Count,GWh,516.9241513,Gas,Domestic
S12000026,2017,Count,GWh,18.420925798,Manufactured Fuels,Domestic
S12000026,2018,Count,GWh,61.416687747,Bioenergy & Wastes,Domestic
