FeatureCode,DateCode,Measurement,Units,Value,Gender,Age
S12000035,2013/2014,Ratio,Percent reconvicted,30.4,Male,26-30 years
S12000035,2017/2018,Ratio,Percent reconvicted,27.1,Male,31-40 years
S12000017,2015/2016,Mean,Average reconvictions per offender,0.42,Male,All
S12000017,2012/2013,Ratio,Percent reconvicted,32.3,Male,Under 21 years
S12000017,2013/2014,Ratio,Percent reconvicted,20.2,Male,26-30 years
S12000035,2012/2013,Ratio,Percent reconvicted,27.3,Male,Under 21 years
S12000035,2017/2018,Ratio,Percent reconvicted,14.7,Male,Over 40 years
S12000035,2014/2015,Mean,Average reconvictions per offender,0.4,Male,31-40 years
S12000017,2016/2017,Mean,Average reconvictions per offender,0.58,Male,21-25 years
S12000017,2012/2013,Ratio,Percent reconvicted,21.4,Male,Over 40 years
S12000035,2015/2016,Mean,Average reconvictions per offender,0.45,Male,Under 21 years
S12000035,2016/2017,Mean,Average reconvictions per offender,0.31,Male,Over 40 years
S12000017,2012/2013,Mean,Average reconvictions per offender,0.44,Male,All
S12000035,2012/2013,Ratio,Percent reconvicted,25.8,Male,Over 40 years
S12000035,2015/2016,Ratio,Percent reconvicted,27.3,Male,Under 21 years
S12000017,2013/2014,Ratio,Percent reconvicted,30.5,Male,Under 21 years
S12000017,2017/2018,Ratio,Percent reconvicted,32.5,Male,21-25 years
S12000017,2016/2017,Ratio,Percent reconvicted,26.2,Male,31-40 years
S12000017,2012/2013,Mean,Average reconvictions per offender,0.36,Male,26-30 years
S12000035,2013/2014,Ratio,Percent reconvicted,25.5,Male,31-40 years
S12000017,2014/2015,Mean,Average reconvictions per offender,0.59,Male,Under 21 years
S12000035,2016/2017,Ratio,Percent reconvicted,27.8,Male,Under 21 years
S12000017,2012/2013,Ratio,Percent reconvicted,29.5,Male,31-40 years
S12000035,2016/2017,Mean,Average reconvictions per offender,0.43,Male,31-40 years
S12000017,2016/2017,Ratio,Percent reconvicted,14.9,Male,Over 40 years
S12000017,2014/2015,Ratio,Percent reconvicted,33.8,Male,Under 21 years
S12000017,2012/2013,Mean,Average reconvictions per offender,0.39,Male,21-25 years
S12000017,2013/2014,Mean,Average reconvictions per offender,0.45,Male,31-40 years
S12000035,2015/2016,Ratio,Percent reconvicted,26.6,Male,26-30 years
S12000035,2013/2014,Ratio,Percent reconvicted,43.4,Male,21-25 years
S12000017,2017/2018,Mean,Average reconvictions per offender,0.48,Male,All
S12000017,2015/2016,Ratio,Percent reconvicted,26.5,Male,All
S12000035,2013/2014,Mean,Average reconvictions per offender,0.41,Male,26-30 years
S12000035,2016/2017,Ratio,Percent reconvicted,31.9,Male,31-40 years
S12000017,2017/2018,Ratio,Percent reconvicted,17.2,Male,Over 40 years
S12000017,2012/2013,Mean,Average reconvictions per offender,0.52,Male,31-40 years
S12000035,2015/2016,Ratio,Percent reconvicted,12,Male,Over 40 years
S12000035,2012/2013,Ratio,Percent reconvicted,34.7,Male,31-40 years
S12000017,2017/2018,Mean,Average reconvictions per offender,0.56,Male,21-25 years
S12000035,2014/2015,Ratio,Percent reconvicted,32.3,Male,Under 21 years
S12000035,2015/2016,Mean,Average reconvictions per offender,0.37,Male,All
S12000017,2017/2018,Mean,Average reconvictions per offender,0.55,Male,Under 21 years
S12000035,2016/2017,Ratio,Percent reconvicted,26.5,Male,All
S12000017,2016/2017,Ratio,Percent reconvicted,25.5,Male,All
S12000017,2012/2013,Mean,Average reconvictions per offender,0.6,Male,Under 21 years
S12000017,2017/2018,Ratio,Percent reconvicted,27.7,Male,Under 21 years
S12000017,2016/2017,Mean,Average reconvictions per offender,0.23,Male,Over 40 years
S12000035,2013/2014,Ratio,Percent reconvicted,27.5,Male,All
S12000017,2014/2015,Ratio,Percent reconvicted,24.7,Male,All
S12000035,2016/2017,Ratio,Percent reconvicted,32.7,Male,21-25 years
S12000017,2014/2015,Ratio,Percent reconvicted,18.9,Male,Over 40 years
S12000035,2016/2017,Ratio,Percent reconvicted,17.6,Male,Over 40 years
S12000035,2014/2015,Ratio,Percent reconvicted,24.6,Male,26-30 years
S12000035,2012/2013,Mean,Average reconvictions per offender,0.3,Male,Under 21 years
S12000017,2015/2016,Ratio,Percent reconvicted,24.4,Male,26-30 years
S12000017,2015/2016,Ratio,Percent reconvicted,30,Male,21-25 years
S12000017,2014/2015,Mean,Average reconvictions per offender,0.39,Male,All
S12000034,2015/2016,Mean,Average reconvictions per offender,0.68,Male,31-40 years
S12000034,2017/2018,Mean,Average reconvictions per offender,0.68,Male,31-40 years
S12000017,2013/2014,Ratio,Percent reconvicted,26,Male,21-25 years
S12000034,2015/2016,Ratio,Percent reconvicted,28.9,Male,All
S12000034,2017/2018,Ratio,Percent reconvicted,22.6,Male,Over 40 years
S12000034,2016/2017,Ratio,Percent reconvicted,36.1,Male,Under 21 years
S12000035,2013/2014,Ratio,Percent reconvicted,16.4,Male,Over 40 years
S12000017,2015/2016,Mean,Average reconvictions per offender,0.39,Male,31-40 years
S12000017,2012/2013,Mean,Average reconvictions per offender,0.35,Male,Over 40 years
S12000017,2013/2014,Mean,Average reconvictions per offender,0.48,Male,Under 21 years
S12000035,2013/2014,Ratio,Percent reconvicted,28.1,Male,Under 21 years
S12000035,2015/2016,Ratio,Percent reconvicted,30.4,Male,31-40 years
S12000035,2012/2013,Ratio,Percent reconvicted,31.1,Male,All
S12000035,2016/2017,Ratio,Percent reconvicted,27.3,Male,26-30 years
S12000035,2015/2016,Mean,Average reconvictions per offender,0.38,Male,26-30 years
S12000017,2016/2017,Ratio,Percent reconvicted,30.2,Male,26-30 years
S12000035,2012/2013,Mean,Average reconvictions per offender,0.52,Male,31-40 years
S12000017,2013/2014,Mean,Average reconvictions per offender,0.34,Male,26-30 years
S12000035,2017/2018,Mean,Average reconvictions per offender,0.3,Male,All
S12000035,2015/2016,Mean,Average reconvictions per offender,0.43,Male,31-40 years
S12000035,2016/2017,Mean,Average reconvictions per offender,0.34,Male,26-30 years
S12000017,2016/2017,Mean,Average reconvictions per offender,0.42,Male,All
S12000017,2017/2018,Ratio,Percent reconvicted,30.5,Male,26-30 years
S12000035,2016/2017,Mean,Average reconvictions per offender,0.51,Male,21-25 years
S12000035,2014/2015,Ratio,Percent reconvicted,18.2,Male,Over 40 years
S12000017,2013/2014,Ratio,Percent reconvicted,28.6,Male,31-40 years
S12000017,2012/2013,Ratio,Percent reconvicted,24,Male,26-30 years
S12000035,2017/2018,Mean,Average reconvictions per offender,0.45,Male,31-40 years
S12000035,2012/2013,Ratio,Percent reconvicted,34,Male,21-25 years
S12000017,2015/2016,Ratio,Percent reconvicted,23,Male,Over 40 years
S12000035,2017/2018,Ratio,Percent reconvicted,21.2,Male,26-30 years
S12000014,2016/2017,Ratio,Percent reconvicted,41.4,Male,Under 21 years
S12000014,2014/2015,Mean,Average reconvictions per offender,0.32,Male,Over 40 years
S12000036,2012/2013,Mean,Average reconvictions per offender,0.45,Male,Over 40 years
S12000036,2017/2018,Ratio,Percent reconvicted,20.1,Male,Over 40 years
S12000035,2013/2014,Mean,Average reconvictions per offender,0.38,Male,All
S12000014,2012/2013,Mean,Average reconvictions per offender,0.57,Male,21-25 years
S12000036,2017/2018,Mean,Average reconvictions per offender,0.32,Male,Over 40 years
S12000014,2017/2018,Mean,Average reconvictions per offender,0.68,Male,Under 21 years
S12000014,2014/2015,Ratio,Percent reconvicted,32.5,Male,Under 21 years
S12000014,2015/2016,Mean,Average reconvictions per offender,0.49,Male,31-40 years
S12000036,2013/2014,Ratio,Percent reconvicted,33.9,Male,Under 21 years
S12000035,2012/2013,Mean,Average reconvictions per offender,0.51,Male,26-30 years
S12000014,2012/2013,Ratio,Percent reconvicted,34.6,Male,Under 21 years
S12000035,2014/2015,Mean,Average reconvictions per offender,0.32,Male,26-30 years
S12000014,2013/2014,Mean,Average reconvictions per offender,0.57,Male,21-25 years
S12000035,2015/2016,Mean,Average reconvictions per offender,0.53,Male,21-25 years
S12000035,2017/2018,Mean,Average reconvictions per offender,0.34,Male,21-25 years
S12000035,2012/2013,Mean,Average reconvictions per offender,0.42,Male,Over 40 years
S12000014,2016/2017,Ratio,Percent reconvicted,20.9,Male,Over 40 years
S12000035,2014/2015,Ratio,Percent reconvicted,25.5,Male,All
S12000014,2012/2013,Mean,Average reconvictions per offender,0.54,Male,All
S12000035,2015/2016,Ratio,Percent reconvicted,24.5,Male,All
S12000014,2015/2016,Ratio,Percent reconvicted,30.2,Male,All
S12000014,2016/2017,Ratio,Percent reconvicted,28.9,Male,All
S12000014,2015/2016,Ratio,Percent reconvicted,19.3,Male,Over 40 years
S12000036,2016/2017,Ratio,Percent reconvicted,20,Male,Over 40 years
S12000036,2014/2015,Ratio,Percent reconvicted,38.8,Male,Under 21 years
S12000014,2017/2018,Mean,Average reconvictions per offender,0.56,Male,All
S12000014,2012/2013,Mean,Average reconvictions per offender,0.57,Male,Under 21 years
S12000014,2017/2018,Ratio,Percent reconvicted,37.3,Male,26-30 years
S12000036,2014/2015,Ratio,Percent reconvicted,24,Male,Over 40 years
S12000014,2012/2013,Ratio,Percent reconvicted,36,Male,26-30 years
S12000036,2012/2013,Mean,Average reconvictions per offender,0.59,Male,Under 21 years
S12000036,2012/2013,Ratio,Percent reconvicted,21.2,Male,Over 40 years
S12000036,2017/2018,Ratio,Percent reconvicted,32.3,Male,Under 21 years
S12000014,2016/2017,Ratio,Percent reconvicted,28,Male,21-25 years
S12000014,2017/2018,Ratio,Percent reconvicted,38.3,Male,Under 21 years
S12000014,2016/2017,Mean,Average reconvictions per offender,0.43,Male,Over 40 years
S12000036,2016/2017,Mean,Average reconvictions per offender,0.51,Male,All
S12000036,2013/2014,Ratio,Percent reconvicted,23.8,Male,Over 40 years
S12000036,2015/2016,Mean,Average reconvictions per offender,0.37,Male,Over 40 years
S12000014,2012/2013,Ratio,Percent reconvicted,32.9,Male,31-40 years
S12000036,2014/2015,Mean,Average reconvictions per offender,0.44,Male,Over 40 years
S12000014,2015/2016,Mean,Average reconvictions per offender,0.66,Male,26-30 years
S12000035,2014/2015,Mean,Average reconvictions per offender,0.39,Male,All
