FeatureCode,DateCode,Measurement,Units,Value,Cancer Type,Gender
S12000039,2013,Count,Cases,304,Malignant Neoplasms,Male
S12000039,2013,Count,Cases,60,Colorectal Cancer,All
S12000039,2017,Count,Cases,288,Malignant Neoplasms,Male
S12000039,2016,Count,Cases,65,Colorectal Cancer,All
S12000039,2011,Count,Cases,270,Malignant Neoplasms,Female
S12000039,2016,Count,Cases,100,Breast Cancer,Female
S12000039,2014,Count,Cases,77,Colorectal Cancer,All
S12000039,2012,Count,Cases,333,Malignant Neoplasms,Female
S12000039,2013,Count,Cases,598,Malignant Neoplasms,All
S12000039,2017,Count,Cases,577,Malignant Neoplasms,All
S12000039,2014,Count,Cases,618,Malignant Neoplasms,All
S12000039,2012,Count,Cases,629,Malignant Neoplasms,All
S12000039,2009,Count,Cases,339,Malignant Neoplasms,Female
S12000039,2007,Count,Cases,272,Malignant Neoplasms,Female
S12000039,2010,Count,Cases,60,Colorectal Cancer,All
S12000039,2015,Count,Cases,325,Malignant Neoplasms,Female
S12000039,1998,Count,Cases,282,Malignant Neoplasms,Female
S12000039,2008,Count,Cases,257,Malignant Neoplasms,Female
S12000039,2011,Count,Cases,272,Malignant Neoplasms,Male
S12000039,1999,Count,Cases,268,Malignant Neoplasms,Female
S12000039,2013,Count,Cases,294,Malignant Neoplasms,Female
S12000039,2001,Count,Cases,58,Colorectal Cancer,All
S12000039,2005,Count,Cases,239,Malignant Neoplasms,Female
S12000039,2017,Count,Cases,64,Colorectal Cancer,All
S12000039,2014,Count,Cases,312,Malignant Neoplasms,Male
S12000039,2004,Count,Cases,264,Malignant Neoplasms,Female
S12000039,2010,Count,Cases,306,Malignant Neoplasms,Female
S12000039,2003,Count,Cases,285,Malignant Neoplasms,Female
S12000039,2012,Count,Cases,73,Colorectal Cancer,All
S12000039,2012,Count,Cases,296,Malignant Neoplasms,Male
S12000039,2010,Count,Cases,226,Malignant Neoplasms,Male
S12000039,2011,Count,Cases,73,Colorectal Cancer,All
S12000039,2009,Count,Cases,266,Malignant Neoplasms,Male
S12000039,2008,Count,Cases,56,Breast Cancer,Female
S12000039,2001,Count,Cases,227,Malignant Neoplasms,Male
S12000039,2003,Count,Cases,253,Malignant Neoplasms,Male
S12000039,2004,Count,Cases,223,Malignant Neoplasms,Male
S12000039,2009,Count,Cases,108,Breast Cancer,Female
S12000039,2015,Count,Cases,288,Malignant Neoplasms,Male
S12000039,2015,Count,Cases,89,Breast Cancer,Female
S12000039,2005,Count,Cases,236,Malignant Neoplasms,Male
S12000039,2015,Count,Cases,613,Malignant Neoplasms,All
S12000039,2001,Count,Cases,61,Breast Cancer,Female
S12000039,2002,Count,Cases,44,Breast Cancer,Female
S12000039,1997,Count,Cases,245,Malignant Neoplasms,Male
S12000039,2000,Count,Cases,218,Malignant Neoplasms,Male
S12000039,2006,Count,Cases,254,Malignant Neoplasms,Male
S12000039,2002,Count,Cases,245,Malignant Neoplasms,Male
S12000039,2006,Count,Cases,121,Breast Cancer,Female
S12000039,2007,Count,Cases,63,Breast Cancer,Female
S12000039,1999,Count,Cases,66,Breast Cancer,Female
S12000039,2005,Count,Cases,54,Breast Cancer,Female
S12000039,2010,Count,Cases,532,Malignant Neoplasms,All
S12000039,2011,Count,Cases,542,Malignant Neoplasms,All
S12000039,2004,Count,Cases,54,Breast Cancer,Female
S12000039,2003,Count,Cases,85,Breast Cancer,Female
S12000039,1999,Count,Cases,236,Malignant Neoplasms,Male
S12000039,2011,Count,Cases,65,Breast Cancer,Female
S12000039,1998,Count,Cases,229,Malignant Neoplasms,Male
S12000039,2008,Count,Cases,254,Malignant Neoplasms,Male
