FeatureCode,DateCode,Measurement,Units,Value
S12000039,2012,Count,People,96666
S12000039,2013,Count,People,96281
S12000039,2015,Count,People,96065
S12000039,2009,Count,People,97712
S12000039,2007,Count,People,98037
S12000039,2018,Count,People,96233
S12000039,2011,Count,People,97035
S12000039,2016,Count,People,96376
S12000039,2017,Count,People,96399
S12000039,2019,Count,People,96146
S12000039,2014,Count,People,96194
S12000039,2010,Count,People,97525
S12000039,2008,Count,People,97851
S12000040,2011,Count,People,179508
S12000040,2008,Count,People,176437
S12000040,2014,Count,People,182601
S12000040,2012,Count,People,180047
S12000040,2018,Count,People,184872
S12000040,2010,Count,People,178719
S12000040,2017,Count,People,192409
S12000040,2007,Count,People,174357
S12000040,2016,Count,People,190859
S12000040,2013,Count,People,181026
S12000040,2019,Count,People,186067
S12000040,2015,Count,People,183880
S12000040,2009,Count,People,177832
S92000003,2015,Count,People,5627467
S92000003,2013,Count,People,5568304
S92000003,2011,Count,People,5529653
S92000003,2019,Count,People,5769985
S92000003,2012,Count,People,5549273
S92000003,2016,Count,People,5663607
S92000003,2014,Count,People,5599174
S92000003,2017,Count,People,5698741
S92000003,2009,Count,People,5496727
S92000003,2007,Count,People,5443032
S92000003,2018,Count,People,5732502
S92000003,2008,Count,People,5474029
S92000003,2010,Count,People,5518806
S12000005,2010,Count,People,56272
S12000005,2011,Count,People,56345
S12000005,2013,Count,People,56379
S12000005,2018,Count,People,57405
S12000005,2008,Count,People,55966
S12000005,2017,Count,People,57256
S12000005,2015,Count,People,56778
S12000005,2007,Count,People,55325
S12000005,2009,Count,People,56072
S12000005,2016,Count,People,56950
S12000005,2012,Count,People,56332
S12000005,2014,Count,People,56528
S12000005,2019,Count,People,57540
S12000006,2009,Count,People,155406
S12000006,2010,Count,People,155397
S12000006,2007,Count,People,154771
S12000006,2015,Count,People,154115
S12000006,2017,Count,People,154307
S12000006,2008,Count,People,155551
S12000006,2013,Count,People,154310
S12000006,2011,Count,People,155378
S12000006,2016,Count,People,154188
S12000006,2019,Count,People,154430
S12000006,2014,Count,People,154188
S12000006,2018,Count,People,154306
S12000006,2012,Count,People,154898
S12000008,2017,Count,People,132049
S12000008,2007,Count,People,131370
S12000008,2013,Count,People,132237
S12000008,2010,Count,People,132478
S12000008,2011,Count,People,132410
S12000008,2014,Count,People,132113
S12000008,2012,Count,People,132269
S12000008,2008,Count,People,131969
S12000008,2016,Count,People,132070
S12000008,2018,Count,People,132090
S12000008,2015,Count,People,132029
S12000008,2019,Count,People,132359
S12000008,2009,Count,People,132298
S12000010,2017,Count,People,108332
S12000010,2007,Count,People,98825
S12000010,2014,Count,People,104952
S12000010,2016,Count,People,107355
S12000010,2019,Count,People,111897
S12000010,2012,Count,People,103392
S12000010,2010,Count,People,102147
S12000010,2011,Count,People,103960
S12000010,2013,Count,People,104215
S12000010,2015,Count,People,106091
S12000010,2018,Count,People,110164
S12000010,2009,Count,People,101586
S12000010,2008,Count,People,100674
S12000011,2007,Count,People,97250
S12000011,2008,Count,People,98133
S12000011,2014,Count,People,102862
S12000011,2010,Count,People,99413
S12000011,2013,Count,People,102207
S12000011,2015,Count,People,104003
S12000011,2018,Count,People,108576
S12000011,2017,Count,People,107591
S12000011,2009,Count,People,98503
S12000011,2011,Count,People,100179
S12000011,2012,Count,People,101307
S12000011,2019,Count,People,109493
S12000011,2016,Count,People,105731
S12000013,2012,Count,People,27284
S12000013,2018,Count,People,26941
S12000013,2013,Count,People,27204
S12000013,2015,Count,People,26967
S12000013,2019,Count,People,26889
S12000013,2008,Count,People,27654
S12000013,2014,Count,People,27099
S12000013,2011,Count,People,27376
S12000013,2016,Count,People,26836
S12000013,2010,Count,People,27485
S12000013,2007,Count,People,27696
S12000013,2009,Count,People,27554
S12000013,2017,Count,People,26961
S12000014,2008,Count,People,154544
S12000014,2011,Count,People,157040
S12000014,2010,Count,People,156032
S12000014,2016,Count,People,161165
S12000014,2013,Count,People,158272
S12000014,2017,Count,People,162245
S12000014,2007,Count,People,153506
S12000014,2019,Count,People,163322
S12000014,2018,Count,People,162767
S12000014,2015,Count,People,160288
S12000014,2009,Count,People,155259
S12000014,2014,Count,People,158999
S12000014,2012,Count,People,157577
S12000017,2012,Count,People,234315
S12000017,2016,Count,People,238085
S12000017,2013,Count,People,234855
S12000017,2019,Count,People,241396
S12000017,2017,Count,People,238985
S12000017,2014,Count,People,235467
S12000017,2015,Count,People,236901
S12000017,2007,Count,People,229177
S12000017,2009,Count,People,232621
S12000017,2011,Count,People,233991
S12000017,2010,Count,People,233461
