FeatureCode,DateCode,Measurement,Units,Value
S12000039,2007,Ratio,People Per Household,2.18
S12000039,2008,Ratio,People Per Household,2.16
S12000039,2006,Ratio,People Per Household,2.19
S12000039,2009,Ratio,People Per Household,2.16
S12000039,2010,Ratio,People Per Household,2.14
S12000039,2015,Ratio,People Per Household,2.09
S12000039,2002,Ratio,People Per Household,2.27
S12000039,2003,Ratio,People Per Household,2.25
S12000039,2001,Ratio,People Per Household,2.27
S12000039,2004,Ratio,People Per Household,2.24
S12000039,2005,Ratio,People Per Household,2.21
S12000039,2016,Ratio,People Per Household,2.09
S12000039,2019,Ratio,People Per Household,2.05
S12000039,2013,Ratio,People Per Household,2.12
S12000039,2011,Ratio,People Per Household,2.14
S12000039,2012,Ratio,People Per Household,2.13
S12000039,2018,Ratio,People Per Household,2.06
S12000039,2014,Ratio,People Per Household,2.1
S12000039,2017,Ratio,People Per Household,2.08
S12000040,2002,Ratio,People Per Household,2.41
S12000040,2013,Ratio,People Per Household,2.35
S12000040,2005,Ratio,People Per Household,2.36
S12000040,2014,Ratio,People Per Household,2.34
S12000040,2004,Ratio,People Per Household,2.38
S12000040,2003,Ratio,People Per Household,2.39
S12000040,2015,Ratio,People Per Household,2.33
S12000040,2011,Ratio,People Per Household,2.36
S12000040,2010,Ratio,People Per Household,2.35
S12000040,2009,Ratio,People Per Household,2.36
S12000040,2007,Ratio,People Per Household,2.35
S12000040,2006,Ratio,People Per Household,2.36
S12000040,2008,Ratio,People Per Household,2.35
S12000040,2012,Ratio,People Per Household,2.36
S12000040,2016,Ratio,People Per Household,2.33
S12000040,2018,Ratio,People Per Household,2.31
S12000040,2017,Ratio,People Per Household,2.32
S12000040,2019,Ratio,People Per Household,2.29
S12000040,2001,Ratio,People Per Household,2.43
S92000003,2013,Ratio,People Per Household,2.18
S92000003,2012,Ratio,People Per Household,2.18
S92000003,2014,Ratio,People Per Household,2.17
S92000003,2009,Ratio,People Per Household,2.18
S92000003,2010,Ratio,People Per Household,2.18
S92000003,2011,Ratio,People Per Household,2.19
S92000003,2017,Ratio,People Per Household,2.16
S92000003,2019,Ratio,People Per Household,2.15
S92000003,2018,Ratio,People Per Household,2.15
S92000003,2015,Ratio,People Per Household,2.17
S92000003,2016,Ratio,People Per Household,2.17
S92000003,2005,Ratio,People Per Household,2.21
S92000003,2004,Ratio,People Per Household,2.22
S92000003,2006,Ratio,People Per Household,2.2
S92000003,2002,Ratio,People Per Household,2.25
S92000003,2003,Ratio,People Per Household,2.23
S92000003,2001,Ratio,People Per Household,2.27
S92000003,2008,Ratio,People Per Household,2.18
S92000003,2007,Ratio,People Per Household,2.19
S12000005,2018,Ratio,People Per Household,2.13
S12000005,2001,Ratio,People Per Household,2.29
S12000005,2011,Ratio,People Per Household,2.22
S12000005,2013,Ratio,People Per Household,2.19
S12000005,2019,Ratio,People Per Household,2.12
S12000005,2012,Ratio,People Per Household,2.2
S12000005,2002,Ratio,People Per Household,2.28
S12000005,2005,Ratio,People Per Household,2.24
S12000005,2008,Ratio,People Per Household,2.23
S12000005,2009,Ratio,People Per Household,2.21
S12000005,2007,Ratio,People Per Household,2.23
S12000005,2006,Ratio,People Per Household,2.22
S12000005,2010,Ratio,People Per Household,2.21
S12000005,2003,Ratio,People Per Household,2.25
S12000005,2004,Ratio,People Per Household,2.25
S12000005,2017,Ratio,People Per Household,2.14
S12000005,2014,Ratio,People Per Household,2.16
S12000005,2015,Ratio,People Per Household,2.16
S12000005,2016,Ratio,People Per Household,2.15
S12000006,2004,Ratio,People Per Household,2.24
S12000006,2005,Ratio,People Per Household,2.23
S12000006,2018,Ratio,People Per Household,2.11
S12000006,2013,Ratio,People Per Household,2.16
S12000006,2010,Ratio,People Per Household,2.2
S12000006,2014,Ratio,People Per Household,2.15
S12000006,2012,Ratio,People Per Household,2.18
S12000006,2001,Ratio,People Per Household,2.28
S12000006,2002,Ratio,People Per Household,2.27
S12000006,2015,Ratio,People Per Household,2.14
S12000006,2011,Ratio,People Per Household,2.2
S12000006,2017,Ratio,People Per Household,2.12
S12000006,2003,Ratio,People Per Household,2.25
S12000006,2007,Ratio,People Per Household,2.22
S12000006,2016,Ratio,People Per Household,2.13
S12000006,2006,Ratio,People Per Household,2.22
S12000006,2009,Ratio,People Per Household,2.2
S12000006,2008,Ratio,People Per Household,2.21
S12000006,2019,Ratio,People Per Household,2.11
S12000008,2011,Ratio,People Per Household,2.25
S12000008,2012,Ratio,People Per Household,2.24
S12000008,2019,Ratio,People Per Household,2.18
S12000008,2016,Ratio,People Per Household,2.21
S12000008,2004,Ratio,People Per Household,2.31
S12000008,2001,Ratio,People Per Household,2.35
S12000008,2003,Ratio,People Per Household,2.32
S12000008,2008,Ratio,People Per Household,2.26
S12000008,2014,Ratio,People Per Household,2.22
S12000008,2018,Ratio,People Per Household,2.18
S12000008,2007,Ratio,People Per Household,2.28
S12000008,2009,Ratio,People Per Household,2.25
