FeatureCode,DateCode,Measurement,Units,Value
S12000005,2002,Count,HMO Licences,0
S12000005,2003,Count,HMO Licences,1
S12000005,2004,Count,HMO Licences,3
S12000005,2005,Count,HMO Licences,2
S12000005,2006,Count,HMO Licences,6
S12000005,2007,Count,HMO Licences,9
S12000005,2008,Count,HMO Licences,9
S12000005,2009,Count,HMO Licences,8
S12000005,2010,Count,HMO Licences,9
S12000005,2011,Count,HMO Licences,8
S12000005,2012,Count,HMO Licences,8
S12000005,2013,Count,HMO Licences,8
S12000006,2001,Count,HMO Licences,1
S12000006,2002,Count,HMO Licences,9
S12000006,2003,Count,HMO Licences,29
S12000006,2004,Count,HMO Licences,72
S12000006,2005,Count,HMO Licences,87
S12000006,2006,Count,HMO Licences,93
S12000006,2007,Count,HMO Licences,115
S12000006,2008,Count,HMO Licences,120
S12000006,2009,Count,HMO Licences,127
S12000006,2010,Count,HMO Licences,120
S12000006,2011,Count,HMO Licences,123
S12000006,2012,Count,HMO Licences,119
S12000006,2013,Count,HMO Licences,117
S12000008,2001,Count,HMO Licences,0
S12000008,2002,Count,HMO Licences,2
S12000008,2003,Count,HMO Licences,4
S12000008,2004,Count,HMO Licences,4
S12000008,2005,Count,HMO Licences,8
S12000008,2006,Count,HMO Licences,14
S12000008,2007,Count,HMO Licences,18
S12000008,2008,Count,HMO Licences,20
S12000008,2009,Count,HMO Licences,12
S12000008,2010,Count,HMO Licences,15
S12000008,2011,Count,HMO Licences,16
S12000008,2012,Count,HMO Licences,11
S12000008,2013,Count,HMO Licences,12
S12000010,2002,Count,HMO Licences,0
S12000010,2003,Count,HMO Licences,4
S12000010,2004,Count,HMO Licences,12
S12000010,2005,Count,HMO Licences,26
S12000010,2006,Count,HMO Licences,34
S12000010,2007,Count,HMO Licences,38
S12000010,2008,Count,HMO Licences,41
S12000010,2009,Count,HMO Licences,47
S12000010,2010,Count,HMO Licences,49
S12000010,2011,Count,HMO Licences,53
S12000010,2012,Count,HMO Licences,56
S12000010,2013,Count,HMO Licences,49
S12000011,2001,Count,HMO Licences,0
S12000011,2002,Count,HMO Licences,1
S12000011,2003,Count,HMO Licences,5
S12000011,2004,Count,HMO Licences,6
S12000011,2005,Count,HMO Licences,14
S12000011,2006,Count,HMO Licences,16
S12000011,2007,Count,HMO Licences,15
S12000011,2008,Count,HMO Licences,14
S12000011,2009,Count,HMO Licences,14
S12000011,2010,Count,HMO Licences,18
S12000011,2011,Count,HMO Licences,18
S12000011,2012,Count,HMO Licences,18
S12000011,2013,Count,HMO Licences,18
S12000013,2003,Count,HMO Licences,0
S12000013,2004,Count,HMO Licences,1
S12000013,2005,Count,HMO Licences,1
S12000013,2006,Count,HMO Licences,1
S12000013,2007,Count,HMO Licences,1
S12000013,2008,Count,HMO Licences,4
S12000013,2009,Count,HMO Licences,16
S12000013,2010,Count,HMO Licences,18
S12000013,2011,Count,HMO Licences,24
S12000013,2012,Count,HMO Licences,21
S12000013,2013,Count,HMO Licences,26
S12000014,2001,Count,HMO Licences,0
S12000014,2002,Count,HMO Licences,1
S12000014,2003,Count,HMO Licences,1
S12000014,2004,Count,HMO Licences,1
S12000014,2005,Count,HMO Licences,1
S12000014,2006,Count,HMO Licences,1
S12000014,2007,Count,HMO Licences,1
S12000014,2008,Count,HMO Licences,39
S12000014,2009,Count,HMO Licences,39
S12000014,2010,Count,HMO Licences,41
S12000014,2011,Count,HMO Licences,43
S12000014,2012,Count,HMO Licences,40
S12000014,2013,Count,HMO Licences,35
S12000017,2001,Count,HMO Licences,0
S12000017,2002,Count,HMO Licences,45
S12000017,2003,Count,HMO Licences,38
S12000017,2004,Count,HMO Licences,32
S12000017,2005,Count,HMO Licences,40
S12000017,2006,Count,HMO Licences,43
S12000017,2007,Count,HMO Licences,77
S12000017,2008,Count,HMO Licences,81
S12000017,2009,Count,HMO Licences,115
S12000017,2010,Count,HMO Licences,231
S12000017,2011,Count,HMO Licences,239
S12000017,2012,Count,HMO Licences,250
S12000017,2013,Count,HMO Licences,247
S12000018,2001,Count,HMO Licences,0
S12000018,2002,Count,HMO Licences,29
S12000018,2003,Count,HMO Licences,30
S12000018,2004,Count,HMO Licences,53
S12000018,2005,Count,HMO Licences,37
S12000018,2006,Count,HMO Licences,13
