FeatureCode,DateCode,Measurement,Units,Value
S12000005,2003,Ratio,Percent Of 16 to 19 Year Olds,15.1
S12000027,2003,Count,16 to 19 Year Olds,60
S12000041,2003,Count,16 to 19 Year Olds,550
S12000020,2003,Count,16 to 19 Year Olds,360
S12000048,2003,Count,16 to 19 Year Olds,480
S12000019,2003,Ratio,Percent Of 16 to 19 Year Olds,9.9
S12000036,2003,Ratio,Percent Of 16 to 19 Year Olds,8.5
S12000018,2003,Ratio,Percent Of 16 to 19 Year Olds,14.7
S12000038,2003,Ratio,Percent Of 16 to 19 Year Olds,11.7
S12000008,2003,Ratio,Percent Of 16 to 19 Year Olds,14.5
S12000010,2003,Ratio,Percent Of 16 to 19 Year Olds,10.7
S12000018,2003,Count,16 to 19 Year Olds,660
S12000013,2003,Ratio,Percent Of 16 to 19 Year Olds,4.3
S12000030,2003,Ratio,Percent Of 16 to 19 Year Olds,8.5
S12000013,2003,Count,16 to 19 Year Olds,50
S12000006,2003,Ratio,Percent Of 16 to 19 Year Olds,9.3
S12000045,2003,Count,16 to 19 Year Olds,420
S12000011,2003,Ratio,Percent Of 16 to 19 Year Olds,6.5
S12000047,2003,Count,16 to 19 Year Olds,2210
S12000050,2003,Ratio,Percent Of 16 to 19 Year Olds,12.9
S12000049,2003,Ratio,Percent Of 16 to 19 Year Olds,12.5
S12000045,2003,Ratio,Percent Of 16 to 19 Year Olds,7.3
S12000017,2003,Ratio,Percent Of 16 to 19 Year Olds,9.8
S12000042,2003,Ratio,Percent Of 16 to 19 Year Olds,13.4
S12000039,2003,Ratio,Percent Of 16 to 19 Year Olds,12.1
S12000040,2003,Ratio,Percent Of 16 to 19 Year Olds,11.6
S12000029,2003,Count,16 to 19 Year Olds,1580
S12000041,2003,Ratio,Percent Of 16 to 19 Year Olds,10.7
S12000030,2003,Count,16 to 19 Year Olds,440
S12000047,2003,Ratio,Percent Of 16 to 19 Year Olds,12.3
S12000048,2003,Ratio,Percent Of 16 to 19 Year Olds,7.6
S12000014,2003,Ratio,Percent Of 16 to 19 Year Olds,13.8
S12000039,2003,Count,16 to 19 Year Olds,630
S12000020,2003,Ratio,Percent Of 16 to 19 Year Olds,8.4
S12000026,2003,Count,16 to 19 Year Olds,330
S12000028,2003,Count,16 to 19 Year Olds,590
S12000040,2003,Count,16 to 19 Year Olds,950
S12000033,2003,Count,16 to 19 Year Olds,1020
S12000035,2003,Ratio,Percent Of 16 to 19 Year Olds,8.9
S12000028,2003,Ratio,Percent Of 16 to 19 Year Olds,11
S12000034,2003,Ratio,Percent Of 16 to 19 Year Olds,7.3
S12000014,2003,Count,16 to 19 Year Olds,950
S12000029,2003,Ratio,Percent Of 16 to 19 Year Olds,10
S12000023,2003,Count,16 to 19 Year Olds,60
S12000017,2003,Count,16 to 19 Year Olds,950
S12000050,2003,Count,16 to 19 Year Olds,2230
S12000021,2003,Ratio,Percent Of 16 to 19 Year Olds,13.8
S12000011,2003,Count,16 to 19 Year Olds,310
