FeatureCode,DateCode,Measurement,Units,Value,Gender,Age,Outcome
S12000039,1998,Count,People,19,Male,20-39 years,Killed Or Seriously Injured
S12000030,1996,Count,People,3,Male,60 years and over,Killed Or Seriously Injured
S12000039,1998,Count,People,10,Male,0-19 years,Killed Or Seriously Injured
S08000019,2012,Count,People,39,Male,40-59 years,Killed Or Seriously Injured
S08000019,2012,Count,People,43,Male,20-39 years,Killed Or Seriously Injured
S12000035,1996,Count,People,10,Male,60 years and over,Killed Or Seriously Injured
S12000040,1998,Count,People,30,Male,0-19 years,Killed Or Seriously Injured
S12000040,1998,Count,People,39,Male,20-39 years,Killed Or Seriously Injured
S12000040,1998,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000041,1998,Count,People,44,Male,20-39 years,Killed Or Seriously Injured
S12000033,1996,Count,People,10,Male,60 years and over,Killed Or Seriously Injured
S12000041,1998,Count,People,37,Male,0-19 years,Killed Or Seriously Injured
S08000020,2012,Count,People,63,Male,40-59 years,Killed Or Seriously Injured
S08000020,2012,Count,People,106,Male,20-39 years,Killed Or Seriously Injured
S08000020,2012,Count,People,57,Male,0-19 years,Killed Or Seriously Injured
S12000042,1996,Count,People,6,Male,60 years and over,Killed Or Seriously Injured
S08000016,2012,Count,People,13,Male,0-19 years,Killed Or Seriously Injured
S12000050,1996,Count,People,14,Male,60 years and over,Killed Or Seriously Injured
S12000049,1996,Count,People,44,Male,60 years and over,Killed Or Seriously Injured
S08000019,2012,Count,People,16,Male,0-19 years,Killed Or Seriously Injured
S12000034,1996,Count,People,18,Male,60 years and over,Killed Or Seriously Injured
S08000022,2012,Count,People,18,Male,0-19 years,Killed Or Seriously Injured
S12000013,2004,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000048,1996,Count,People,15,Male,60 years and over,Killed Or Seriously Injured
S08000030,2012,Count,People,25,Male,0-19 years,Killed Or Seriously Injured
S12000017,2004,Count,People,37,Male,0-19 years,Killed Or Seriously Injured
S12000017,2004,Count,People,60,Male,20-39 years,Killed Or Seriously Injured
S08000032,2012,Count,People,14,Male,0-19 years,Killed Or Seriously Injured
S12000011,2004,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000017,2004,Count,People,39,Male,40-59 years,Killed Or Seriously Injured
S92000003,1996,Count,People,300,Male,60 years and over,Killed Or Seriously Injured
