FeatureCode,DateCode,Measurement,Units,Value
S12000039,2014,Count,Expenditure,6514
S12000039,2005,Count,Expenditure,7604
S12000039,2007,Count,Expenditure,5920
S12000039,2010,Count,Expenditure,5987
S12000039,2016,Count,Expenditure,5561
S12000039,2008,Count,Expenditure,6469
S12000039,2011,Count,Expenditure,6399
S12000039,2018,Count,Expenditure,5554
S12000039,2006,Count,Expenditure,5787
S12000039,2015,Count,Expenditure,6719
S12000039,2009,Count,Expenditure,6312
S12000039,2012,Count,Expenditure,6507
S12000039,2017,Count,Expenditure,6228
S12000040,2009,Count,Expenditure,17998
S12000040,2018,Count,Expenditure,15228
S12000040,2015,Count,Expenditure,16869
S12000040,2010,Count,Expenditure,19800
S12000040,2005,Count,Expenditure,14556
S12000040,2008,Count,Expenditure,16206
S12000040,2007,Count,Expenditure,14684
S12000040,2012,Count,Expenditure,16715
S12000040,2014,Count,Expenditure,16328
S12000040,2017,Count,Expenditure,15428
S12000040,2006,Count,Expenditure,13152
S12000040,2011,Count,Expenditure,15356
S12000040,2016,Count,Expenditure,14799
S92000003,2017,Count,Expenditure,429904
S92000003,2015,Count,Expenditure,459044
S92000003,2008,Count,Expenditure,453125
S92000003,2007,Count,Expenditure,447361
S92000003,2016,Count,Expenditure,398102
S92000003,2018,Count,Expenditure,379180
S92000003,2014,Count,Expenditure,460368
S92000003,2012,Count,Expenditure,487278
S92000003,2010,Count,Expenditure,502630
S92000003,2011,Count,Expenditure,477228
S92000003,2009,Count,Expenditure,485727
S12000005,2015,Count,Expenditure,3640
S12000005,2008,Count,Expenditure,3382
S12000005,2017,Count,Expenditure,2477
S12000005,2018,Count,Expenditure,2577
S12000005,2014,Count,Expenditure,3212
S12000005,2005,Count,Expenditure,3541
S12000005,2012,Count,Expenditure,3835
S12000005,2007,Count,Expenditure,3222
S12000005,2011,Count,Expenditure,2857
S12000005,2010,Count,Expenditure,3672
S12000005,2009,Count,Expenditure,3956
S12000005,2016,Count,Expenditure,2138
S12000005,2006,Count,Expenditure,3324
S12000006,2012,Count,Expenditure,20592
S12000006,2010,Count,Expenditure,22229
S12000006,2016,Count,Expenditure,13425
S12000006,2014,Count,Expenditure,18303
S12000006,2017,Count,Expenditure,14501
S12000006,2008,Count,Expenditure,20749
S12000006,2015,Count,Expenditure,17527
S12000006,2009,Count,Expenditure,21533
S12000006,2007,Count,Expenditure,19743
S12000006,2011,Count,Expenditure,18408
S12000006,2005,Count,Expenditure,20466
S12000006,2006,Count,Expenditure,19846
S12000006,2018,Count,Expenditure,14496
S12000008,2015,Count,Expenditure,10704
S12000008,2014,Count,Expenditure,11651
S12000008,2009,Count,Expenditure,11859
S12000008,2010,Count,Expenditure,12806
S12000008,2006,Count,Expenditure,10713
S12000008,2017,Count,Expenditure,10732
S12000008,2011,Count,Expenditure,13408
S12000008,2016,Count,Expenditure,10553
S12000008,2008,Count,Expenditure,11365
S12000008,2007,Count,Expenditure,11370
S12000008,2018,Count,Expenditure,11280
S12000008,2005,Count,Expenditure,12145
S12000008,2012,Count,Expenditure,11457
S12000010,2012,Count,Expenditure,6885
S12000010,2017,Count,Expenditure,6116
S12000010,2015,Count,Expenditure,4839
S12000010,2008,Count,Expenditure,7189
S12000010,2016,Count,Expenditure,5192
S12000010,2006,Count,Expenditure,6099
S12000010,2009,Count,Expenditure,7171
S12000010,2010,Count,Expenditure,9124
S12000010,2005,Count,Expenditure,6818
S12000010,2018,Count,Expenditure,5531
S12000010,2007,Count,Expenditure,6413
S12000010,2014,Count,Expenditure,5330
S12000010,2011,Count,Expenditure,6352
S12000011,2011,Count,Expenditure,10991
S12000011,2010,Count,Expenditure,7679
S12000011,2015,Count,Expenditure,9827
S12000011,2012,Count,Expenditure,10945
S12000011,2009,Count,Expenditure,7427
S12000011,2006,Count,Expenditure,10586
S12000011,2008,Count,Expenditure,10440
S12000011,2016,Count,Expenditure,9932
S12000011,2018,Count,Expenditure,10593
S12000011,2007,Count,Expenditure,10687
S12000011,2014,Count,Expenditure,10462
S12000011,2005,Count,Expenditure,11185
S12000011,2017,Count,Expenditure,11483
S12000013,2005,Count,Expenditure,7428
S12000013,2018,Count,Expenditure,7461
S12000013,2016,Count,Expenditure,6832
S12000013,2014,Count,Expenditure,7174
S12000013,2011,Count,Expenditure,7447
S12000013,2006,Count,Expenditure,7778
S12000013,2009,Count,Expenditure,9747
S12000013,2015,Count,Expenditure,7705
S12000013,2007,Count,Expenditure,8355
S12000013,2012,Count,Expenditure,7147
S12000013,2010,Count,Expenditure,10127
S12000013,2008,Count,Expenditure,9263
S12000013,2017,Count,Expenditure,7644
S12000014,2006,Count,Expenditure,11110
S12000014,2017,Count,Expenditure,9294
S12000014,2010,Count,Expenditure,12982
S12000014,2007,Count,Expenditure,10498
S12000014,2015,Count,Expenditure,11154
S12000014,2014,Count,Expenditure,11602
S12000014,2005,Count,Expenditure,12049
S12000014,2008,Count,Expenditure,11079
S12000014,2018,Count,Expenditure,8873
S12000014,2012,Count,Expenditure,13364
S12000014,2009,Count,Expenditure,11971
S12000014,2011,Count,Expenditure,12307
S12000014,2016,Count,Expenditure,10824
S12000017,2010,Count,Expenditure,32340
S12000017,2009,Count,Expenditure,32487
S12000017,2007,Count,Expenditure,26775
S12000017,2012,Count,Expenditure,35322
S12000017,2005,Count,Expenditure,29490
S12000017,2014,Count,Expenditure,29097
S12000017,2017,Count,Expenditure,26623
S12000017,2018,Count,Expenditure,33514
S12000017,2008,Count,Expenditure,31808
S12000017,2006,Count,Expenditure,23810
S12000017,2015,Count,Expenditure,27589
S12000017,2016,Count,Expenditure,26577
S12000017,2011,Count,Expenditure,31944
S12000018,2018,Count,Expenditure,4777
S12000018,2016,Count,Expenditure,4920
S12000018,2011,Count,Expenditure,4589
S12000018,2012,Count,Expenditure,6242
S12000018,2006,Count,Expenditure,4649
S12000018,2008,Count,Expenditure,4698
S12000018,2017,Count,Expenditure,5262
S12000018,2005,Count,Expenditure,8104
S12000018,2014,Count,Expenditure,9543
S12000018,2009,Count,Expenditure,4754
S12000018,2010,Count,Expenditure,6150
S12000018,2007,Count,Expenditure,4113
S12000018,2015,Count,Expenditure,9247
S12000019,2014,Count,Expenditure,6160
S12000019,2012,Count,Expenditure,8531
S12000019,2015,Count,Expenditure,3627
S12000019,2018,Count,Expenditure,5595
S12000019,2010,Count,Expenditure,9895
S12000019,2005,Count,Expenditure,7756
S12000019,2011,Count,Expenditure,8053
S12000019,2009,Count,Expenditure,8181
S12000019,2008,Count,Expenditure,8431
S12000019,2006,Count,Expenditure,7168
S12000019,2007,Count,Expenditure,5841
S12000019,2017,Count,Expenditure,6338
S12000019,2016,Count,Expenditure,6102
S12000020,2006,Count,Expenditure,8376
S12000020,2015,Count,Expenditure,6150
S12000020,2014,Count,Expenditure,6185
S12000020,2008,Count,Expenditure,8984
S12000020,2012,Count,Expenditure,8182
S12000020,2017,Count,Expenditure,6159
S12000020,2011,Count,Expenditure,7973
S12000020,2005,Count,Expenditure,9779
S12000020,2007,Count,Expenditure,8059
S12000020,2010,Count,Expenditure,9014
S12000020,2009,Count,Expenditure,10415
S12000020,2018,Count,Expenditure,5460
S12000020,2016,Count,Expenditure,5849
S12000021,2014,Count,Expenditure,11949
S12000021,2009,Count,Expenditure,13310
S12000021,2006,Count,Expenditure,10910
S12000021,2010,Count,Expenditure,12847
S12000021,2016,Count,Expenditure,11488
S12000021,2008,Count,Expenditure,11678
S12000021,2017,Count,Expenditure,11904
S12000021,2018,Count,Expenditure,11433
S12000021,2012,Count,Expenditure,12411
S12000021,2011,Count,Expenditure,11516
S12000021,2005,Count,Expenditure,13447
S12000021,2007,Count,Expenditure,11279
S12000021,2015,Count,Expenditure,12199
S12000023,2009,Count,Expenditure,13519
S12000023,2006,Count,Expenditure,10711
S12000023,2014,Count,Expenditure,12633
S12000023,2012,Count,Expenditure,11878
S12000023,2011,Count,Expenditure,12448
S12000023,2007,Count,Expenditure,11298
S12000023,2017,Count,Expenditure,12602
S12000023,2008,Count,Expenditure,13259
S12000023,2010,Count,Expenditure,13327
S12000023,2005,Count,Expenditure,10879
S12000023,2015,Count,Expenditure,12500
S12000023,2016,Count,Expenditure,12561
S12000023,2018,Count,Expenditure,9843
S12000026,2006,Count,Expenditure,13221
S12000026,2012,Count,Expenditure,15945
S12000026,2018,Count,Expenditure,11144
S12000026,2005,Count,Expenditure,15272
S12000026,2007,Count,Expenditure,13558
S12000026,2014,Count,Expenditure,14529
S12000026,2010,Count,Expenditure,19797
S12000026,2015,Count,Expenditure,14214
S12000026,2016,Count,Expenditure,13618
S12000026,2017,Count,Expenditure,11860
S12000026,2011,Count,Expenditure,13185
S12000026,2008,Count,Expenditure,14494
S12000026,2009,Count,Expenditure,14361
S12000027,2014,Count,Expenditure,18805
S12000027,2009,Count,Expenditure,20801
S12000027,2010,Count,Expenditure,20979
S12000027,2008,Count,Expenditure,19366
S12000027,2015,Count,Expenditure,23456
S12000027,2018,Count,Expenditure,18436
S12000027,2011,Count,Expenditure,25759
S12000027,2017,Count,Expenditure,21725
S12000027,2016,Count,Expenditure,23327
S12000027,2007,Count,Expenditure,17994
S12000027,2006,Count,Expenditure,17988
S12000027,2005,Count,Expenditure,18584
S12000027,2012,Count,Expenditure,20279
S12000028,2017,Count,Expenditure,10596
S12000028,2012,Count,Expenditure,10926
S12000028,2007,Count,Expenditure,9966
S12000028,2016,Count,Expenditure,10443
S12000028,2018,Count,Expenditure,9395
S12000028,2008,Count,Expenditure,10025
S12000028,2011,Count,Expenditure,11049
S12000028,2010,Count,Expenditure,9570
S12000028,2009,Count,Expenditure,9603
S12000028,2015,Count,Expenditure,10764
S12000028,2006,Count,Expenditure,9887
S12000028,2005,Count,Expenditure,10941
S12000028,2014,Count,Expenditure,10644
S12000029,2017,Count,Expenditure,29488
S12000029,2015,Count,Expenditure,35195
S12000029,2014,Count,Expenditure,34661
S12000029,2007,Count,Expenditure,32716
S12000029,2009,Count,Expenditure,35108
S12000029,2006,Count,Expenditure,32242
S12000029,2010,Count,Expenditure,37163
S12000029,2012,Count,Expenditure,36820
S12000029,2016,Count,Expenditure,27714
S12000029,2008,Count,Expenditure,31609
S12000029,2011,Count,Expenditure,36393
S12000029,2005,Count,Expenditure,37166
S12000029,2018,Count,Expenditure,23558
S12000030,2015,Count,Expenditure,8772
S12000030,2018,Count,Expenditure,8164
S12000030,2017,Count,Expenditure,6980
S12000030,2016,Count,Expenditure,8385
S12000030,2014,Count,Expenditure,9024
S12000030,2008,Count,Expenditure,8537
S12000030,2009,Count,Expenditure,8745
S12000030,2012,Count,Expenditure,9747
S12000030,2006,Count,Expenditure,7058
S12000030,2010,Count,Expenditure,10469
S12000030,2007,Count,Expenditure,7347
S12000030,2011,Count,Expenditure,10808
S12000030,2005,Count,Expenditure,8064
S12000033,2009,Count,Expenditure,11461
S12000033,2011,Count,Expenditure,11077
S12000033,2018,Count,Expenditure,8656
S12000033,2014,Count,Expenditure,10920
S12000033,2008,Count,Expenditure,10629
S12000033,2006,Count,Expenditure,10766
S12000033,2005,Count,Expenditure,17531
S12000033,2016,Count,Expenditure,10686
S12000033,2012,Count,Expenditure,9868
S12000033,2017,Count,Expenditure,12610
S12000033,2007,Count,Expenditure,10336
S12000033,2010,Count,Expenditure,9995
S12000033,2015,Count,Expenditure,10576
S12000034,2005,Count,Expenditure,27017
S12000034,2017,Count,Expenditure,24993
S12000034,2006,Count,Expenditure,22044
S12000034,2009,Count,Expenditure,31223
S12000034,2015,Count,Expenditure,36418
S12000034,2010,Count,Expenditure,30989
S12000034,2011,Count,Expenditure,25663
S12000034,2007,Count,Expenditure,23423
S12000034,2012,Count,Expenditure,29948
S12000034,2016,Count,Expenditure,24172
S12000034,2018,Count,Expenditure,16701
S12000034,2014,Count,Expenditure,37555
S12000034,2008,Count,Expenditure,27467
S12000035,2007,Count,Expenditure,14671
S12000035,2010,Count,Expenditure,20377
S12000035,2014,Count,Expenditure,19134
S12000035,2009,Count,Expenditure,18766
S12000035,2016,Count,Expenditure,13337
S12000035,2018,Count,Expenditure,13735
S12000035,2015,Count,Expenditure,14205
S12000035,2011,Count,Expenditure,16195
S12000035,2006,Count,Expenditure,13082
S12000035,2017,Count,Expenditure,14208
S12000035,2005,Count,Expenditure,14745
S12000035,2012,Count,Expenditure,14836
S12000035,2008,Count,Expenditure,18184
S12000036,2012,Count,Expenditure,15801
S12000036,2015,Count,Expenditure,13091
S12000036,2016,Count,Expenditure,8927
S12000036,2017,Count,Expenditure,5785
S12000036,2007,Count,Expenditure,10566
S12000036,2008,Count,Expenditure,11549
S12000036,2014,Count,Expenditure,14399
S12000036,2006,Count,Expenditure,13879
S12000036,2009,Count,Expenditure,14492
S12000036,2005,Count,Expenditure,22364
S12000036,2011,Count,Expenditure,14033
S12000036,2018,Count,Expenditure,-9058
S12000036,2010,Count,Expenditure,15946
S12000038,2016,Count,Expenditure,13258
S12000038,2007,Count,Expenditure,12270
S12000038,2009,Count,Expenditure,14562
S12000038,2008,Count,Expenditure,13278
S12000038,2011,Count,Expenditure,12403
S12000038,2005,Count,Expenditure,16275
S12000038,2006,Count,Expenditure,12175
S12000038,2012,Count,Expenditure,13358
S12000038,2018,Count,Expenditure,12880
S12000038,2014,Count,Expenditure,12779
S12000038,2010,Count,Expenditure,13847
S12000038,2015,Count,Expenditure,13330
S12000038,2017,Count,Expenditure,14522
S12000041,2008,Count,Expenditure,16443
S12000041,2018,Count,Expenditure,10590
S12000041,2005,Count,Expenditure,15074
S12000041,2015,Count,Expenditure,12996
S12000041,2012,Count,Expenditure,14746
S12000041,2014,Count,Expenditure,12976
S12000041,2017,Count,Expenditure,11231
S12000041,2006,Count,Expenditure,14351
S12000041,2009,Count,Expenditure,17932
S12000041,2010,Count,Expenditure,13461
S12000041,2016,Count,Expenditure,10210
S12000041,2011,Count,Expenditure,12573
S12000041,2007,Count,Expenditure,15977
S12000042,2016,Count,Expenditure,6392
S12000042,2018,Count,Expenditure,5138
S12000042,2006,Count,Expenditure,7867
S12000042,2017,Count,Expenditure,6803
S12000042,2005,Count,Expenditure,12132
S12000042,2007,Count,Expenditure,6787
S12000042,2008,Count,Expenditure,3751
S12000042,2012,Count,Expenditure,9793
S12000042,2015,Count,Expenditure,9081
S12000042,2014,Count,Expenditure,7765
S12000042,2011,Count,Expenditure,7805
S12000042,2009,Count,Expenditure,8217
S12000042,2010,Count,Expenditure,9628
S12000044,2009,Count,Expenditure,34280
S12000044,2011,Count,Expenditure,26318
S12000044,2010,Count,Expenditure,34972
S12000044,2017,Count,Expenditure,7784
S12000044,2006,Count,Expenditure,23526
S12000044,2005,Count,Expenditure,30095
S12000044,2014,Count,Expenditure,25591
S12000044,2015,Count,Expenditure,24501
S12000044,2018,Count,Expenditure,7143
S12000044,2012,Count,Expenditure,8360
S12000044,2008,Count,Expenditure,32381
S12000044,2016,Count,Expenditure,24439
S12000044,2007,Count,Expenditure,28178
S12000045,2016,Count,Expenditure,7194
S12000045,2006,Count,Expenditure,8860
S12000045,2015,Count,Expenditure,8249
S12000045,2017,Count,Expenditure,31148
S12000045,2010,Count,Expenditure,9192
S12000045,2018,Count,Expenditure,28372
S12000045,2007,Count,Expenditure,7577
S12000045,2012,Count,Expenditure,36903
S12000045,2011,Count,Expenditure,8747
S12000045,2009,Count,Expenditure,7535
S12000045,2008,Count,Expenditure,7363
S12000045,2014,Count,Expenditure,8179
S12000045,2005,Count,Expenditure,12483
S12000046,2011,Count,Expenditure,30041
S12000046,2014,Count,Expenditure,25234
S12000046,2012,Count,Expenditure,14447
S12000046,2005,Count,Expenditure,52574
S12000046,2018,Count,Expenditure,11415
S12000046,2010,Count,Expenditure,33396
S12000046,2008,Count,Expenditure,38287
S12000046,2015,Count,Expenditure,23405
S12000046,2007,Count,Expenditure,42328
S12000046,2006,Count,Expenditure,38432
S12000046,2017,Count,Expenditure,13284
S12000046,2016,Count,Expenditure,22502
S12000046,2009,Count,Expenditure,35725
S12000047,2008,Count,Expenditure,34710
S12000047,2009,Count,Expenditure,38572
S12000047,2016,Count,Expenditure,29397
S12000047,2012,Count,Expenditure,27916
S12000047,2018,Count,Expenditure,21704
S12000047,2011,Count,Expenditure,35951
