FeatureCode,DateCode,Measurement,Units,Value,Indicator (travel to work)
S12000039,2013,Ratio,Percent Of Journeys,10,% Walking Journeys To Work
S12000039,2015,Ratio,Percent Of Journeys,14.9,% Walking Journeys To Work
S12000039,2007,Ratio,Percent Of Journeys,12.9,% Walking Journeys To Work
S12000039,2017,Ratio,Percent Of Journeys,26.4,% Shopping Journeys
S12000039,2018,Ratio,Percent Of Journeys,9,% Bus Journeys To Work
S12000039,1999,Ratio,Percent Of Journeys,10.5,% Walking Journeys To Work
S12000039,2019,Ratio,Percent Of Journeys,5,% Walking Journeys To Work
S12000039,2001,Ratio,Percent Of Journeys,9.4,% Walking Journeys To Work
S12000039,2005,Ratio,Percent Of Journeys,11.7,% Walking Journeys To Work
S12000039,2014,Ratio,Percent Of Journeys,15.9,% Walking Journeys To Work
S12000039,2018,Ratio,Percent Of Journeys,1,% Business Journeys
S12000039,2009,Ratio,Percent Of Journeys,14.6,% Bus Journeys To Work
S12000039,2018,Ratio,Percent Of Journeys,31,% Commuting Journeys
S12000039,2009,Ratio,Percent Of Journeys,20.7,% Commuting Journeys
S12000039,2012,Ratio,Percent Of Journeys,14.9,% Commuting Journeys
S12000039,1999,Ratio,Percent Of Journeys,12.9,% Bus Journeys To Work
S12000039,2017,Ratio,Percent Of Journeys,7,% Bus Journeys To Work
S12000039,2014,Ratio,Percent Of Journeys,12,% Bus Journeys To Work
S12000039,2019,Ratio,Percent Of Journeys,13,% Bus Journeys To Work
S12000039,2009,Ratio,Percent Of Journeys,24.3,% Shopping Journeys
S12000039,2019,Ratio,Percent Of Journeys,21,% Shopping Journeys
S12000039,2016,Ratio,Percent Of Journeys,22.9,% Shopping Journeys
S12000039,2013,Ratio,Percent Of Journeys,22.2,% Commuting Journeys
S12000039,2017,Ratio,Percent Of Journeys,1.9,% Train Journeys To Work
S12000039,2007,Ratio,Percent Of Journeys,6.1,% Education Journeys
S12000039,2014,Ratio,Percent Of Journeys,27.1,% Shopping Journeys
S12000039,2009,Ratio,Percent Of Journeys,0.8,% Education Journeys
S12000039,2012,Ratio,Percent Of Journeys,5.1,% Education Journeys
S12000039,2015,Ratio,Percent Of Journeys,6.2,% Education Journeys
S12000039,2012,Ratio,Percent Of Journeys,10.2,% Walking Journeys To Work
S12000039,2018,Ratio,Percent Of Journeys,11,% Walking Journeys To Work
S12000039,2009,Ratio,Percent Of Journeys,9.1,% Walking Journeys To Work
S12000039,2003,Ratio,Percent Of Journeys,6.3,% Walking Journeys To Work
S12000039,2016,Ratio,Percent Of Journeys,7.8,% Walking Journeys To Work
S12000039,1999,Ratio,Percent Of Journeys,27.4,% Commuting Journeys
S12000039,2015,Ratio,Percent Of Journeys,22.1,% Commuting Journeys
S12000039,2019,Ratio,Percent Of Journeys,7,% Train Journeys To Work
S12000039,2018,Ratio,Percent Of Journeys,19,% Train Journeys To Work
S12000039,2009,Ratio,Percent Of Journeys,0.4,% Business Journeys
S12000039,2012,Ratio,Percent Of Journeys,1,% Business Journeys
S12000039,2014,Ratio,Percent Of Journeys,0.6,% Business Journeys
S12000039,2009,Ratio,Percent Of Journeys,2.2,% Health Journeys
S12000039,2007,Ratio,Percent Of Journeys,2.3,% Health Journeys
S12000039,1999,Ratio,Percent Of Journeys,1.6,% Business Journeys
S12000039,2001,Ratio,Percent Of Journeys,1.6,% Business Journeys
S12000039,2007,Ratio,Percent Of Journeys,1.7,% Business Journeys
S12000039,2013,Ratio,Percent Of Journeys,3.6,% Business Journeys
S12000039,2016,Ratio,Percent Of Journeys,1.4,% Business Journeys
S12000039,2005,Ratio,Percent Of Journeys,3,% Health Journeys
S12000039,2017,Ratio,Percent Of Journeys,1.9,% Health Journeys
S12000039,1999,Ratio,Percent Of Journeys,2.5,% Health Journeys
S12000039,2019,Ratio,Percent Of Journeys,0,% Business Journeys
S12000039,2019,Ratio,Percent Of Journeys,1,% Health Journeys
S12000039,2001,Ratio,Percent Of Journeys,2.1,% Health Journeys
S12000039,2003,Ratio,Percent Of Journeys,3.1,% Health Journeys
S12000039,2016,Ratio,Percent Of Journeys,0,% Health Journeys
S12000039,2012,Ratio,Percent Of Journeys,2.9,% Health Journeys
S12000039,2007,Ratio,Percent Of Journeys,15.6,% Commuting Journeys
S12000039,2019,Ratio,Percent Of Journeys,35,% Commuting Journeys
S12000039,2017,Ratio,Percent Of Journeys,9.7,% Walking Journeys To Work
S12000039,2015,Ratio,Percent Of Journeys,8,% Bus Journeys To Work
S12000039,2013,Ratio,Percent Of Journeys,11.4,% Bus Journeys To Work
S12000039,2001,Ratio,Percent Of Journeys,13.7,% Bus Journeys To Work
S12000039,2007,Ratio,Percent Of Journeys,19.8,% Bus Journeys To Work
S12000039,2003,Ratio,Percent Of Journeys,12.2,% Bus Journeys To Work
S12000039,2005,Ratio,Percent Of Journeys,8.1,% Bus Journeys To Work
